ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2017,2017-09-10,1,21.062,CLE,,PIT,L 18-21,*,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0
2,2017,2017-09-17,2,21.069,CLE,@,BAL,L 10-24,,4,3,27,9.00,1,75.0%,6.75,0,0,,0,1,6
3,2017,2017-09-24,3,21.076,CLE,@,IND,L 28-31,,4,2,12,6.00,1,50.0%,3.00,0,0,,0,1,6
4,2017,2017-10-01,4,21.083,CLE,,CIN,L 7-31,,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0
5,2017,2017-10-08,5,21.090,CLE,,NYJ,L 14-17,,3,3,48,16.00,1,100.0%,16.00,1,1,1.00,0,1,6
6,2017,2017-10-15,6,21.097,CLE,@,HOU,L 17-33,,5,2,0,0.00,0,40.0%,0.00,0,0,,0,0,0
7,2017,2017-10-22,7,21.104,CLE,,TEN,L 9-12,,5,2,58,29.00,0,40.0%,11.60,0,0,,0,0,0
8,2017,2017-10-29,8,21.111,CLE,,MIN,L 16-33,*,7,2,19,9.50,0,28.6%,2.71,0,0,,0,0,0
9,2017,2017-11-12,9,21.125,CLE,@,DET,L 24-38,,6,1,3,3.00,0,16.7%,0.50,0,0,,0,0,0
10,2017,2017-11-19,10,21.132,CLE,,JAX,L 7-19,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0
11,2017,2017-11-26,11,21.139,CLE,@,CIN,L 16-30,,4,4,47,11.75,0,100.0%,11.75,0,0,,0,0,0
12,2017,2017-12-03,12,21.146,CLE,@,LAC,L 10-19,,6,4,74,18.50,1,66.7%,12.33,0,0,,0,1,6
13,2017,2017-12-10,13,21.153,CLE,,GNB,L 21-27,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0
14,2017,2017-12-17,14,21.160,CLE,,BAL,L 10-27,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0
15,2017,2017-12-24,15,21.167,CLE,@,CHI,L 3-20,*,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0
16,2017,2017-12-31,16,21.174,CLE,@,PIT,L 24-28,*,3,2,38,19.00,0,66.7%,12.67,0,0,,0,0,0
17,2018,2018-09-09,1,22.061,CLE,,PIT,T 21-21,*,7,3,13,4.33,0,42.9%,1.86,0,0,,0,0,0
18,2018,2018-09-16,2,22.068,CLE,@,NOR,L 18-21,*,7,4,20,5.00,0,57.1%,2.86,0,0,,0,0,0
19,2018,2018-09-20,3,22.072,CLE,,NYJ,W 21-17,*,2,2,36,18.00,0,100.0%,18.00,0,0,,0,0,0
