ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1991,1991-09-29,5,22.011,SEA,,IND,W 31-3,,0,0,,0,,,,,,,,,,
2,1991,1991-10-13,7,22.025,SEA,,RAI,L 20-23,,0,0,,0,,,,,,,,,,
3,1991,1991-10-20,8,22.032,SEA,@,PIT,W 27-7,,0,0,,0,,,,,,,,,,
4,1991,1991-10-27,9,22.039,SEA,,SDG,W 20-9,,0,0,,0,,,,,,,,,,
5,1991,1991-11-10,10,22.053,SEA,@,SDG,L 14-17,,0,0,,0,,,,,,,,,,
6,1991,1991-11-17,11,22.060,SEA,@,RAI,L 7-31,,1,7,7.00,0,,,0,0,,0,0,0,,0
7,1991,1991-11-24,12,22.067,SEA,,DEN,W 13-10,,0,0,,0,,,,,,,,,,
8,1991,1991-12-01,13,22.074,SEA,,KAN,L 6-19,,0,0,,0,,,,,,,,,,
9,1991,1991-12-08,14,22.081,SEA,,SFO,L 22-24,,0,0,,0,,,,,,,,,,
10,1991,1991-12-15,15,22.088,SEA,@,ATL,L 13-26,,2,20,10.00,0,,,0,0,,0,0,0,,0
11,1991,1991-12-22,16,22.095,SEA,,RAM,W 23-9,,0,0,,0,,,,,,,,,,
12,1992,1992-09-06,1,22.354,SEA,,CIN,L 3-21,8,3,32,10.67,0,37.5%,4.00,1,-3,-3.00,0,1,19,19.00,0
13,1992,1992-09-13,2,22.361,SEA,@,KAN,L 7-26,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
14,1992,1992-09-20,3,23.002,SEA,@,NWE,W 10-6,1,0,0,,0,0.0%,0.00,1,2,2.00,0,0,0,,0
15,1992,1992-09-27,4,23.009,SEA,,MIA,L 17-19,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0,,0
16,1992,1992-10-04,5,23.016,SEA,@,SDG,L 6-17,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
17,1992,1992-10-11,6,23.023,SEA,@,DAL,L 0-27,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,,0
18,1992,1992-10-18,7,23.030,SEA,,RAI,L 0-19,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
19,1992,1992-11-22,11,23.065,SEA,,KAN,L 14-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0
20,1992,1992-11-30,12,23.073,SEA,,DEN,W 16-13,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0
21,1992,1992-12-06,13,23.079,SEA,@,PIT,L 14-20,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
22,1992,1992-12-13,14,23.086,SEA,,PHI,L 17-20,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
23,1992,1992-12-27,16,23.100,SEA,,SDG,L 14-31,1,0,0,,0,0.0%,0.00,1,8,8.00,0,0,0,,0
24,1993,1993-09-05,1,23.352,SEA,@,SDG,L 12-18,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0
25,1993,1993-09-12,2,23.359,SEA,,RAI,L 13-17,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0
26,1993,1993-09-19,3,24.001,SEA,@,NWE,W 17-14,,0,0,,0,0.0%,,1,4,4.00,0,0,0,,0
27,1993,1993-09-26,4,24.008,SEA,@,CIN,W 19-10,1,0,0,,0,0.0%,0.00,0,0,,0,,,,
28,1993,1993-10-03,5,24.015,SEA,,SDG,W 31-14,2,0,0,,0,0.0%,0.00,0,0,,0,,,,
29,1993,1993-10-17,6,24.029,SEA,@,DET,L 10-30,,0,0,,0,0.0%,,0,0,,0,,,,
30,1993,1993-10-24,7,24.036,SEA,,NWE,W 10-9,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0
31,1993,1993-10-31,8,24.043,SEA,@,DEN,L 17-28,,0,0,,0,0.0%,,0,0,,0,,,,
32,1993,1993-11-07,9,24.050,SEA,@,HOU,L 14-24,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0
33,1993,1993-11-14,10,24.057,SEA,,CLE,W 22-5,1,0,0,,0,0.0%,0.00,0,0,,0,,,,
34,1993,1993-11-28,11,24.071,SEA,,DEN,L 9-17,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0
35,1993,1993-12-05,12,24.078,SEA,,KAN,L 16-31,1,0,0,,0,0.0%,0.00,0,0,,0,,,,
36,1993,1993-12-12,13,24.085,SEA,@,RAI,L 23-27,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0
37,1993,1993-12-19,14,24.092,SEA,,PHO,L 27-30,,0,0,,0,0.0%,,0,0,,0,,,,
38,1993,1993-12-26,15,24.099,SEA,,PIT,W 16-6,,0,0,,0,0.0%,,0,0,,0,,,,
39,1993,1994-01-02,16,24.106,SEA,@,KAN,L 24-34,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0
