ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1989,1989-09-17,2,23.057,DAL,@,ATL,L 21-27,,,,,,,,
2,1989,1989-09-24,3,23.064,DAL,,WAS,L 7-30,,,,,,,,
3,1989,1989-10-01,4,23.071,DAL,,NYG,L 13-30,,,,,,,,
4,1989,1989-10-08,5,23.078,DAL,@,GNB,L 13-31,,,,,,,,
5,1989,1989-10-15,6,23.085,DAL,,SFO,L 14-31,,,,,,,,
6,1989,1989-10-22,7,23.092,DAL,@,KAN,L 28-36,,,,,,,,
7,1990,1990-09-09,1,24.049,ATL,,HOU,W 47-27,,,,,,,,
8,1990,1990-09-16,2,24.056,ATL,@,DET,L 14-21,,,,,,,,
9,1990,1990-09-23,3,24.063,ATL,@,SFO,L 13-19,,,,,,,,
10,1990,1990-10-07,4,24.077,ATL,,NOR,W 28-27,,,,,,,,
11,1990,1990-10-14,5,24.084,ATL,,SFO,L 35-45,,,,,,,,
12,1990,1990-10-21,6,24.091,ATL,@,RAM,L 24-44,,,,,,,,
13,1990,1990-10-28,7,24.098,ATL,,CIN,W 38-17,,,,,,,,
14,1990,1990-11-04,8,24.105,ATL,@,PIT,L 9-21,,,,,,,,
15,1990,1990-11-11,9,24.112,ATL,@,CHI,L 24-30,,,,,,,,
16,1990,1990-11-18,10,24.119,ATL,,PHI,L 23-24,,,,,,,,
17,1990,1990-11-25,11,24.126,ATL,@,NOR,L 7-10,,,,,,,,
18,1990,1990-12-02,12,24.133,ATL,@,TAM,L 17-23,,,,,,,,
19,1990,1990-12-09,13,24.140,ATL,,PHO,L 13-24,,,,,,,,
20,1990,1990-12-16,14,24.147,ATL,@,CLE,L 10-13,,,,,,,,
21,1990,1990-12-23,15,24.154,ATL,,RAM,W 20-13,,,,,,,,
22,1990,1990-12-30,16,24.161,ATL,,DAL,W 26-7,,,,,,,,
23,1991,1991-09-01,1,25.041,ATL,@,KAN,L 3-14,,,,,,,,
24,1991,1991-09-08,2,25.048,ATL,,MIN,L 19-20,,,,,,,,
25,1991,1991-09-15,3,25.055,ATL,@,SDG,W 13-10,,,,,,,,
26,1991,1991-09-22,4,25.062,ATL,,RAI,W 21-17,,,,,,,,
27,1991,1991-09-29,5,25.069,ATL,,NOR,L 6-27,,,,,,,,
28,1991,1991-10-13,6,25.083,ATL,@,SFO,W 39-34,,,,,,,,
29,1991,1991-10-20,7,25.090,ATL,@,PHO,L 10-16,,,,,,,,
30,1991,1991-10-27,8,25.097,ATL,,RAM,W 31-14,,,,,,,,
31,1991,1991-11-03,9,25.104,ATL,,SFO,W 17-14,,,,,,,,
32,1991,1991-11-10,10,25.111,ATL,@,WAS,L 17-56,,,,,,,,
33,1991,1991-11-17,11,25.118,ATL,,TAM,W 43-7,,,,,,,,
34,1991,1991-11-24,12,25.125,ATL,@,NOR,W 23-20,,,,,,,,
35,1991,1991-12-01,13,25.132,ATL,,GNB,W 35-31,,,,,,,,
36,1991,1991-12-08,14,25.139,ATL,@,RAM,W 31-14,,,,,,,,
37,1991,1991-12-15,15,25.146,ATL,,SEA,W 26-13,0,0,,0,1.0,0,0,0
38,1991,1991-12-22,16,25.153,ATL,@,DAL,L 27-31,0,0,,0,0.0,1,35,0
39,1992,1992-09-06,1,26.046,ATL,,NYJ,W 20-17,,,,,,,,
40,1992,1992-09-13,2,26.053,ATL,@,WAS,L 17-24,,,,,,,,
41,1992,1992-09-20,3,26.060,ATL,,NOR,L 7-10,,,,,,,,
42,1992,1992-09-27,4,26.067,ATL,@,CHI,L 31-41,,,,,,,,
43,1992,1992-10-04,5,26.074,ATL,,GNB,W 24-10,,,,,,,,
44,1992,1992-10-11,6,26.081,ATL,@,MIA,L 17-21,,,,,,,,
45,1992,1992-10-18,7,26.088,ATL,@,SFO,L 17-56,,,,,,,,
46,1992,1992-11-01,8,26.102,ATL,,RAM,W 30-28,,,,,,,,
47,1992,1992-11-09,9,26.110,ATL,,SFO,L 3-41,,,,,,,,
48,1992,1992-11-15,10,26.116,ATL,,PHO,W 20-17,0,0,,0,1.0,0,0,0
49,1992,1992-11-22,11,26.123,ATL,@,BUF,L 14-41,,,,,,,,
50,1992,1992-11-29,12,26.130,ATL,,NWE,W 34-0,,,,,,,,
51,1992,1992-12-03,13,26.134,ATL,@,NOR,L 14-22,,,,,,,,
52,1992,1992-12-13,14,26.144,ATL,@,TAM,W 35-7,0,0,,0,2.0,0,0,0
53,1992,1992-12-21,15,26.152,ATL,,DAL,L 17-41,,,,,,,,
54,1992,1992-12-27,16,26.158,ATL,@,RAM,L 27-38,,,,,,,,
55,1993,1993-09-12,2,27.052,ATL,,NOR,L 31-34,,,,,,,,
56,1993,1993-09-19,3,27.059,ATL,@,SFO,L 30-37,,,,,,,,
57,1993,1993-09-27,4,27.067,ATL,,PIT,L 17-45,,,,,,,,
58,1993,1993-10-14,6,27.084,ATL,,RAM,W 30-24,,,,,,,,
59,1993,1993-10-24,7,27.094,ATL,@,NOR,W 26-15,,,,,,,,
60,1993,1993-10-31,8,27.101,ATL,,TAM,L 24-31,,,,,,,,
61,1993,1993-11-14,9,27.115,ATL,@,RAM,W 13-0,,,,,,,,
62,1993,1993-11-21,10,27.122,ATL,,DAL,W 27-14,,,,,,,,
63,1993,1993-11-28,11,27.129,ATL,,CLE,W 17-14,,,,,,,,
64,1993,1993-12-05,12,27.136,ATL,@,HOU,L 17-33,,,,,,,,
65,1993,1993-12-11,13,27.142,ATL,,SFO,W 27-24,,,,,,,,
66,1993,1993-12-19,14,27.150,ATL,@,WAS,L 17-30,,,,,,,,
67,1993,1993-12-26,15,27.157,ATL,@,CIN,L 17-21,,,,,,,,
68,1993,1994-01-02,16,27.164,ATL,,PHO,L 10-27,,,,,,,,
69,1994,1994-09-04,1,28.044,ATL,@,DET,L 28-31,,,,,,,,
70,1994,1994-09-11,2,28.051,ATL,,RAM,W 31-13,,,,,,,,
71,1994,1994-09-18,3,28.058,ATL,,KAN,L 10-30,,,,,,,,
72,1994,1994-09-25,4,28.065,ATL,@,WAS,W 27-20,,,,,,,,
73,1994,1994-10-02,5,28.072,ATL,@,RAM,W 8-5,,,,,,,,
74,1994,1994-10-09,6,28.079,ATL,,TAM,W 34-13,,,,,,,,
75,1994,1994-10-16,7,28.086,ATL,,SFO,L 3-42,,,,,,,,
76,1994,1994-10-23,8,28.093,ATL,@,RAI,L 17-30,,,,,,,,
77,1994,1994-11-06,9,28.107,ATL,,SDG,W 10-9,,,,,,,,
78,1994,1994-11-13,10,28.114,ATL,@,NOR,L 32-33,,,,,,,,
79,1994,1994-11-20,11,28.121,ATL,@,DEN,L 28-32,,,,,,,,
80,1994,1994-11-27,12,28.128,ATL,,PHI,W 28-21,,,,,,,,
81,1994,1994-12-04,13,28.135,ATL,@,SFO,L 14-50,,,,,,,,
82,1994,1994-12-11,14,28.142,ATL,,NOR,L 20-29,,,,,,,,
83,1994,1994-12-18,15,28.149,ATL,@,GNB,L 17-21,,,,,,,,
84,1994,1994-12-24,16,28.155,ATL,,ARI,W 10-6,,,,,,,,
85,1995,1995-09-03,1,29.043,ATL,,CAR,W 23-20,0,0,,0,,,,
86,1995,1995-09-10,2,29.050,ATL,@,SFO,L 10-41,0,0,,0,,,,
87,1995,1995-09-17,3,29.057,ATL,@,NOR,W 27-24,0,0,,0,,,,
88,1995,1995-09-24,4,29.064,ATL,,NYJ,W 13-3,0,0,,0,0.0,1,0,0
89,1995,1995-10-01,5,29.071,ATL,,NWE,W 30-17,0,0,,0,,,,
