ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2017,2017-09-10,1,25.224,TEN,,OAK,L 16-26,,0,0,,0
2,2017,2017-09-17,2,25.231,TEN,@,JAX,W 37-16,,3,18,6.00,0
3,2017,2017-09-24,3,25.238,TEN,,SEA,W 33-27,,0,0,,0
4,2017,2017-10-01,4,25.245,TEN,@,HOU,L 14-57,,1,3,3.00,0
5,2017,2017-10-08,5,25.252,TEN,@,MIA,L 10-16,,0,0,,0
6,2017,2017-10-16,6,25.260,TEN,,IND,W 36-22,,0,0,,0
7,2017,2017-10-22,7,25.266,TEN,@,CLE,W 12-9,,0,0,,0
8,2017,2017-11-05,8,25.280,TEN,,BAL,W 23-20,,0,0,,0
9,2017,2017-11-12,9,25.287,TEN,,CIN,W 24-20,,0,0,,0
10,2017,2017-11-16,10,25.291,TEN,@,PIT,L 17-40,,0,0,,0
11,2017,2017-11-26,11,25.301,TEN,@,IND,W 20-16,,0,0,,0
12,2017,2017-12-03,12,25.308,TEN,,HOU,W 24-13,,0,0,,0
13,2017,2017-12-10,13,25.315,TEN,@,ARI,L 7-12,,0,0,,0
14,2017,2017-12-17,14,25.322,TEN,@,SFO,L 23-25,,0,0,,0
15,2017,2017-12-24,15,25.329,TEN,,LAR,L 23-27,,0,0,,0
16,2017,2017-12-31,16,25.336,TEN,,JAX,W 15-10,,0,0,,0
17,2018,2018-09-09,1,26.223,TEN,@,MIA,L 20-27,,0,0,,0
18,2018,2018-09-16,2,26.230,TEN,,HOU,W 20-17,,0,0,,0
