ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2017,2017-09-10,1,21.298,DET,,ARI,W 35-23,*,0.0,9,0,0,0,0
2,2017,2017-09-18,2,21.306,DET,@,NYG,W 24-10,*,1.0,3,3,0,0,0
3,2017,2017-10-08,5,21.326,DET,,CAR,L 24-27,*,0.0,4,4,0,0,0
4,2017,2017-10-15,6,21.333,DET,@,NOR,L 38-52,*,0.0,6,2,0,0,0
5,2017,2017-10-29,7,21.347,DET,,PIT,L 15-20,*,0.0,1,1,0,0,0
6,2017,2017-11-06,8,21.355,DET,@,GNB,W 30-17,*,0.0,7,1,0,0,0
7,2017,2017-11-12,9,21.361,DET,,CLE,W 38-24,*,0.0,2,2,0,0,0
8,2017,2017-11-19,10,22.003,DET,@,CHI,W 27-24,*,0.0,3,1,0,0,0
9,2017,2017-11-23,11,22.007,DET,,MIN,L 23-30,*,0.0,6,1,0,0,0
10,2017,2017-12-03,12,22.017,DET,@,BAL,L 20-44,*,0.0,3,5,0,0,0
11,2017,2017-12-10,13,22.024,DET,@,TAM,W 24-21,*,1.0,6,3,0,0,0
12,2017,2017-12-16,14,22.030,DET,,CHI,W 20-10,*,0.0,5,1,0,0,0
13,2017,2017-12-24,15,22.038,DET,@,CIN,L 17-26,*,0.0,2,3,0,0,0
14,2017,2017-12-31,16,22.045,DET,,GNB,W 35-11,*,0.0,8,4,1,12,0
15,2018,2018-09-10,1,22.298,DET,,NYJ,L 17-48,*,0.0,3,1,0,0,0
16,2018,2018-09-16,2,22.304,DET,@,SFO,L 27-30,*,2.0,5,1,0,0,0
17,2018,2018-09-23,3,22.311,DET,,NWE,W 26-10,*,0.0,4,1,0,0,0
