ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2018,2018-09-09,1,21.314,GNB,,CHI,W 24-23,,0,0,,0,0,0,,0,0,,,4,192,48.00,0
2,2018,2018-09-16,2,21.321,GNB,,MIN,T 29-29,,0,0,,0,0,0,,0,0,,,5,259,51.80,0
3,2018,2018-09-23,3,21.328,GNB,@,WAS,L 17-31,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,232,46.40,0
