ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2011,2011-10-09,5,24.048,NYG,,SEA,L 25-36,,,,,
2,2011,2011-10-16,6,24.055,NYG,,BUF,W 27-24,,,,,
3,2011,2011-10-30,7,24.069,NYG,,MIA,W 20-17,,,,,
4,2011,2011-11-06,8,24.076,NYG,@,NWE,W 24-20,,,,,
5,2011,2011-11-13,9,24.083,NYG,@,SFO,L 20-27,,,,,
6,2011,2011-11-28,11,24.098,NYG,@,NOR,L 24-49,,,,,
7,2011,2011-12-04,12,24.104,NYG,,GNB,L 35-38,,,,,
8,2011,2011-12-11,13,24.111,NYG,@,DAL,W 37-34,,,,,
9,2011,2011-12-18,14,24.118,NYG,,WAS,L 10-23,,,,,
10,2012,2012-09-05,1,25.014,NYG,,DAL,L 17-24,,,,,
11,2012,2012-09-16,2,25.025,NYG,,TAM,W 41-34,,,,,
12,2012,2012-09-20,3,25.029,NYG,@,CAR,W 36-7,,,,,
13,2012,2012-09-30,4,25.039,NYG,@,PHI,L 17-19,,,,,
14,2012,2012-10-07,5,25.046,NYG,,CLE,W 41-27,,,,,
15,2012,2012-10-14,6,25.053,NYG,@,SFO,W 26-3,,,,,
16,2012,2012-10-21,7,25.060,NYG,,WAS,W 27-23,,,,,
17,2012,2012-10-28,8,25.067,NYG,@,DAL,W 29-24,,,,,
18,2012,2012-11-04,9,25.074,NYG,,PIT,L 20-24,,,,,
19,2012,2012-11-11,10,25.081,NYG,@,CIN,L 13-31,,,,,
20,2012,2012-11-25,11,25.095,NYG,,GNB,W 38-10,,,,,
21,2012,2012-12-03,12,25.103,NYG,@,WAS,L 16-17,,,,,
22,2012,2012-12-09,13,25.109,NYG,,NOR,W 52-27,,1,0,0.00,0
23,2012,2012-12-16,14,25.116,NYG,@,ATL,L 0-34,,0,0,,0
24,2012,2012-12-23,15,25.123,NYG,@,BAL,L 14-33,,,,,
25,2012,2012-12-30,16,25.130,NYG,,PHI,W 42-7,,,,,
26,2013,2013-09-08,1,26.017,NYG,@,DAL,L 31-36,,,,,
27,2013,2013-09-15,2,26.024,NYG,,DEN,L 23-41,,,,,
28,2013,2013-09-22,3,26.031,NYG,@,CAR,L 0-38,,,,,
29,2013,2013-09-29,4,26.038,NYG,@,KAN,L 7-31,*,,,,
30,2013,2013-10-06,5,26.045,NYG,,PHI,L 21-36,*,,,,
31,2013,2013-10-10,6,26.049,NYG,@,CHI,L 21-27,*,,,,
32,2013,2013-10-21,7,26.060,NYG,,MIN,W 23-7,,,,,
33,2013,2013-10-27,8,26.066,NYG,@,PHI,W 15-7,*,,,,
34,2013,2013-11-10,9,26.080,NYG,,OAK,W 24-20,*,,,,
35,2013,2013-11-17,10,26.087,NYG,,GNB,W 27-13,*,,,,
36,2013,2013-11-24,11,26.094,NYG,,DAL,L 21-24,*,,,,
