ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1979,1979-09-02,1,22.179,HOU,@,WAS,W 29-27,0,0,,0,0,0,,0,1,17,17.00,0,0,0
2,1979,1979-09-09,2,22.186,HOU,@,PIT,L 7-38,,,,,,,,,,,,,,
3,1979,1979-09-16,3,22.193,HOU,,KAN,W 20-6,,,,,,,,,,,,,,
4,1979,1979-09-23,4,22.200,HOU,@,CIN,W 30-27,,,,,,,,,,,,,,
5,1979,1979-09-30,5,22.207,HOU,,CLE,W 31-10,3,9,3.00,0,0,0,,0,0,0,,0,0,0
6,1979,1979-10-07,6,22.214,HOU,,STL,L 17-24,,,,,,,,,,,,,,
7,1979,1979-10-14,7,22.221,HOU,@,BAL,W 28-16,,,,,,,,,,,,,,
8,1979,1979-10-21,8,22.228,HOU,@,SEA,L 14-34,,,,,,,,,,,,,,
9,1979,1979-10-28,9,22.235,HOU,,NYJ,W 27-24,,,,,,,,,,,,,,
10,1979,1979-11-05,10,22.243,HOU,@,MIA,W 9-6,,,,,,,,,,,,,,
11,1979,1979-11-11,11,22.249,HOU,,OAK,W 31-17,,,,,,,,,,,,,,
12,1979,1979-11-18,12,22.256,HOU,,CIN,W 42-21,,,,,,,,,,,,,,
13,1980,1980-09-07,1,23.184,OAK,@,KAN,W 27-14,8,29,3.63,0,1,12,12.00,0,0,0,,0,0,0
14,1980,1980-09-14,2,23.191,OAK,@,SDG,L 24-30,13,70,5.38,0,3,20,6.67,0,0,0,,0,0,0
15,1980,1980-09-21,3,23.198,OAK,,WAS,W 24-21,25,136,5.44,0,2,8,4.00,0,0,0,,0,0,0
16,1980,1980-09-28,4,23.205,OAK,@,BUF,L 7-24,7,24,3.43,0,2,14,7.00,0,0,0,,0,0,0
17,1980,1980-10-05,5,23.212,OAK,,KAN,L 17-31,9,17,1.89,0,1,11,11.00,0,0,0,,0,0,0
18,1980,1980-10-12,6,23.219,OAK,,SDG,W 38-24,12,138,11.50,2,0,0,,0,0,0,,0,2,12
19,1980,1980-10-20,7,23.227,OAK,@,PIT,W 45-34,14,70,5.00,1,1,4,4.00,0,0,0,,0,1,6
20,1980,1980-10-26,8,23.233,OAK,,SEA,W 33-14,12,28,2.33,0,1,3,3.00,0,0,0,,0,0,0
21,1980,1980-11-02,9,23.240,OAK,,MIA,W 16-10,11,28,2.55,0,4,22,5.50,0,0,0,,0,0,0
22,1980,1980-11-09,10,23.247,OAK,,CIN,W 28-17,15,51,3.40,1,4,31,7.75,0,0,0,,0,1,6
23,1980,1980-11-17,11,23.255,OAK,@,SEA,W 19-17,8,15,1.88,0,1,4,4.00,0,0,0,,0,0,0
24,1980,1980-11-23,12,23.261,OAK,@,PHI,L 7-10,12,29,2.42,0,0,0,,0,0,0,,0,0,0
25,1980,1980-12-01,13,23.269,OAK,,DEN,W 9-3,16,87,5.44,0,2,16,8.00,0,0,0,,0,0,0
26,1980,1980-12-07,14,23.275,OAK,,DAL,L 13-19,7,38,5.43,0,0,0,,0,0,0,,0,0,0
27,1980,1980-12-14,15,23.282,OAK,@,DEN,W 24-21,3,1,0.33,0,0,0,,0,0,0,,0,0,0
28,1981,1981-09-06,1,24.183,OAK,@,DEN,L 7-9,7,22,3.14,0,4,30,7.50,0,0,0,,0,0,0
29,1981,1981-09-14,2,24.191,OAK,@,MIN,W 36-10,14,79,5.64,0,2,10,5.00,0,0,0,,0,0,0
30,1981,1981-09-20,3,24.197,OAK,,SEA,W 20-10,14,74,5.29,0,1,12,12.00,0,0,0,,0,0,0
31,1981,1981-09-27,4,24.204,OAK,@,DET,L 0-16,10,15,1.50,0,0,0,,0,0,0,,0,0,0
32,1981,1981-10-04,5,24.211,OAK,,DEN,L 0-17,15,53,3.53,0,6,34,5.67,0,0,0,,0,0,0
33,1981,1981-10-11,6,24.218,OAK,@,KAN,L 0-27,11,46,4.18,0,1,30,30.00,0,0,0,,0,0,0
34,1981,1981-10-18,7,24.225,OAK,,TAM,W 18-16,17,87,5.12,0,3,32,10.67,0,0,0,,0,0,0
35,1981,1981-10-25,8,24.232,OAK,,KAN,L 17-28,11,49,4.45,0,2,20,10.00,0,0,0,,0,0,0
36,1981,1981-11-01,9,24.239,OAK,,NWE,W 27-17,17,102,6.00,0,2,6,3.00,0,0,0,,0,0,0
37,1981,1981-11-08,10,24.246,OAK,@,HOU,L 16-17,13,79,6.08,0,1,12,12.00,0,0,0,,0,0,0
38,1981,1981-11-15,11,24.253,OAK,@,MIA,W 33-17,9,24,2.67,0,0,0,,0,0,0,,0,0,0
39,1981,1981-11-22,12,24.260,OAK,,SDG,L 21-55,8,21,2.63,0,2,14,7.00,0,0,0,,0,0,0
40,1981,1981-11-29,13,24.267,OAK,@,SEA,W 32-31,13,75,5.77,0,3,16,5.33,0,0,0,,0,0,0
