ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1970,1970-09-20,1,25.360,BAL,@,SDG,W 16-14,0,0,,0,4,54,13.50,0,0,0
2,1970,1970-09-28,2,26.003,BAL,,KAN,L 24-44,5,124,24.80,0,3,22,7.33,0,0,0
3,1970,1970-10-11,4,26.016,BAL,@,HOU,W 24-20,2,55,27.50,0,3,35,11.67,0,0,0
4,1970,1970-10-18,5,26.023,BAL,@,NYJ,W 29-22,1,26,26.00,0,0,0,,0,0,0
5,1970,1970-10-25,6,26.030,BAL,,BOS,W 27-3,0,0,,0,4,8,2.00,0,0,0
6,1970,1970-11-01,7,26.037,BAL,,MIA,W 35-0,0,0,,0,3,110,36.67,1,1,6
7,1970,1970-11-09,8,26.045,BAL,@,GNB,W 13-10,0,0,,0,2,1,0.50,0,0,0
8,1970,1970-11-15,9,26.051,BAL,,BUF,T 17-17,0,0,,0,1,15,15.00,0,0,0
9,1970,1970-11-22,10,26.058,BAL,@,MIA,L 17-34,0,0,,0,1,2,2.00,0,0,0
10,1970,1970-11-29,11,26.065,BAL,,CHI,W 21-20,2,45,22.50,0,3,11,3.67,0,0,0
11,1970,1970-12-06,12,26.072,BAL,,PHI,W 29-10,1,15,15.00,0,0,0,,0,0,0
12,1970,1970-12-13,13,26.079,BAL,@,BUF,W 20-14,0,0,,0,1,0,0.00,0,0,0
13,1970,1970-12-19,14,26.085,BAL,,NYJ,W 35-20,0,0,,0,3,72,24.00,0,0,0
14,1971,1971-09-19,1,26.359,BAL,,NYJ,W 22-0,0,0,,0,2,75,37.50,0,0,0
15,1971,1971-10-03,3,27.008,NWE,,BAL,L 3-23,2,45,22.50,0,0,0,,0,0,0
16,1971,1971-10-10,4,27.015,NWE,,NYJ,W 20-0,0,0,,0,1,5,5.00,0,0,0
17,1971,1971-10-17,5,27.022,NWE,@,MIA,L 3-41,4,84,21.00,0,0,0,,0,0,0
18,1971,1971-10-24,6,27.029,NWE,@,DAL,L 21-44,2,45,22.50,0,1,4,4.00,0,0,0
19,1971,1971-10-31,7,27.036,NWE,@,SFO,L 10-27,2,39,19.50,0,2,5,2.50,0,0,0
20,1971,1971-11-07,8,27.043,NWE,,HOU,W 28-20,2,57,28.50,0,0,0,,0,0,0
21,1971,1971-11-14,9,27.050,NWE,,BUF,W 38-33,2,51,25.50,0,0,0,,0,0,0
22,1971,1971-11-21,10,27.057,NWE,@,CLE,L 7-27,,,,,,,,,,
