ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1996,1996-09-01,1,22.221,CAR,,ATL,W 29-6,,26,69,2.65,0,0,0,0,,0,0.0%,,0,0
2,1996,1996-09-08,2,22.228,CAR,@,NOR,W 22-20,,21,74,3.52,0,0,0,0,,0,0.0%,,0,0
3,1996,1996-09-22,3,22.242,CAR,,SFO,W 23-7,,20,69,3.45,0,0,0,0,,0,0.0%,,0,0
4,1996,1996-09-29,4,22.249,CAR,@,JAX,L 14-24,,4,17,4.25,0,0,0,0,,0,0.0%,,0,0
5,1997,1997-09-14,3,23.233,CAR,@,SDG,W 26-7,,12,54,4.50,0,0,0,0,,0,0.0%,,0,0
6,1997,1997-09-21,4,23.240,CAR,,KAN,L 14-35,,5,28,5.60,0,1,0,0,,0,0.0%,0.00,0,0
7,1997,1997-09-29,5,23.248,CAR,,SFO,L 21-34,,4,8,2.00,0,0,0,0,,0,0.0%,,0,0
8,1997,1997-10-12,6,23.261,CAR,@,MIN,L 14-21,,12,50,4.17,0,1,0,0,,0,0.0%,0.00,0,0
9,1997,1997-10-19,7,23.268,CAR,@,NOR,W 13-0,,9,36,4.00,0,1,0,0,,0,0.0%,0.00,0,0
10,1997,1997-10-26,8,23.275,CAR,,ATL,W 21-12,,23,104,4.52,2,0,0,0,,0,0.0%,,2,12
11,1997,1997-11-02,9,23.282,CAR,,OAK,W 38-14,,3,6,2.00,0,0,0,0,,0,0.0%,,0,0
12,1997,1997-12-08,14,23.318,CAR,@,DAL,W 23-13,,7,13,1.86,0,0,0,0,,0,0.0%,,0,0
13,1998,1998-09-13,2,24.232,CAR,@,NOR,L 14-19,,,,,,,,,,,0.0%,,,
14,1998,1998-10-04,4,24.253,CAR,@,ATL,L 23-51,,,,,,,,,,,0.0%,,,
15,1998,1998-11-01,8,24.281,CAR,,NOR,W 31-17,,,,,,,,,,,0.0%,,,
16,1998,1998-11-15,10,24.295,CAR,,MIA,L 9-13,,8,38,4.75,0,0,0,0,,0,0.0%,,0,0
17,1998,1998-11-22,11,24.302,CAR,@,STL,W 24-20,,3,10,3.33,0,0,0,0,,0,0.0%,,0,0
18,1998,1998-11-29,12,24.309,CAR,@,NYJ,L 21-48,,3,2,0.67,0,0,0,0,,0,0.0%,,0,0
