ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1997,1997-09-01,1,23.016,GNB,,CHI,W 38-24,,0,0,,0,0,0,,,,,,3,3,100.0,3,3,100.0,0,12,0,0,,0
2,1997,1997-09-07,2,23.022,GNB,@,PHI,L 9-10,,0,0,,0,0,0,,,,,,,,,3,4,75.0,0,9,0,0,,0
3,1997,1997-09-14,3,23.029,GNB,,MIA,W 23-18,,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0,0,,0
4,1997,1997-09-21,4,23.036,GNB,,MIN,W 38-32,,0,0,,0,0,0,,,,,,5,5,100.0,1,1,100.0,0,8,0,0,,0
5,1997,1997-09-28,5,23.043,GNB,@,DET,L 15-26,,0,0,,0,0,0,,,,,,,,,3,3,100.0,0,9,0,0,,0
6,1997,1997-10-05,6,23.050,GNB,,TAM,W 21-16,,0,0,,0,0,0,,,,,,3,3,100.0,,1,0.0,0,3,0,0,,0
7,1997,1997-10-12,7,23.057,GNB,@,CHI,W 24-23,,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0,0,,0
8,1997,1997-10-27,8,23.072,GNB,@,NWE,W 28-10,,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,,,,
9,1997,1997-11-02,9,23.078,GNB,,DET,W 20-10,,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
10,1997,1997-11-09,10,23.085,GNB,,STL,W 17-7,,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0,0,,0
11,1997,1997-11-16,11,23.092,GNB,@,IND,L 38-41,,0,0,,0,0,0,,,,,,5,5,100.0,1,1,100.0,0,8,0,0,,0
12,1997,1997-11-23,12,23.099,GNB,,DAL,W 45-17,,0,0,,0,0,0,,,,,,6,6,100.0,1,2,50.0,0,9,0,0,,0
13,1997,1997-12-01,13,23.107,GNB,@,MIN,W 27-11,,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0,0,,0
14,1997,1997-12-07,14,23.113,GNB,@,TAM,W 17-6,,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0,0,,0
15,1997,1997-12-14,15,23.120,GNB,@,CAR,W 31-10,,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0,0,,0
16,1997,1997-12-20,16,23.126,GNB,,BUF,W 31-21,,0,0,,0,0,0,,,,,,4,4,100.0,1,2,50.0,0,7,0,0,,0
17,1998,1998-09-06,1,24.021,GNB,,DET,W 38-19,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,1,100.0,0,8,0,0,,0
18,1998,1998-09-13,2,24.028,GNB,,TAM,W 23-15,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11,0,0,,0
