ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1994,1994-09-04,1,23.264,IND,,HOU,W 45-21,,,,,,,0.0%,
2,1994,1994-09-11,2,23.271,IND,@,TAM,L 10-24,,,,,,,0.0%,
3,1994,1994-09-18,3,23.278,IND,@,PIT,L 21-31,,,,,,,0.0%,
4,1994,1994-09-25,4,23.285,IND,,CLE,L 14-21,,,,,,,0.0%,
5,1994,1994-10-02,5,23.292,IND,,SEA,W 17-15,,,,,,,0.0%,
6,1994,1994-10-09,6,23.299,IND,@,NYJ,L 6-16,,,,,,,0.0%,
7,1994,1994-10-16,7,23.306,IND,@,BUF,W 27-17,,,,,,,0.0%,
8,1994,1994-10-23,8,23.313,IND,,WAS,L 27-41,,,,,,,0.0%,
9,1994,1994-10-30,9,23.320,IND,,NYJ,W 28-25,,,,,,,0.0%,
10,1994,1994-11-06,10,23.327,IND,@,MIA,L 21-22,,,,,,,0.0%,
11,1994,1994-11-20,11,23.341,IND,@,CIN,W 17-13,,,,,,,0.0%,
12,1994,1994-11-27,12,23.348,IND,,NWE,L 10-12,,,,,,,0.0%,
13,1994,1994-12-04,13,23.355,IND,@,SEA,W 31-19,,,,,,,0.0%,
14,1994,1994-12-11,14,23.362,IND,@,NWE,L 13-28,,,,,,,0.0%,
15,1994,1994-12-18,15,24.004,IND,,MIA,W 10-6,,,,,,,0.0%,
16,1994,1994-12-24,16,24.010,IND,,BUF,W 10-9,,,,,,,0.0%,
17,1995,1995-09-03,1,24.263,IND,,CIN,L 21-24,,,0,0,,0,0.0%,
18,1995,1995-09-10,2,24.270,IND,@,NYJ,W 27-24,,,0,0,,0,0.0%,
19,1995,1995-09-17,3,24.277,IND,@,BUF,L 14-20,,,0,0,,0,0.0%,
20,1995,1995-10-01,4,24.291,IND,,STL,W 21-18,,2,0,0,,0,0.0%,0.00
21,1995,1995-10-08,5,24.298,IND,@,MIA,W 27-24,,,0,0,,0,0.0%,
22,1995,1995-10-15,6,24.305,IND,,SFO,W 18-17,,,0,0,,0,0.0%,
23,1995,1995-10-22,7,24.312,IND,@,OAK,L 17-30,,,0,0,,0,0.0%,
24,1995,1995-10-29,8,24.319,IND,,NYJ,W 17-10,,0,0,0,,0,0.0%,
25,1995,1995-11-05,9,24.326,IND,,BUF,L 10-16,,1,0,0,,0,0.0%,0.00
26,1995,1995-11-12,10,24.333,IND,@,NOR,L 14-17,,,0,0,,0,0.0%,
27,1995,1995-11-19,11,24.340,IND,@,NWE,W 24-10,,,0,0,,0,0.0%,
28,1995,1995-11-26,12,24.347,IND,,MIA,W 36-28,,,0,0,,0,0.0%,
29,1995,1995-12-03,13,24.354,IND,@,CAR,L 10-13,,,0,0,,0,0.0%,
30,1995,1995-12-10,14,24.361,IND,@,JAX,W 41-31,,,0,0,,0,0.0%,
31,1995,1995-12-17,15,25.003,IND,,SDG,L 24-27,,1,1,6,6.00,0,100.0%,6.00
32,1995,1995-12-23,16,25.009,IND,,NWE,W 10-7,,1,0,0,,0,0.0%,0.00
33,1996,1996-09-01,1,25.262,IND,,ARI,W 20-13,,,,,,,0.0%,
34,1996,1996-09-08,2,25.269,IND,@,NYJ,W 21-7,,,,,,,0.0%,
35,1996,1996-09-15,3,25.276,IND,@,DAL,W 25-24,,,,,,,0.0%,
36,1996,1996-09-23,4,25.284,IND,,MIA,W 10-6,,,,,,,0.0%,
37,1996,1996-10-06,5,25.297,IND,@,BUF,L 13-16,,,,,,,0.0%,
38,1996,1996-11-03,9,25.325,IND,,SDG,L 19-26,,,,,,,0.0%,
39,1996,1996-11-10,10,25.332,IND,@,MIA,L 13-37,,,,,,,0.0%,
40,1996,1996-11-17,11,25.339,IND,,NYJ,W 34-29,,,,,,,0.0%,
41,1996,1996-11-24,12,25.346,IND,@,NWE,L 13-27,,,,,,,0.0%,
42,1996,1996-12-01,13,25.353,IND,,BUF,W 13-10,,,,,,,0.0%,
43,1996,1996-12-05,14,25.357,IND,,PHI,W 37-10,,,,,,,0.0%,
44,1996,1996-12-15,15,26.001,IND,@,KAN,W 24-19,,,,,,,0.0%,
45,1996,1996-12-22,16,26.008,IND,@,CIN,L 24-31,,,,,,,0.0%,
46,1997,1997-09-07,2,26.267,IND,,NWE,L 6-31,,,,,,,0.0%,
47,1997,1997-09-14,3,26.274,IND,,SEA,L 3-31,,,,,,,0.0%,
48,1997,1997-09-21,4,26.281,IND,@,BUF,L 35-37,,,,,,,0.0%,
49,1997,1997-10-05,5,26.295,IND,,NYJ,L 12-16,,,,,,,0.0%,
50,1997,1997-10-12,6,26.302,IND,@,PIT,L 22-24,,,,,,,0.0%,
51,1997,1997-10-20,7,26.310,IND,,BUF,L 6-9,,,,,,,0.0%,
52,1997,1997-10-26,8,26.316,IND,@,SDG,L 19-35,,,,,,,0.0%,
53,1997,1997-11-02,9,26.323,IND,,TAM,L 28-31,,,,,,,0.0%,
54,1997,1997-11-09,10,26.330,IND,,CIN,L 13-28,,,,,,,0.0%,
55,1997,1997-11-16,11,26.337,IND,,GNB,W 41-38,,,,,,,0.0%,
56,1997,1997-11-23,12,26.344,IND,@,DET,L 10-32,,,,,,,0.0%,
57,1997,1997-11-30,13,26.351,IND,@,NWE,L 17-20,,,,,,,0.0%,
58,1997,1997-12-07,14,26.358,IND,@,NYJ,W 22-14,,,,,,,0.0%,
59,1997,1997-12-14,15,27.000,IND,,MIA,W 41-0,,,,,,,0.0%,
60,1997,1997-12-21,16,27.007,IND,@,MIN,L 28-39,,,,,,,0.0%,
61,1998,1998-09-06,1,27.266,IND,,MIA,L 15-24,,,0,0,,0,0.0%,
62,1998,1998-09-13,2,27.273,IND,@,NWE,L 6-29,,,,,,,0.0%,
63,1998,1998-09-20,3,27.280,IND,@,NYJ,L 6-44,,,,,,,0.0%,
64,1998,1998-09-27,4,27.287,IND,,NOR,L 13-19,,,,,,,0.0%,
65,1998,1998-10-04,5,27.294,IND,,SDG,W 17-12,,,,,,,0.0%,
66,1998,1998-10-11,6,27.301,IND,,BUF,L 24-31,,,,,,,0.0%,
67,1998,1998-10-18,7,27.308,IND,@,SFO,L 31-34,,,,,,,0.0%,
68,1998,1998-11-01,8,27.322,IND,,NWE,L 16-21,,1,1,7,7.00,0,100.0%,7.00
69,1998,1998-11-08,9,27.329,IND,@,MIA,L 14-27,,,,,,,0.0%,
70,1998,1998-11-15,10,27.336,IND,,NYJ,W 24-23,,,,,,,0.0%,
71,1998,1998-11-22,11,27.343,IND,@,BUF,L 11-34,,,,,,,0.0%,
72,1998,1998-12-06,13,27.357,IND,@,ATL,L 21-28,,1,,,,,0.0%,
