ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1968,1968-11-10,9,24.079,DET,,BAL,L 10-27,2,7,3.50,0,1,4,4.00,0,0,0,,0,1,0,0.00,0,0,0
2,1968,1968-11-24,11,24.093,DET,,NOR,T 20-20,15,56,3.73,0,4,48,12.00,0,0,0,,0,1,-2,-2.00,0,0,0
3,1968,1968-11-28,12,24.097,DET,,PHI,L 0-12,12,27,2.25,0,0,0,,0,0,0,,0,1,12,12.00,0,0,0
4,1968,1968-12-15,14,24.114,DET,@,WAS,L 3-14,19,86,4.53,0,3,39,13.00,0,0,0,,0,0,0,,0,0,0
5,1969,1969-09-21,1,25.029,DET,@,PIT,L 13-16,3,2,0.67,0,1,10,10.00,0,0,0,,0,0,0,,0,0,0
6,1969,1969-09-28,2,25.036,DET,,NYG,W 24-0,4,41,10.25,0,1,14,14.00,1,0,0,,0,0,0,,0,1,6
7,1969,1969-10-05,3,25.043,DET,@,CLE,W 28-21,11,55,5.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
8,1969,1969-10-12,4,25.050,DET,,GNB,L 17-28,10,39,3.90,0,1,3,3.00,0,0,0,,0,0,0,,0,0,0
9,1969,1969-10-19,5,25.057,DET,,CHI,W 13-7,14,38,2.71,0,1,6,6.00,0,0,0,,0,0,0,,0,0,0
10,1969,1969-10-26,6,25.064,DET,@,MIN,L 10-24,5,16,3.20,1,0,0,,0,0,0,,0,1,5,5.00,0,1,6
11,1969,1969-11-02,7,25.071,DET,@,SFO,W 26-14,2,4,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
12,1969,1969-11-16,9,25.085,DET,,STL,W 20-0,4,3,0.75,0,1,6,6.00,0,0,0,,0,0,0,,0,0,0
13,1969,1969-11-23,10,25.092,DET,@,GNB,W 16-10,11,46,4.18,0,2,15,7.50,0,0,0,,0,0,0,,0,0,0
14,1969,1969-11-27,11,25.096,DET,,MIN,L 0-27,11,26,2.36,0,1,6,6.00,0,0,0,,0,0,0,,0,0,0
15,1969,1969-12-07,12,25.106,DET,@,BAL,T 17-17,3,2,0.67,0,2,18,9.00,0,0,0,,0,0,0,,0,0,0
16,1970,1970-09-20,1,26.028,DET,@,GNB,W 40-0,4,14,3.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
17,1970,1970-09-27,2,26.035,DET,,CIN,W 38-3,6,17,2.83,0,0,0,,0,0,0,,0,0,0,,0,0,0
18,1970,1970-10-05,3,26.043,DET,,CHI,W 28-14,0,0,,0,1,2,2.00,0,1,22,22.00,0,0,0,,0,0,0
19,1970,1970-10-11,4,26.049,DET,@,WAS,L 10-31,3,4,1.33,1,3,20,6.67,0,0,0,,0,0,0,,0,1,6
20,1970,1970-10-18,5,26.056,DET,@,CLE,W 41-24,3,11,3.67,0,0,0,,0,1,24,24.00,0,0,0,,0,0,0
21,1970,1970-10-25,6,26.063,DET,@,CHI,W 16-10,2,1,0.50,0,0,0,,0,1,26,26.00,0,1,1,1.00,0,0,0
22,1970,1970-11-01,7,26.070,DET,,MIN,L 17-30,0,0,,0,0,0,,0,3,74,24.67,0,1,10,10.00,0,0,0
23,1970,1970-11-08,8,26.077,DET,@,NOR,L 17-19,0,0,,0,0,0,,0,0,0,,0,2,14,7.00,0,0,0
24,1970,1970-11-15,9,26.084,DET,@,MIN,L 20-24,,,,,,,,,,,,,,,,,,
25,1970,1970-11-22,10,26.091,DET,,SFO,W 28-7,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0
26,1970,1970-11-26,11,26.095,DET,,OAK,W 28-14,,,,,,,,,,,,,,,,,,
27,1972,1972-12-10,13,28.109,DET,@,BUF,T 21-21,3,14,4.67,0,1,36,36.00,1,0,0,,0,0,0,,0,1,6
28,1972,1972-12-17,14,28.116,DET,@,RAM,W 34-17,5,14,2.80,0,1,10,10.00,0,0,0,,0,0,0,,0,0,0
