ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1978,1978-09-04,1,23.296,DAL,,BAL,W 38-0,,,,,,,,
2,1978,1978-09-24,4,23.316,DAL,,STL,W 21-12,,,,,,,,
3,1978,1978-10-02,5,23.324,DAL,@,WAS,L 5-9,,,,,,,,
4,1978,1978-10-08,6,23.330,DAL,,NYG,W 24-3,2,5,2.50,0,0,0,,0
5,1978,1978-10-15,7,23.337,DAL,@,STL,W 24-21,,,,,,,,
6,1978,1978-10-22,8,23.344,DAL,,PHI,W 14-7,,,,,,,,
7,1978,1978-10-26,9,23.348,DAL,,MIN,L 10-21,0,0,,0,2,51,25.50,0
8,1978,1978-11-05,10,23.358,DAL,@,MIA,L 16-23,0,0,,0,1,19,19.00,0
9,1978,1978-11-12,11,24.000,DAL,@,GNB,W 42-14,6,29,4.83,0,0,0,,0
10,1978,1978-11-19,12,24.007,DAL,,NOR,W 27-7,1,3,3.00,0,0,0,,0
11,1978,1978-11-23,13,24.011,DAL,,WAS,W 37-10,,,,,,,,
12,1978,1978-12-03,14,24.021,DAL,,NWE,W 17-10,,,,,,,,
13,1978,1978-12-10,15,24.028,DAL,@,PHI,W 31-13,,,,,,,,
14,1979,1979-09-02,1,24.294,DAL,@,STL,W 22-21,,,,,,,,
15,1979,1979-09-24,4,24.316,DAL,@,CLE,L 7-26,,,,,,,,
16,1979,1979-09-30,5,24.322,DAL,,CIN,W 38-13,,,,,,,,
17,1979,1979-10-07,6,24.329,DAL,@,MIN,W 36-20,,,,,,,,
18,1979,1979-10-14,7,24.336,DAL,,RAM,W 30-6,,,,,,,,
19,1979,1979-10-21,8,24.343,DAL,,STL,W 22-13,,,,,,,,
