ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1998,1998-11-01,8,21.151,STL,@,ATL,L 15-37,,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
2,1998,1998-11-08,9,21.158,STL,@,CHI,W 20-12,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1998,1998-11-15,10,21.165,STL,@,NOR,L 3-24,,7,3,28,9.33,0,42.9%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
4,1998,1998-11-22,11,21.172,STL,,CAR,L 20-24,,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
5,1998,1998-11-29,12,21.179,STL,,ATL,L 10-21,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1998,1998-12-03,13,21.183,STL,@,PHI,L 14-17,,5,3,45,15.00,0,60.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
7,1998,1998-12-13,14,21.193,STL,,NWE,W 32-18,,9,4,50,12.50,1,44.4%,5.56,1,34,34.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12
8,1998,1998-12-20,15,21.200,STL,@,CAR,L 13-20,,8,4,41,10.25,0,50.0%,5.13,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
9,1998,1998-12-27,16,21.207,STL,@,SFO,L 19-38,,9,1,21,21.00,0,11.1%,2.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
10,1999,1999-09-12,1,22.101,STL,,BAL,W 27-10,,6,5,63,12.60,0,83.3%,10.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,51,12.75,0,0,0
11,1999,1999-09-26,2,22.115,STL,,ATL,W 35-7,,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,6.00,0,0,0
12,1999,1999-10-03,3,22.122,STL,@,CIN,W 38-10,,5,3,78,26.00,3,60.0%,15.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,147,29.40,1,4,24
13,1999,1999-10-10,4,22.129,STL,,SFO,W 42-20,,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,0,0.00,0,0,0
14,1999,1999-10-17,5,22.136,STL,@,ATL,W 41-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,-3,-3.00,0,0,0
15,1999,1999-10-31,7,22.150,STL,@,TEN,L 21-24,,8,5,62,12.40,0,62.5%,7.75,1,16,16.00,0,0,0,,0,0,0,,,,,,0,0,,0,7,68,9.71,0,0,0
16,1999,1999-11-07,8,22.157,STL,@,DET,L 27-31,,6,2,94,47.00,1,33.3%,15.67,0,0,,0,0,0,,0,0,0,,,,,,2,35,17.50,0,3,34,11.33,0,1,6
17,1999,1999-11-14,9,22.164,STL,,CAR,W 35-10,,2,1,5,5.00,0,50.0%,2.50,1,0,0.00,0,0,0,,0,0,0,,,,,,0,0,,0,4,35,8.75,0,0,0
18,1999,1999-11-21,10,22.171,STL,@,SFO,W 23-7,,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,58,14.50,0,0,0
19,1999,1999-11-28,11,22.178,STL,,NOR,W 43-12,,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,25,12.50,0,0,0
20,1999,1999-12-05,12,22.185,STL,@,CAR,W 34-21,,5,4,122,30.50,2,80.0%,24.40,1,-3,-3.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,0,0.00,0,2,12
21,1999,1999-12-12,13,22.192,STL,@,NOR,W 30-14,,2,1,25,25.00,0,50.0%,12.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,-1,-0.33,0,0,0
22,1999,1999-12-19,14,22.199,STL,,NYG,W 31-10,,6,3,79,26.33,2,50.0%,13.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12,6.00,0,2,12
23,1999,1999-12-26,15,22.206,STL,,CHI,W 34-12,,2,2,40,20.00,0,100.0%,20.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,8,8.00,0,0,0
24,1999,2000-01-02,16,22.213,STL,@,PHI,L 31-38,,3,2,16,8.00,0,66.7%,5.33,1,31,31.00,0,0,0,,0,0,0,,,,,,0,0,,0,3,21,7.00,0,0,0
25,2000,2000-09-04,1,23.093,STL,,DEN,W 41-36,,6,5,116,23.20,1,83.3%,19.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,86,86.00,1,2,12
26,2000,2000-09-10,2,23.099,STL,@,SEA,W 37-34,,8,6,41,6.83,0,75.0%,5.13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
27,2000,2000-09-17,3,23.106,STL,,SFO,W 41-24,,4,2,18,9.00,0,50.0%,4.50,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,3,7,2.33,0,0,0
