ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,24.258,TAM,@,MIN,L 7-31,,,,,,,0.0%,,,,,,,,,
2,1998,1998-09-13,2,24.265,TAM,@,GNB,L 15-23,,,,,,,0.0%,,,,,,,,,
3,1998,1998-09-20,3,24.272,TAM,,CHI,W 27-15,,,,,,,0.0%,,,,,,,,,
4,1998,1998-09-28,4,24.280,TAM,@,DET,L 6-27,,,,,,,0.0%,,,,,,,,,
5,1998,1998-10-04,5,24.286,TAM,,NYG,W 20-3,,,,,,,0.0%,,,,,,,,,
6,1998,1998-10-18,6,24.300,TAM,,CAR,W 16-13,,,,,,,0.0%,,,,,,,,,
7,1998,1998-10-25,7,24.307,TAM,@,NOR,L 3-9,,,,,,,0.0%,,,,,,,,,
8,1999,1999-09-12,1,25.264,TAM,,NYG,L 13-17,*,0,,,,,0.0%,,,,,,,,,
9,1999,1999-09-19,2,25.271,TAM,@,PHI,W 19-5,*,0,,,,,0.0%,,,,,,,,,
10,1999,1999-09-26,3,25.278,TAM,,DEN,W 13-10,*,0,,,,,0.0%,,,,,,,,,
11,1999,1999-10-03,4,25.285,TAM,@,MIN,L 14-21,*,0,,,,,0.0%,,,,,,,,,
12,1999,1999-10-10,5,25.292,TAM,@,GNB,L 23-26,*,0,,,,,0.0%,,,,,,,,,
13,1999,1999-10-24,6,25.306,TAM,,CHI,W 6-3,*,0,,,,,0.0%,,,,,,,,,
14,1999,1999-10-31,7,25.313,TAM,@,DET,L 3-20,*,0,0,0,,0,0.0%,,0,0,,0,0.5,0,0,0
15,1999,1999-11-07,8,25.320,TAM,@,NOR,W 31-16,*,0,,,,,0.0%,,,,,,,,,
16,1999,1999-11-14,9,25.327,TAM,,KAN,W 17-10,*,0,,,,,0.0%,,,,,,,,,
17,1999,1999-11-21,10,25.334,TAM,,ATL,W 19-10,*,0,,,,,0.0%,,,,,,,,,
18,1999,1999-11-28,11,25.341,TAM,@,SEA,W 16-3,*,0,,,,,0.0%,,,,,,,,,
19,1999,1999-12-06,12,25.349,TAM,,MIN,W 24-17,*,0,,,,,0.0%,,,,,,,,,
20,1999,1999-12-12,13,25.355,TAM,,DET,W 23-16,*,0,,,,,0.0%,,,,,,,,,
21,1999,1999-12-19,14,25.362,TAM,@,OAK,L 0-45,*,0,,,,,0.0%,,,,,,,,,
22,1999,1999-12-26,15,26.004,TAM,,GNB,W 29-10,*,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0.0,2,36,0
23,1999,2000-01-02,16,26.011,TAM,@,CHI,W 20-6,*,0,,,,,0.0%,,,,,,,,,
24,2000,2000-09-03,1,26.256,TAM,@,NWE,W 21-16,*,0,,,,,0.0%,,,,,,,,,
25,2000,2000-09-10,2,26.263,TAM,,CHI,W 41-0,,0,,,,,0.0%,,,,,,,,,
26,2000,2000-09-17,3,26.270,TAM,@,DET,W 31-10,,0,,,,,0.0%,,,,,,,,,
27,2000,2000-09-24,4,26.277,TAM,,NYJ,L 17-21,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,1,0
28,2000,2000-10-01,5,26.284,TAM,@,WAS,L 17-20,*,0,,,,,0.0%,,,,,,,,,
29,2000,2000-10-09,6,26.292,TAM,@,MIN,L 23-30,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0
30,2000,2000-10-19,7,26.302,TAM,,DET,L 14-28,*,0,,,,,0.0%,,,,,,,,,
31,2000,2000-10-29,8,26.312,TAM,,MIN,W 41-13,,0,,,,,0.0%,,,,,,,,,
32,2000,2000-11-05,9,26.319,TAM,@,ATL,W 27-14,*,1,1,36,36.00,0,100.0%,36.00,0,0,,0,0.0,1,0,0
33,2000,2000-11-12,10,26.326,TAM,,GNB,W 20-15,,0,,,,,0.0%,,,,,,,,,
34,2000,2000-11-19,11,26.333,TAM,@,CHI,L 10-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0
35,2000,2000-11-26,12,26.340,TAM,,BUF,W 31-17,*,0,,,,,0.0%,,,,,,,,,
36,2000,2000-12-03,13,26.347,TAM,,DAL,W 27-7,*,0,,,,,0.0%,,,,,,,,,
37,2000,2000-12-10,14,26.354,TAM,@,MIA,W 16-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0
38,2000,2000-12-18,15,26.362,TAM,,STL,W 38-35,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0
39,2000,2000-12-24,16,27.002,TAM,@,GNB,L 14-17,,0,,,,,0.0%,,,,,,,,,
40,2001,2001-09-09,1,27.261,NYJ,,IND,L 24-45,*,0,,,,,0.0%,,,,,,,,,
41,2001,2001-09-23,2,27.275,NYJ,@,NWE,W 10-3,*,0,,,,,0.0%,,,,,,,,,
42,2001,2001-10-01,3,27.283,NYJ,,SFO,L 17-19,*,0,,,,,0.0%,,,,,,,,,
43,2001,2001-10-14,5,27.296,NYJ,,MIA,W 21-17,*,0,,,,,0.0%,,,,,,,,,
44,2001,2001-10-21,6,27.303,NYJ,,STL,L 14-34,*,0,,,,,0.0%,,,,,,,,,
45,2001,2001-10-28,7,27.310,NYJ,@,CAR,W 13-12,*,0,,,,,0.0%,,,,,,,,,
46,2001,2001-11-04,8,27.317,NYJ,@,NOR,W 16-9,*,0,,,,,0.0%,,,,,,,,,
47,2001,2001-11-11,9,27.324,NYJ,,KAN,W 27-7,*,0,,,,,0.0%,,,,,,,,,
48,2001,2001-11-18,10,27.331,NYJ,@,MIA,W 24-0,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,28,0
49,2001,2001-12-02,11,27.345,NYJ,,NWE,L 16-17,*,0,,,,,0.0%,,,,,,,,,
50,2001,2001-12-09,12,27.352,NYJ,@,PIT,L 7-18,*,0,,,,,0.0%,,,,,,,,,
51,2001,2001-12-16,13,27.359,NYJ,,CIN,W 15-14,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,30,0
52,2001,2001-12-23,14,28.001,NYJ,@,IND,W 29-28,*,0,,,,,0.0%,,,,,,,,,
53,2001,2002-01-06,16,28.015,NYJ,@,OAK,W 24-22,*,0,,,,,0.0%,,,,,,,,,
54,2002,2002-09-08,1,28.260,NYJ,@,BUF,W 37-31,*,0,,,,,0.0%,,,,,,,,,
55,2002,2002-09-15,2,28.267,NYJ,,NWE,L 7-44,*,0,,,,,0.0%,,,,,,,,,
56,2002,2002-09-29,4,28.281,NYJ,@,JAX,L 3-28,*,0,,,,,0.0%,,,,,,,,,
57,2002,2002-10-06,5,28.288,NYJ,,KAN,L 25-29,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0
58,2002,2002-10-20,6,28.302,NYJ,,MIN,W 20-7,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,12,0
59,2002,2002-10-27,7,28.309,NYJ,,CLE,L 21-24,*,0,,,,,0.0%,,,,,,,,,
60,2002,2002-11-03,8,28.316,NYJ,@,SDG,W 44-13,*,0,,,,,0.0%,,,,,,,,,
61,2002,2002-11-10,9,28.323,NYJ,,MIA,W 13-10,*,0,,,,,0.0%,,,,,,,,,
62,2002,2002-11-17,10,28.330,NYJ,@,DET,W 31-14,*,0,,,,,0.0%,,,,,,,,,
63,2002,2002-11-24,11,28.337,NYJ,,BUF,W 31-13,*,0,,,,,0.0%,,,,,,,,,
64,2002,2002-12-02,12,28.345,NYJ,@,OAK,L 20-26,*,0,,,,,0.0%,,,,,,,,,
65,2002,2002-12-08,13,28.351,NYJ,,DEN,W 19-13,*,0,,,,,0.0%,,,,,,,,,
66,2002,2002-12-15,14,28.358,NYJ,@,CHI,L 13-20,*,0,,,,,0.0%,,,,,,,,,
67,2002,2002-12-22,15,29.000,NYJ,@,NWE,W 30-17,*,0,,,,,0.0%,,,,,,,,,
68,2002,2002-12-29,16,29.007,NYJ,,GNB,W 42-17,*,0,,,,,0.0%,,,,,,,,,
69,2003,2003-09-07,1,29.259,SEA,,NOR,W 27-10,,0,,,,,0.0%,,,,,,,,,
70,2003,2003-09-14,2,29.266,SEA,@,ARI,W 38-0,,0,,,,,0.0%,,,,,,,,,
71,2003,2003-09-21,3,29.273,SEA,,STL,W 24-23,,0,,,,,0.0%,,,,,,,,,
72,2003,2003-10-05,4,29.287,SEA,@,GNB,L 13-35,,0,0,0,,0,0.0%,,1,0,0.00,0,0.0,0,0,0
73,2003,2003-10-12,5,29.294,SEA,,SFO,W 20-19,,,,,,,0.0%,,,,,,,,,
74,2003,2003-10-19,6,29.301,SEA,,CHI,W 24-17,,,,,,,0.0%,,,,,,,,,
75,2003,2003-10-26,7,29.308,SEA,@,CIN,L 24-27,,,,,,,0.0%,,,,,,,,,
76,2003,2003-11-02,8,29.315,SEA,,PIT,W 23-16,*,0,,,,,0.0%,,,,,,,,,
