ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1984,1984-09-02,1,27.014,GNB,,STL,W 24-23,0,0,,0
2,1984,1984-09-09,2,27.021,GNB,@,RAI,L 7-28,0,0,,0
3,1984,1984-09-16,3,27.028,GNB,,CHI,L 7-9,0,0,,0
4,1984,1984-09-23,4,27.035,GNB,@,DAL,L 6-20,0,0,,0
5,1984,1984-09-30,5,27.042,GNB,@,TAM,L 27-30,0,0,,0
6,1984,1984-10-07,6,27.049,GNB,,SDG,L 28-34,0,0,,0
7,1984,1984-10-15,7,27.057,GNB,@,DEN,L 14-17,0,0,,0
8,1984,1984-10-21,8,27.063,GNB,,SEA,L 24-30,0,0,,0
9,1984,1984-10-28,9,27.070,GNB,,DET,W 41-9,0,0,,0
10,1984,1984-11-04,10,27.077,GNB,@,NOR,W 23-13,0,0,,0
11,1984,1984-11-11,11,27.084,GNB,,MIN,W 45-17,0,0,,0
12,1984,1984-11-18,12,27.091,GNB,,RAM,W 31-6,0,0,,0
13,1984,1984-11-22,13,27.095,GNB,@,DET,L 28-31,0,0,,0
14,1984,1984-12-02,14,27.105,GNB,,TAM,W 27-14,0,0,,0
15,1984,1984-12-09,15,27.112,GNB,@,CHI,W 20-14,0,0,,0
16,1984,1984-12-16,16,27.119,GNB,@,MIN,W 38-14,4,24,6.00,0
17,1985,1985-09-08,1,28.020,GNB,@,NWE,L 20-26,0,0,,0
18,1985,1985-09-15,2,28.027,GNB,,NYG,W 23-20,0,0,,0
19,1985,1985-09-22,3,28.034,GNB,,NYJ,L 3-24,0,0,,0
20,1985,1985-09-29,4,28.041,GNB,@,STL,L 28-43,0,0,,0
21,1985,1985-10-06,5,28.048,GNB,,DET,W 43-10,0,0,,0
22,1985,1985-10-13,6,28.055,GNB,,MIN,W 20-17,0,0,,0
23,1985,1985-10-21,7,28.063,GNB,@,CHI,L 7-23,0,0,,0
24,1985,1985-10-27,8,28.069,GNB,@,IND,L 10-37,0,0,,0
25,1985,1985-11-03,9,28.076,GNB,,CHI,L 10-16,1,0,0.00,0
26,1985,1985-11-10,10,28.083,GNB,@,MIN,W 27-17,0,0,,0
27,1985,1985-11-17,11,28.090,GNB,,NOR,W 38-14,0,0,,0
28,1985,1985-11-24,12,28.097,GNB,@,RAM,L 17-34,0,0,,0
29,1985,1985-12-01,13,28.104,GNB,,TAM,W 21-0,0,0,,0
30,1985,1985-12-08,14,28.111,GNB,,MIA,L 24-34,0,0,,0
31,1985,1985-12-15,15,28.118,GNB,@,DET,W 26-23,0,0,,0
32,1985,1985-12-22,16,28.125,GNB,@,TAM,W 20-17,0,0,,0
33,1986,1986-09-07,1,29.019,GNB,,HOU,L 3-31,,,,
34,1986,1986-09-14,2,29.026,GNB,@,NOR,L 10-24,,,,
35,1986,1986-09-22,3,29.034,GNB,,CHI,L 12-25,,,,
36,1986,1986-09-28,4,29.040,GNB,@,MIN,L 7-42,,,,
37,1986,1986-10-05,5,29.047,GNB,,CIN,L 28-34,,,,
38,1986,1986-10-12,6,29.054,GNB,,DET,L 14-21,,,,
39,1986,1986-10-19,7,29.061,GNB,@,CLE,W 17-14,,,,
40,1986,1986-10-26,8,29.068,GNB,,SFO,L 17-31,,,,
41,1986,1986-11-02,9,29.075,GNB,@,PIT,L 3-27,,,,
42,1986,1986-11-09,10,29.082,GNB,,WAS,L 7-16,,,,
