ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1997,1997-08-31,1,23.012,NYG,,PHI,W 31-17,,0,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,
2,1997,1997-09-07,2,23.019,NYG,@,JAX,L 13-40,,0,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,
3,1997,1997-09-14,3,23.026,NYG,,BAL,L 23-24,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,
4,1997,1997-09-21,4,23.033,NYG,@,STL,L 3-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,1,26,26.00,0,0,0
5,1997,1997-09-28,5,23.040,NYG,,NOR,W 14-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,3,45,15.00,0,0,0
6,1997,1997-10-05,6,23.047,NYG,,DAL,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,4,52,13.00,0,0,0
7,1997,1997-10-12,7,23.054,NYG,@,ARI,W 27-13,,4,3,66,22.00,1,75.0%,16.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
8,1997,1997-10-19,8,23.061,NYG,@,DET,W 26-20,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1997,1997-10-26,9,23.068,NYG,,CIN,W 29-27,,3,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,0,0,,0,0,
10,1997,1997-11-09,10,23.082,NYG,@,TEN,L 6-10,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,0,0,,0,0,
11,1997,1997-11-16,11,23.089,NYG,,ARI,W 19-10,,5,2,35,17.50,0,40.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
12,1997,1997-11-23,12,23.096,NYG,@,WAS,T 7-7,,5,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,0,0,,0,0,
13,1997,1997-11-30,13,23.103,NYG,,TAM,L 8-20,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,1997,1997-12-07,14,23.110,NYG,@,PHI,W 31-21,,6,3,54,18.00,1,50.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
