ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1996,1996-09-01,1,24.092,PIT,@,JAX,L 9-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
2,1996,1996-09-08,2,24.099,PIT,,BAL,W 31-17,,0,0,0,,0,0.0%,,0,0,,0,1,20,20.00,0
3,1996,1996-09-16,3,24.107,PIT,,BUF,W 24-6,,0,0,0,,0,0.0%,,4,14,3.50,0,0,0,,0
4,1996,1996-09-29,4,24.120,PIT,,HOU,W 30-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
5,1996,1996-10-07,5,24.128,PIT,@,KAN,W 17-7,,1,0,0,,0,0.0%,0.00,1,7,7.00,0,0,0,,0
6,1996,1996-10-13,6,24.134,PIT,,CIN,W 20-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
7,1996,1996-10-20,7,24.141,PIT,@,HOU,L 13-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
8,1996,1996-10-27,8,24.148,PIT,@,ATL,W 20-17,,0,0,0,,0,0.0%,,1,5,5.00,0,0,0,,0
9,1996,1996-11-03,9,24.155,PIT,,STL,W 42-6,,0,0,0,,0,0.0%,,7,33,4.71,0,0,0,,0
10,1996,1996-11-10,10,24.162,PIT,@,CIN,L 24-34,,0,0,0,,0,0.0%,,1,8,8.00,0,0,0,,0
11,1996,1996-11-17,11,24.169,PIT,,JAX,W 28-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
12,1996,1996-11-25,12,24.177,PIT,@,MIA,W 24-17,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0
13,1996,1996-12-01,13,24.183,PIT,@,BAL,L 17-31,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
14,1996,1996-12-08,14,24.190,PIT,,SDG,W 16-3,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0
15,1996,1996-12-15,15,24.197,PIT,,SFO,L 15-25,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
16,1996,1996-12-22,16,24.204,PIT,@,CAR,L 14-18,,0,0,0,,0,0.0%,,3,2,0.67,0,0,0,,0
17,1997,1997-08-31,1,25.091,PIT,,DAL,L 7-37,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0
18,1997,1997-09-07,2,25.098,PIT,,WAS,W 14-13,,,0,0,,0,0.0%,,0,0,,0,,,,
19,1997,1997-09-22,3,25.113,PIT,@,JAX,L 21-30,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0
20,1997,1997-09-28,4,25.119,PIT,,TEN,W 37-24,,,0,0,,0,0.0%,,0,0,,0,,,,
21,1997,1997-10-05,5,25.126,PIT,@,BAL,W 42-34,,,0,0,,0,0.0%,,0,0,,0,,,,
22,1997,1997-10-12,6,25.133,PIT,,IND,W 24-22,,,0,0,,0,0.0%,,0,0,,0,,,,
23,1997,1997-10-19,7,25.140,PIT,@,CIN,W 26-10,,1,0,0,,0,0.0%,0.00,1,4,4.00,0,0,0,,0
24,1997,1997-10-26,8,25.147,PIT,,JAX,W 23-17,,,0,0,,0,0.0%,,0,0,,0,,,,
25,1997,1997-11-03,9,25.155,PIT,@,KAN,L 10-13,,,0,0,,0,0.0%,,0,0,,0,,,,
26,1997,1997-11-09,10,25.161,PIT,,BAL,W 37-0,,,0,0,,0,0.0%,,0,0,,0,,,,
27,1997,1997-11-16,11,25.168,PIT,,CIN,W 20-3,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0
28,1997,1997-11-23,12,25.175,PIT,@,PHI,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,,,,
29,1997,1997-11-30,13,25.182,PIT,@,ARI,W 26-20,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,
30,1997,1997-12-07,14,25.189,PIT,,DEN,W 35-24,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,
31,1997,1997-12-13,15,25.195,PIT,@,NWE,W 24-21,,,0,0,,0,0.0%,,0,0,,0,,,,
32,1997,1997-12-21,16,25.203,PIT,@,TEN,L 6-16,,0,0,0,,0,0.0%,,2,3,1.50,0,0,0,,0
33,1998,1998-09-06,1,26.097,PIT,@,BAL,W 20-13,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0
34,1998,1998-09-13,2,26.104,PIT,,CHI,W 17-12,,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,,0
35,1998,1998-09-20,3,26.111,PIT,@,MIA,L 0-21,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0
36,1998,1998-09-27,4,26.118,PIT,,SEA,W 13-10,,1,1,7,7.00,0,100.0%,7.00,1,2,2.00,0,0,0,,0
37,1998,1998-10-11,5,26.132,PIT,@,CIN,L 20-25,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0
38,1998,1998-10-18,6,26.139,PIT,,BAL,W 16-6,,1,,,,,0.0%,,,,,,,,,
39,1998,1998-10-26,7,26.147,PIT,@,KAN,W 20-13,,,,,,,0.0%,,,,,,,,,
40,1998,1998-11-01,8,26.153,PIT,,TEN,L 31-41,,,,,,,0.0%,,,,,,,,,
41,1998,1998-11-09,9,26.161,PIT,,GNB,W 27-20,,,,,,,0.0%,,,,,,,,,
42,1998,1998-11-15,10,26.167,PIT,@,TEN,L 14-23,,,,,,,0.0%,,,,,,,,,
43,1998,1998-11-22,11,26.174,PIT,,JAX,W 30-15,,1,,,,,0.0%,,,,,,,,,
44,1998,1998-11-26,12,26.178,PIT,@,DET,L 16-19,,4,4,35,8.75,0,100.0%,8.75,0,0,,0,0,0,,0
45,1998,1998-12-06,13,26.188,PIT,,NWE,L 9-23,,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,,0
46,1998,1998-12-13,14,26.195,PIT,@,TAM,L 3-16,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0
47,1998,1998-12-20,15,26.202,PIT,,CIN,L 24-25,,,,,,,0.0%,,,,,,,,,
48,1998,1998-12-28,16,26.210,PIT,@,JAX,L 3-21,,1,,,,,0.0%,,,,,,,,,
49,1999,1999-09-12,1,27.103,PIT,@,CLE,W 43-0,*,4,2,9,4.50,0,50.0%,2.25,3,11,3.67,0,0,0,,0
