ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
1,2016,2016-11-06,9,25.159,NYJ,@,MIA,L 23-27,,2,2,100.00,19,0,0,106.2,0,0,9.50,9.50,0,0,,0,,0,0
2,2016,2016-11-13,10,25.166,NYJ,,LAR,L 6-9,*,19,32,59.38,163,1,1,70.2,1,6,5.09,4.31,0,0,,0,,0,0
3,2016,2016-12-05,12,25.188,NYJ,,IND,L 10-41,,11,25,44.00,135,1,2,41.2,1,2,5.40,2.60,0,0,,0,,0,0
4,2016,2016-12-11,13,25.194,NYJ,@,SFO,W 23-17,*,23,35,65.71,257,0,1,75.5,6,41,7.34,6.06,4,19,4.75,0,1,0,2
5,2016,2016-12-17,14,25.200,NYJ,,MIA,L 13-34,*,20,36,55.56,235,1,2,61.7,3,22,6.53,4.58,1,0,0.00,0,,0,0
6,2016,2016-12-24,15,25.207,NYJ,@,NWE,L 3-41,*,0,3,0.00,0,0,1,0.0,2,8,0.00,-15.00,0,0,,0,,0,0
7,2017,2017-12-10,13,26.193,NYJ,@,DEN,L 0-23,,2,9,22.22,14,0,0,39.6,0,0,1.56,1.56,1,7,7.00,0,,0,0
8,2017,2017-12-17,14,26.200,NYJ,@,NOR,L 19-31,*,19,39,48.72,179,1,2,49.0,1,9,4.59,2.79,2,16,8.00,0,,0,0
9,2017,2017-12-24,15,26.207,NYJ,,LAC,L 7-14,*,15,28,53.57,119,0,1,49.6,3,21,4.25,2.64,3,33,11.00,0,,0,0
10,2017,2017-12-31,16,26.214,NYJ,@,NWE,L 6-26,*,19,36,52.78,232,0,0,72.9,4,25,6.44,6.44,1,-1,-1.00,0,,0,0
