ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,21.306,MIN,@,SDG,L 17-24,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
2,2011,2011-09-18,2,21.313,MIN,,TAM,L 20-24,*,1,1,15,15.00,0,100.0%,15.00,0,0,,0,,0,0,0.0,0,0
3,2011,2011-09-25,3,21.320,MIN,,DET,L 23-26,,3,3,39,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0
4,2011,2011-10-02,4,21.327,MIN,@,KAN,L 17-22,*,4,3,44,14.67,0,75.0%,11.00,0,0,,0,,0,0,0.0,0,0
5,2011,2011-10-09,5,21.334,MIN,,ARI,W 34-10,,,,,,,0.0%,,,,,,,,,,,
6,2011,2011-10-16,6,21.341,MIN,@,CHI,L 10-39,*,3,2,20,10.00,0,66.7%,6.67,0,0,,0,,0,0,0.0,0,0
7,2011,2011-10-23,7,21.348,MIN,,GNB,L 27-33,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
8,2011,2011-10-30,8,21.355,MIN,@,CAR,W 24-21,*,5,2,15,7.50,0,40.0%,3.00,0,0,,0,,0,0,0.0,0,0
9,2011,2011-11-14,9,22.005,MIN,@,GNB,L 7-45,,3,3,37,12.33,0,100.0%,12.33,0,0,,0,,0,0,0.0,0,0
10,2011,2011-11-20,10,22.011,MIN,,OAK,L 21-27,,5,3,7,2.33,1,60.0%,1.40,0,0,,0,,1,6,0.0,0,0
11,2011,2011-12-04,12,22.025,MIN,,DEN,L 32-35,,1,1,19,19.00,1,100.0%,19.00,0,0,,0,,1,6,0.0,0,0
12,2011,2011-12-11,13,22.032,MIN,@,DET,L 28-34,*,4,1,0,0.00,0,25.0%,0.00,0,0,,0,,0,0,0.0,0,0
13,2011,2011-12-18,14,22.039,MIN,,NOR,L 20-42,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,0,0
14,2011,2011-12-24,15,22.045,MIN,@,WAS,W 33-26,*,2,2,23,11.50,1,100.0%,11.50,0,0,,0,,1,6,0.0,0,0
15,2011,2012-01-01,16,22.053,MIN,,CHI,L 13-17,*,4,3,15,5.00,0,75.0%,3.75,0,0,,0,,0,0,0.0,0,0
16,2012,2012-09-09,1,22.305,MIN,,JAX,W 26-23,*,7,5,67,13.40,0,71.4%,9.57,0,0,,0,,0,0,0.0,0,0
17,2012,2012-09-16,2,22.312,MIN,@,IND,L 20-23,*,5,3,35,11.67,1,60.0%,7.00,0,0,,0,,1,6,0.0,0,0
18,2012,2012-09-23,3,22.319,MIN,,SFO,W 24-13,*,6,5,36,7.20,2,83.3%,6.00,0,0,,0,,2,12,0.0,0,0
19,2012,2012-09-30,4,22.326,MIN,@,DET,W 20-13,*,5,2,8,4.00,0,40.0%,1.60,0,0,,0,,0,0,0.0,0,0
20,2012,2012-10-07,5,22.333,MIN,,TEN,W 30-7,*,7,4,23,5.75,1,57.1%,3.29,0,0,,0,,1,6,0.0,0,0
21,2012,2012-10-14,6,22.340,MIN,@,WAS,L 26-38,*,11,6,56,9.33,1,54.5%,5.09,0,0,,0,1,1,8,0.0,0,0
22,2012,2012-10-21,7,22.347,MIN,,ARI,W 21-14,*,4,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
23,2012,2012-10-25,8,22.351,MIN,,TAM,L 17-36,*,2,2,17,8.50,0,100.0%,8.50,0,0,,0,,0,0,0.0,0,0
24,2012,2012-11-04,9,22.361,MIN,@,SEA,L 20-30,*,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
25,2012,2012-11-11,10,23.002,MIN,,DET,W 34-24,*,9,7,64,9.14,1,77.8%,7.11,0,0,,0,,1,6,0.0,0,0
26,2012,2012-11-25,11,23.016,MIN,@,CHI,L 10-28,*,9,5,55,11.00,1,55.6%,6.11,0,0,,0,,1,6,0.0,0,0
