ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1981,1981-10-11,6,22.001,KAN,,OAK,W 27-0,0,0,,0,1,17,17.00,0
2,1981,1981-10-18,7,22.008,KAN,,DEN,W 28-14,0,0,,0,3,64,21.33,0
3,1981,1981-10-25,8,22.015,KAN,@,OAK,W 28-17,0,0,,0,2,39,19.50,0
4,1981,1981-11-01,9,22.022,KAN,@,SDG,L 20-22,0,0,,0,3,45,15.00,0
5,1981,1981-11-08,10,22.029,KAN,,CHI,L 13-16,0,0,,0,2,67,33.50,0
6,1981,1981-11-15,11,22.036,KAN,,HOU,W 23-10,0,0,,0,1,25,25.00,0
7,1981,1981-11-22,12,22.043,KAN,,SEA,W 40-13,0,0,,0,1,21,21.00,0
8,1981,1981-11-26,13,22.047,KAN,@,DET,L 10-27,1,22,22.00,0,4,97,24.25,0
9,1981,1981-12-06,14,22.057,KAN,@,DEN,L 13-16,1,14,14.00,0,1,19,19.00,0
10,1981,1981-12-20,16,22.071,KAN,@,MIN,W 10-6,0,0,,0,2,63,31.50,0
