ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1955,1955-09-25,1,22.238,WAS,@,CLE,W 27-17,3,10,3.33,0,2,26,13.00,0
2,1955,1955-10-01,2,22.244,WAS,@,PHI,W 31-30,11,51,4.64,0,3,86,28.67,0
3,1955,1955-10-09,3,22.252,WAS,,CRD,L 10-24,4,9,2.25,0,2,60,30.00,0
4,1955,1955-10-16,4,22.259,WAS,,CLE,L 14-24,8,26,3.25,0,0,0,,0
5,1955,1955-10-23,5,22.266,WAS,@,BAL,W 14-13,14,29,2.07,0,1,16,16.00,0
6,1955,1955-10-30,6,22.273,WAS,@,NYG,L 7-35,3,46,15.33,0,1,15,15.00,0
7,1955,1955-11-06,7,22.280,WAS,,PHI,W 34-21,7,20,2.86,1,1,30,30.00,0
8,1955,1955-11-13,8,22.287,WAS,,SFO,W 7-0,15,89,5.93,1,1,18,18.00,0
9,1955,1955-11-20,9,22.294,WAS,@,CRD,W 31-0,3,19,6.33,0,1,3,3.00,0
10,1955,1955-11-27,10,22.301,WAS,@,PIT,W 23-14,16,72,4.50,0,0,0,,0
11,1955,1955-12-04,11,22.308,WAS,,NYG,L 20-27,5,24,4.80,0,2,52,26.00,0
12,1958,1958-10-12,3,25.255,WAS,,NYG,L 14-21,6,10,1.67,0,2,31,15.50,0
13,1958,1958-10-26,5,25.269,WAS,@,BAL,L 10-35,11,60,5.45,1,1,19,19.00,0
14,1958,1958-12-07,11,25.311,WAS,,PIT,T 14-14,1,-4,-4.00,0,0,0,,0
15,1958,1958-12-14,12,25.318,WAS,,PHI,W 20-0,9,16,1.78,0,0,0,,0
