ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,23.178,IND,@,CHI,L 21-41,,1,1,10,10.00,0,100.0%,10.00,1,15,15.00,0,2,12,6.00,0,0,0,0.0,0,0
2,2012,2012-09-23,3,23.192,IND,,JAX,L 17-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2012,2012-10-07,4,23.206,IND,,GNB,W 30-27,,,,,,,0.0%,,,,,,,,,,,,,,
4,2012,2012-10-14,5,23.213,IND,@,NYJ,L 9-35,,1,1,14,14.00,0,100.0%,14.00,2,35,17.50,0,0,0,,0,0,0,0.0,0,0
5,2012,2012-10-21,6,23.220,IND,,CLE,W 17-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2012,2012-10-28,7,23.227,IND,@,TEN,W 19-13,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2012,2012-11-04,8,23.234,IND,,MIA,W 23-20,,5,2,25,12.50,0,40.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2012,2012-11-08,9,23.238,IND,@,JAX,W 27-10,,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2012,2012-11-18,10,23.248,IND,@,NWE,L 24-59,,4,2,46,23.00,0,50.0%,11.50,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2012,2012-11-25,11,23.255,IND,,BUF,W 20-13,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2012,2012-12-02,12,23.262,IND,@,DET,W 35-33,,4,1,42,42.00,1,25.0%,10.50,0,0,,0,0,0,,0,1,6,0.0,0,0
12,2012,2012-12-09,13,23.269,IND,,TEN,W 27-23,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2012,2012-12-16,14,23.276,IND,@,HOU,L 17-29,,0,,,,,0.0%,,,,,,,,,,,,,,
14,2012,2012-12-23,15,23.283,IND,@,KAN,W 20-13,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2012,2012-12-30,16,23.290,IND,,HOU,W 28-16,,,,,,,0.0%,,,,,,,,,,,,,,
16,2013,2013-10-14,6,24.213,IND,@,SDG,L 9-19,,,,,,,0.0%,,,,,,,,,,,,,,
17,2013,2013-10-20,7,24.219,IND,,DEN,W 39-33,,0,0,0,,0,0.0%,,1,16,16.00,0,0,0,,0,0,0,0.0,1,0
18,2013,2013-11-03,8,24.233,IND,@,HOU,W 27-24,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,0.0,1,0
19,2013,2013-11-10,9,24.240,IND,,STL,L 8-38,,5,1,11,11.00,0,20.0%,2.20,0,0,,0,3,25,8.33,0,0,0,0.0,0,0
20,2013,2013-11-14,10,24.244,IND,@,TEN,W 30-27,,1,0,0,,0,0.0%,0.00,1,20,20.00,0,0,0,,0,0,0,0.0,1,0
21,2013,2013-11-24,11,24.254,IND,@,ARI,L 11-40,,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2013,2013-12-01,12,24.261,IND,,TEN,W 22-14,,8,3,42,14.00,0,37.5%,5.25,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2013,2013-12-08,13,24.268,IND,@,CIN,L 28-42,,4,3,53,17.67,2,75.0%,13.25,0,0,,0,0,0,,0,2,12,0.0,0,0
24,2013,2013-12-22,15,24.282,IND,@,KAN,W 23-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,1,0
25,2013,2013-12-29,16,24.289,IND,,JAX,W 30-10,,1,1,11,11.00,0,100.0%,11.00,1,21,21.00,0,0,0,,0,0,0,0.0,0,0
