ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-10-02,2,24.064,STL,,NYG,L 14-35,0,0,,0,0,0,,0,0,0,,0,0,0,1,17,0
2,1960,1960-10-09,3,24.071,STL,@,PHI,L 27-31,,,,,,,,,1,0,0.00,0,,,,,
3,1960,1960-10-16,4,24.078,STL,@,PIT,L 14-27,0,0,,0,1,20,20.00,0,4,41,10.25,0,0,0,0,0,0
4,1960,1960-10-23,5,24.085,STL,,DAL,W 12-10,0,0,,0,0,0,,0,3,5,1.67,0,0,0,1,0,0
5,1960,1960-10-30,6,24.092,STL,@,NYG,W 20-13,0,0,,0,0,0,,0,1,0,0.00,0,0,0,1,25,0
6,1960,1960-11-06,7,24.099,STL,,WAS,W 44-7,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0,0,0
7,1960,1960-11-13,8,24.106,STL,@,CLE,L 27-28,0,0,,0,4,101,25.25,0,1,8,8.00,0,0,0,0,0,0
8,1960,1960-11-27,10,24.120,STL,,CLE,T 17-17,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0
9,1960,1960-12-04,11,24.127,STL,,PHI,L 6-20,0,0,,0,0,0,,0,2,0,0.00,0,0,0,0,0,0
10,1960,1960-12-18,12,24.141,STL,,PIT,W 38-7,0,0,,0,1,25,25.00,0,0,0,,0,0,0,1,0,0
11,1961,1961-09-17,1,25.049,STL,@,NYG,W 21-10,3,35,11.67,0,0,0,,0,0,0,,0,0,0,0,0,0
12,1961,1961-09-24,2,25.056,STL,@,CLE,L 17-20,4,36,9.00,0,0,0,,0,0,0,,0,0,0,0,0,0
13,1961,1961-10-01,3,25.063,STL,@,PHI,W 30-27,2,9,4.50,0,0,0,,0,1,7,7.00,0,0,0,0,0,0
14,1961,1961-10-08,4,25.070,STL,,NYG,L 9-24,3,161,53.67,1,3,60,20.00,0,4,2,0.50,0,1,6,0,0,0
15,1961,1961-11-05,8,25.098,STL,@,DAL,W 31-17,0,0,,0,0,0,,0,0,0,,0,2,12,2,70,2
16,1961,1961-11-12,9,25.105,STL,,DET,L 14-45,0,0,,0,0,0,,0,0,0,,0,0,0,1,25,0
17,1961,1961-12-17,14,25.140,STL,,PIT,W 20-0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
18,1962,1962-09-16,1,26.048,STL,@,PHI,W 27-21,0,0,,0,0,0,,0,0,0,,0,0,0,1,53,0
19,1962,1962-09-23,2,26.055,STL,@,GNB,L 0-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
20,1962,1962-10-14,5,26.076,STL,,WAS,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,12,0
21,1962,1962-10-28,7,26.090,STL,@,DAL,W 28-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0
22,1962,1962-11-04,8,26.097,STL,@,NYG,L 28-31,0,0,,0,0,0,,0,1,0,0.00,0,0,0,1,5,0
23,1962,1962-11-25,11,26.118,STL,,SFO,L 17-24,0,0,,0,5,121,24.20,0,4,35,8.75,0,0,0,0,0,0
24,1962,1962-12-09,13,26.132,STL,,DAL,W 52-20,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
25,1963,1963-10-20,6,27.082,STL,,GNB,L 7-30,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
26,1963,1963-11-10,9,27.103,STL,,WAS,W 24-20,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0
