ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1992,1992-09-06,1,22.265,KAN,@,SDG,W 24-10,,,,,,0,0,,0,,,,,
2,1992,1992-09-13,2,22.272,KAN,,SEA,W 26-7,,,,,,0,0,,0,,,,,
3,1992,1992-09-20,3,22.279,KAN,@,HOU,L 20-23,,,,,,0,0,,0,,,,,
4,1992,1992-09-28,4,22.287,KAN,,RAI,W 27-7,,0,0,,0,0,0,,0,1,6,1,25,1
5,1992,1992-10-04,5,22.293,KAN,@,DEN,L 19-20,,,,,,0,0,,0,,,,,
6,1992,1992-10-11,6,22.300,KAN,,PHI,W 24-17,,,,,,0,0,,0,,,,,
7,1992,1992-10-18,7,22.307,KAN,@,DAL,L 10-17,,0,0,,0,0,0,,0,0,0,1,39,0
8,1992,1992-10-25,8,22.314,KAN,,PIT,L 3-27,,,,,,0,0,,0,,,,,
9,1992,1992-11-08,9,22.328,KAN,,SDG,W 16-14,,0,0,,0,1,4,4.00,0,0,0,0,0,0
10,1992,1992-11-15,10,22.335,KAN,,WAS,W 35-16,,0,0,,0,0,0,,0,0,0,1,33,0
11,1992,1992-11-22,11,22.342,KAN,@,SEA,W 24-14,,0,0,,0,0,0,,0,0,0,1,-1,0
12,1992,1992-11-29,12,22.349,KAN,@,NYJ,W 23-7,,,,,,0,0,,0,,,,,
13,1992,1992-12-06,13,22.356,KAN,@,RAI,L 7-28,,,,,,0,0,,0,,,,,
14,1992,1992-12-13,14,22.363,KAN,,NWE,W 27-20,,,,,,0,0,,0,,,,,
15,1992,1992-12-19,15,23.003,KAN,@,NYG,L 21-35,,,,,,0,0,,0,,,,,
16,1992,1992-12-27,16,23.011,KAN,,DEN,W 42-20,,,,,,,,,,,,0,32,1
17,1993,1993-09-05,1,23.263,KAN,@,TAM,W 27-3,,0,0,,0,0,0,,0,0,0,1,13,0
18,1993,1993-09-12,2,23.270,KAN,@,HOU,L 0-30,,,,,,0,0,,0,,,,,
19,1993,1993-09-20,3,23.278,KAN,,DEN,W 15-7,,,,,,0,0,,0,,,,,
20,1993,1993-10-03,4,23.291,KAN,,RAI,W 24-9,,,,,,0,0,,0,,,,,
21,1993,1993-10-10,5,23.298,KAN,,CIN,W 17-15,,0,0,,0,0,0,,0,0,0,1,2,0
22,1993,1993-10-17,6,23.305,KAN,@,SDG,W 17-14,,,,,,0,0,,0,,,,,
23,1993,1993-10-31,7,23.319,KAN,@,MIA,L 10-30,,,,,,0,0,,0,,,,,
24,1993,1993-11-08,8,23.327,KAN,,GNB,W 23-16,,0,0,,0,0,0,,0,0,0,1,20,0
25,1993,1993-11-14,9,23.333,KAN,@,RAI,W 31-20,,,,,,0,0,,0,,,,,
