ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2008,2008-09-07,1,22.142,BAL,,CIN,W 17-10,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
2,2008,2008-09-21,2,22.156,BAL,,CLE,W 28-10,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
3,2008,2008-09-29,3,22.164,BAL,@,PIT,L 20-23,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
4,2008,2008-10-05,4,22.170,BAL,,TEN,L 10-13,,,,,,,,,,,,,,,
5,2008,2008-10-12,5,22.177,BAL,@,IND,L 3-31,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
6,2008,2008-10-19,6,22.184,BAL,@,MIA,W 27-13,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
7,2008,2008-10-26,7,22.191,BAL,,OAK,W 29-10,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
8,2008,2008-11-02,8,22.198,BAL,@,CLE,W 37-27,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
9,2008,2008-11-09,9,22.205,BAL,@,HOU,W 41-13,,,,,,,,,,,,,,,
10,2008,2008-11-16,10,22.212,BAL,@,NYG,L 10-30,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
11,2008,2008-11-23,11,22.219,BAL,,PHI,W 36-7,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
12,2008,2008-11-30,12,22.226,BAL,@,CIN,W 34-3,,,,,,,,,,,,,,,
13,2008,2008-12-07,13,22.233,BAL,,WAS,W 24-10,,,,,,,,,,,,,,,
14,2008,2008-12-14,14,22.240,BAL,,PIT,L 9-13,,,,,,,,,,,,,,,
15,2008,2008-12-20,15,22.246,BAL,@,DAL,W 33-24,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
16,2008,2008-12-28,16,22.254,BAL,,JAX,W 27-7,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
17,2009,2009-09-13,1,23.148,BAL,,KAN,W 38-24,,,,,,,,,,,,,,,
18,2009,2009-09-20,2,23.155,BAL,@,SDG,W 31-26,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
19,2009,2009-09-27,3,23.162,BAL,,CLE,W 34-3,,,,,,,,,,,,,,,
20,2009,2009-10-04,4,23.169,BAL,@,NWE,L 21-27,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
21,2009,2009-10-11,5,23.176,BAL,,CIN,L 14-17,,,,,,,,,,,,,,,
22,2009,2009-10-18,6,23.183,BAL,@,MIN,L 31-33,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
23,2009,2009-11-01,7,23.197,BAL,,DEN,W 30-7,,,,,,,,,,,,,,,
24,2009,2009-11-08,8,23.204,BAL,@,CIN,L 7-17,,,,,,,,,,,,,,,
25,2009,2009-11-16,9,23.212,BAL,@,CLE,W 16-0,,,,,,,,,,,,,,,
26,2010,2010-09-13,1,24.148,BAL,@,NYJ,W 10-9,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
27,2010,2010-09-19,2,24.154,BAL,@,CIN,L 10-15,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
28,2010,2010-09-26,3,24.161,BAL,,CLE,W 24-17,,,,,,,,,,,,,,,
29,2010,2010-10-03,4,24.168,BAL,@,PIT,W 17-14,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
30,2010,2010-10-10,5,24.175,BAL,,DEN,W 31-17,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
31,2010,2010-10-17,6,24.182,BAL,@,NWE,L 20-23,,0,0,,0,0,0,,0,0.0,3,1,0,0,0
32,2010,2010-10-24,7,24.189,BAL,,BUF,W 37-34,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
33,2010,2010-11-07,8,24.203,BAL,,MIA,W 26-10,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
34,2010,2010-11-11,9,24.207,BAL,@,ATL,L 21-26,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
35,2010,2010-11-21,10,24.217,BAL,@,CAR,W 37-13,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
36,2010,2010-11-28,11,24.224,BAL,,TAM,W 17-10,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
