ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1994,1994-09-26,4,23.247,BUF,,DEN,W 27-20,4,51,12.75,0,0,0,,0
2,1994,1994-10-09,6,23.260,BUF,,MIA,W 21-11,2,47,23.50,0,0,0,,0
3,1994,1994-10-30,8,23.281,BUF,,KAN,W 44-10,3,64,21.33,0,0,0,,0
4,1996,1996-09-15,3,25.237,GNB,,SDG,W 42-10,,,,,,,,
5,1996,1996-09-22,4,25.244,GNB,@,MIN,L 21-30,,,,,,,,
6,1996,1996-11-17,11,25.300,JAX,@,PIT,L 3-28,0,0,,0,,,,
7,1996,1996-11-24,12,25.307,NWE,,IND,W 27-13,,,,,,,,
8,1996,1996-11-24,12,25.307,JAX,@,BAL,W 28-25,4,103,25.75,0,0,0,,0
9,1996,1996-12-01,13,25.314,JAX,,CIN,W 30-27,5,121,24.20,0,0,0,,0
10,1996,1996-12-08,14,25.321,JAX,@,HOU,W 23-17,3,70,23.33,0,0,0,,0
11,1996,1996-12-15,15,25.328,JAX,,SEA,W 20-13,3,68,22.67,0,0,0,,0
12,1996,1996-12-22,16,25.335,JAX,,ATL,W 19-17,2,50,25.00,0,0,0,,0
13,1997,1997-08-31,1,26.221,MIA,,IND,W 16-10,,,,,,,,
14,1997,1997-09-07,2,26.228,JAX,,NYG,W 40-13,,,,,,,,
15,1997,1997-09-22,3,26.243,JAX,,PIT,W 30-21,,,,,,,,
16,1997,1997-09-28,5,26.249,GNB,@,DET,L 15-26,,,,,,,,
17,1997,1997-10-05,6,26.256,GNB,,TAM,W 21-16,,,,,,,,
18,1997,1997-10-12,7,26.263,GNB,@,CHI,W 24-23,,,,,,,,
19,1997,1997-12-07,14,26.319,KAN,,OAK,W 30-0,,,,,,,,
20,1997,1997-12-14,15,26.326,KAN,@,SDG,W 29-7,,,,,,,,
21,1997,1997-12-21,16,26.333,KAN,,NOR,W 25-13,,,,,,,,
22,1998,1998-09-06,1,27.227,KAN,,OAK,W 28-8,,,,,,,,
23,1998,1998-09-13,2,27.234,KAN,@,JAX,L 16-21,,,,,,,,
24,1998,1998-09-20,3,27.241,KAN,,SDG,W 23-7,,,,,,,,
25,1998,1998-09-27,4,27.248,KAN,@,PHI,W 24-21,,,,,,,,
26,1998,1998-10-04,5,27.255,KAN,,SEA,W 17-6,,,,,,,,
27,1998,1998-11-01,8,27.283,KAN,,NYJ,L 17-20,,,,,,,,
28,1998,1998-11-22,11,27.304,OAK,@,DEN,L 14-40,,,,,,,,
29,1998,1998-11-29,12,27.311,OAK,,WAS,L 19-29,0,0,,0,1,0,0.00,0
30,1998,1998-12-06,13,27.318,OAK,,MIA,L 17-27,,,,,,,,
31,1998,1998-12-13,14,27.325,OAK,@,BUF,L 21-44,,,,,,,,
32,1998,1998-12-20,15,27.332,OAK,@,SDG,W 17-10,,,,,,,,
33,1998,1998-12-26,16,27.338,OAK,,KAN,L 24-31,,,,,,,,
