ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1987,1987-11-01,7,21.341,PHI,@,STL,W 28-23,,,1,22,22.00,1,,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6
2,1987,1987-11-08,8,21.348,PHI,,WAS,W 31-27,,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,,,,1,28,28.00,0,0,0
3,1987,1987-11-15,9,21.355,PHI,,NYG,L 17-20,,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,0,0,,0,,
4,1987,1987-11-22,10,21.362,PHI,,STL,L 19-31,,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,0,0,,0,,
5,1987,1987-11-29,11,22.004,PHI,@,NWE,W 34-31,,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,2,39,19.50,0,0,0
6,1987,1987-12-06,12,22.011,PHI,@,NYG,L 20-23,,,1,25,25.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,5,123,24.60,0,0,0
7,1987,1987-12-13,13,22.018,PHI,,MIA,L 10-28,,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,,,,2,16,8.00,0,0,0
8,1987,1987-12-20,14,22.025,PHI,@,NYJ,W 38-27,,,1,14,14.00,1,,,0,0,,0,0,0,,0,0,0,,0,,,,1,16,16.00,0,1,6
9,1987,1987-12-27,15,22.032,PHI,,BUF,W 17-7,,,1,10,10.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,1,19,19.00,0,0,0
10,1988,1988-09-04,1,22.284,PHI,@,TAM,W 41-14,,,4,85,21.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
11,1988,1988-09-11,2,22.291,PHI,,CIN,L 24-28,,,2,20,10.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
12,1988,1988-09-18,3,22.298,PHI,@,WAS,L 10-17,,,1,3,3.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
13,1988,1988-09-25,4,22.305,PHI,@,MIN,L 21-23,,,1,3,3.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,1988,1988-10-02,5,22.312,PHI,,HOU,W 32-23,,,2,58,29.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
15,1988,1988-10-10,6,22.320,PHI,,NYG,W 24-13,,,5,162,32.40,1,,,1,1,1.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
16,1988,1988-10-16,7,22.326,PHI,@,CLE,L 3-19,,,2,30,15.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
17,1988,1988-10-23,8,22.333,PHI,,DAL,W 24-23,,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
18,1988,1988-10-30,9,22.340,PHI,,ATL,L 24-27,,,4,85,21.25,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
19,1988,1988-11-06,10,22.347,PHI,,RAM,W 30-24,,,5,61,12.20,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
20,1988,1988-11-13,11,22.354,PHI,@,PIT,W 27-26,,,3,73,24.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
21,1988,1988-11-20,12,22.361,PHI,@,NYG,W 23-17,,,0,0,,0,,,0,0,,0,,,,,,,,,,,,,,,,0,
22,1988,1988-11-27,13,23.002,PHI,,PHO,W 31-21,,,3,76,25.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
23,1988,1988-12-04,14,23.009,PHI,,WAS,L 19-20,,,2,22,11.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,1988,1988-12-10,15,23.015,PHI,@,PHO,W 23-17,,,1,37,37.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
25,1988,1988-12-18,16,23.023,PHI,@,DAL,W 23-7,,,3,34,11.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
26,1989,1989-09-10,1,23.289,PHI,,SEA,W 31-7,,,3,63,21.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
27,1989,1989-09-17,2,23.296,PHI,@,WAS,W 42-37,,,5,79,15.80,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
28,1989,1989-09-24,3,23.303,PHI,,SFO,L 28-38,,,2,13,6.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
29,1989,1989-10-02,4,23.311,PHI,@,CHI,L 13-27,,,8,113,14.13,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
