ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1967,1967-09-03,1,27.157,DEN,,BOS,W 26-21,,,,,,,,
2,1967,1967-09-10,2,27.164,DEN,@,OAK,L 0-51,,,,,,,,
3,1967,1967-09-17,3,27.171,DEN,@,MIA,L 21-35,,,,,,,,
4,1967,1967-09-24,4,27.178,DEN,,NYJ,L 24-38,,,,,,,,
5,1967,1967-10-01,5,27.185,DEN,@,HOU,L 6-10,,,,,,,,
6,1967,1967-10-08,6,27.192,DEN,,BUF,L 16-17,,,,,,,,
7,1967,1967-10-22,7,27.206,DEN,,SDG,L 21-38,3,3,100.0,,2,0.0,0,3
8,1967,1967-10-29,8,27.213,DEN,@,KAN,L 9-52,1,1,100.0,,,,0,1
9,1967,1967-11-05,9,27.220,DEN,,OAK,L 17-21,2,2,100.0,1,1,100.0,0,5
10,1967,1967-11-12,10,27.227,DEN,,HOU,L 18-20,1,1,100.0,1,3,33.3,0,4
11,1967,1967-11-19,11,27.234,DEN,@,BUF,W 21-20,3,3,100.0,,,,0,3
12,1967,1967-11-23,12,27.238,DEN,@,SDG,L 20-24,2,2,100.0,2,4,50.0,0,8
13,1967,1967-12-03,13,27.248,DEN,@,NYJ,W 33-24,3,4,75.0,2,2,100.0,0,9
14,1967,1967-12-17,14,27.262,DEN,,KAN,L 24-38,3,3,100.0,1,3,33.3,0,6
15,1968,1968-09-15,1,28.169,DEN,@,CIN,L 10-24,1,1,100.0,1,3,33.3,0,4
16,1968,1968-09-22,2,28.176,DEN,@,KAN,L 2-34,,,,,2,0.0,0,0
