ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1978,1978-09-17,3,23.028,DET,,CHI,L 0-19,,,,,,,,,,,,,,,,
2,1978,1978-09-24,4,23.035,DET,@,SEA,L 16-28,,,,,,,,,,,,,,,,
3,1978,1978-10-01,5,23.042,DET,@,GNB,L 14-35,,,,,,,,,,,,,,,,
4,1978,1978-10-15,7,23.056,DET,@,ATL,L 0-14,,,,,,,,,,,,,,,,
5,1978,1978-10-22,8,23.063,DET,,SDG,W 31-14,,,,,,,,,,,,,,,,
6,1978,1978-10-29,9,23.070,DET,@,CHI,W 21-17,,,,,,,,,,,,,,,,
7,1978,1978-11-05,10,23.077,DET,@,MIN,L 7-17,,,,,,,,,,,,,,,,
8,1978,1978-11-12,11,23.084,DET,,TAM,W 34-23,,,,,,,,,,,,,,,,
9,1978,1978-11-19,12,23.091,DET,@,OAK,L 17-29,,,,,,,,,,,,,,,,
10,1978,1978-11-23,13,23.095,DET,,DEN,W 17-14,0,0,,0,0,0,,0,1,2,2.00,0,0,0,,0
11,1978,1978-12-03,14,23.105,DET,@,STL,L 14-21,,,,,,,,,,,,,,,,
12,1978,1978-12-09,15,23.111,DET,,MIN,W 45-14,0,0,,0,0,0,,0,1,10,10.00,0,0,0,,0
13,1978,1978-12-17,16,23.119,DET,,SFO,W 33-14,,,,,,,,,,,,,,,,
14,1979,1979-09-01,1,24.012,DET,@,TAM,L 16-31,1,11,11.00,0,1,10,10.00,0,2,23,11.50,0,0,0,,0
15,1979,1979-09-09,2,24.020,DET,,WAS,L 24-27,0,0,,0,0,0,,0,1,16,16.00,0,0,0,,0
16,1979,1979-09-16,3,24.027,DET,@,NYJ,L 10-31,,,,,,,,,,,,,,,,
17,1979,1979-09-23,4,24.034,DET,,ATL,W 24-23,,,,,,,,,,,,,,,,
18,1979,1979-09-30,5,24.041,DET,,MIN,L 10-13,0,0,,0,0,0,,0,0,0,,0,1,4,4.00,0
19,1979,1979-10-07,6,24.048,DET,@,NWE,L 17-24,0,0,,0,0,0,,0,1,31,31.00,0,0,0,,0
20,1979,1979-10-14,7,24.055,DET,@,GNB,L 16-24,0,0,,0,0,0,,0,5,53,10.60,0,0,0,,0
21,1979,1979-10-21,8,24.062,DET,@,NOR,L 7-17,1,5,5.00,0,0,0,,0,3,72,24.00,0,1,5,5.00,0
22,1979,1979-10-28,9,24.069,DET,,BUF,L 17-20,0,0,,0,0,0,,0,3,63,21.00,0,0,0,,0
23,1979,1979-11-04,10,24.076,DET,@,CHI,L 7-35,0,0,,0,0,0,,0,2,36,18.00,0,0,0,,0
24,1979,1979-11-11,11,24.083,DET,,TAM,L 14-16,0,0,,0,0,0,,0,0,0,,0,1,3,3.00,0
25,1979,1979-11-18,12,24.090,DET,@,MIN,L 7-14,0,0,,0,0,0,,0,2,40,20.00,0,1,13,13.00,0
26,1979,1979-11-22,13,24.094,DET,,CHI,W 20-0,0,0,,0,2,-4,-2.00,0,0,0,,0,0,0,,0
27,1979,1979-12-02,14,24.104,DET,@,PHI,L 7-44,0,0,,0,0,0,,0,3,30,10.00,0,0,0,,0
28,1979,1979-12-09,15,24.111,DET,,MIA,L 10-28,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0
29,1979,1979-12-15,16,24.117,DET,,GNB,L 13-18,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0
