ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1989,1989-09-10,1,23.229,KAN,@,DEN,L 20-34,3,58,19.33,0,0.0,0,0,0
2,1989,1989-09-17,2,23.236,KAN,,RAI,W 24-19,1,17,17.00,0,0.0,0,0,0
3,1989,1989-09-24,3,23.243,KAN,@,SDG,L 6-21,3,48,16.00,0,0.0,0,0,0
4,1989,1989-10-01,4,23.250,KAN,,CIN,L 17-21,1,36,36.00,0,0.0,0,0,0
5,1989,1989-10-08,5,23.257,KAN,@,SEA,W 20-16,4,62,15.50,0,0.0,0,0,0
6,1989,1989-10-15,6,23.264,KAN,@,RAI,L 14-20,2,23,11.50,0,0.0,0,0,0
7,1989,1989-10-22,7,23.271,KAN,,DAL,W 36-28,2,35,17.50,0,0.0,0,0,0
8,1989,1989-10-29,8,23.278,KAN,@,PIT,L 17-23,2,45,22.50,0,0.0,0,0,0
9,1989,1989-11-05,9,23.285,KAN,,SEA,W 20-10,1,18,18.00,0,0.0,0,0,0
10,1989,1989-11-12,10,23.292,KAN,,DEN,L 13-16,2,55,27.50,0,0.0,0,0,0
11,1989,1989-11-19,11,23.299,KAN,@,CLE,T 10-10,1,14,14.00,0,0.0,0,0,0
12,1989,1989-11-26,12,23.306,KAN,,HOU,W 34-0,0,0,,0,,,,
13,1989,1989-12-03,13,23.313,KAN,,MIA,W 26-21,2,32,16.00,0,0.0,0,0,0
14,1989,1989-12-10,14,23.320,KAN,@,GNB,W 21-3,0,0,,0,,,,
15,1989,1989-12-17,15,23.327,KAN,,SDG,L 13-20,0,0,,0,,,,
16,1989,1989-12-24,16,23.334,KAN,@,MIA,W 27-24,2,23,11.50,0,0.0,0,0,0
17,1990,1990-09-09,1,24.228,KAN,,MIN,W 24-21,,,,,,,,
18,1990,1990-09-17,2,24.236,KAN,@,DEN,L 23-24,,,,,,,,
19,1990,1990-09-23,3,24.242,KAN,@,GNB,W 17-3,,,,,,,,
20,1990,1990-09-30,4,24.249,KAN,,CLE,W 34-0,,,,,,,,
21,1990,1990-10-21,7,24.270,KAN,@,SEA,L 7-19,,,,,,,,
22,1990,1990-11-04,8,24.284,KAN,,RAI,W 9-7,,,,,,,,
23,1990,1990-11-11,9,24.291,KAN,,SEA,L 16-17,,,,,,,,
24,1990,1990-11-18,10,24.298,KAN,,SDG,W 27-10,,,,,,,,
25,1990,1990-11-25,11,24.305,KAN,@,RAI,W 27-24,,,,,,,,
