ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1992,1992-09-06,1,23.130,DEN,,RAI,W 17-13,5,3,72,24.00,0,60.0%,14.40,0,0,,0,0,0,,0,0,0,,0,,,,2,24,12.00,0,2,18,9.00,0,0,0
2,1992,1992-09-13,2,23.137,DEN,,SDG,W 21-13,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,22,11.00,0,0,0
3,1992,1992-09-20,3,23.144,DEN,@,PHI,L 0-30,3,2,33,16.50,0,66.7%,11.00,1,10,10.00,0,0,0,,0,0,0,,0,,,,1,15,15.00,0,3,64,21.33,0,0,0
4,1992,1992-09-27,4,23.151,DEN,@,CLE,W 12-0,3,1,12,12.00,0,33.3%,4.00,3,5,1.67,0,0,0,,0,0,0,,0,,,,0,0,,0,1,7,7.00,0,0,0
5,1992,1992-10-04,5,23.158,DEN,,KAN,W 20-19,6,4,49,12.25,0,66.7%,8.17,0,0,,0,0,0,,0,0,0,,0,,,,1,17,17.00,0,2,41,20.50,0,0,0
6,1992,1992-10-12,6,23.166,DEN,@,WAS,L 3-34,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,4,76,19.00,0,2,18,9.00,0,0,0
7,1992,1992-10-18,7,23.172,DEN,,HOU,W 27-21,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,37,37.00,0,0,0
8,1992,1992-10-25,8,23.179,DEN,@,SDG,L 21-24,1,0,0,,0,0.0%,0.00,3,28,9.33,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
9,1992,1992-11-08,9,23.193,DEN,,NYJ,W 27-16,6,5,134,26.80,1,83.3%,22.33,1,9,9.00,0,0,0,,0,0,0,,0,,,,0,0,,0,2,16,8.00,0,1,6
10,1992,1992-11-15,10,23.200,DEN,,NYG,W 27-13,2,1,10,10.00,0,50.0%,5.00,2,11,5.50,0,0,0,,0,0,0,,0,,,,0,0,,0,3,39,13.00,0,0,0
11,1992,1992-11-22,11,23.207,DEN,@,RAI,L 0-24,4,4,48,12.00,0,100.0%,12.00,1,-7,-7.00,0,0,0,,0,0,0,,0,,,,0,0,,0,2,19,9.50,0,0,0
12,1992,1992-11-30,12,23.215,DEN,@,SEA,L 13-16,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,-4,-1.00,0,0,0
