ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1954,1954-10-10,3,22.314,BAL,@,CHI,L 9-28,,2,5,40.00,38,0,0,67.1,0,0,7.60,7.60,2,-2,-1.00,0,0,0,,0,,,,,,,0,,,,,
2,1954,1954-10-16,4,22.320,BAL,@,DET,L 0-35,*,5,13,38.46,58,0,2,13.1,0,0,4.46,-2.46,2,6,3.00,0,0,0,,0,,,,,,,0,,,,,
3,1954,1954-10-24,5,22.328,BAL,,GNB,L 6-7,,0,0,,0,0,,,,,,,1,-4,-4.00,0,0,0,,0,,,,,,,0,,,,,
4,1954,1954-10-31,6,22.335,BAL,@,WAS,L 21-24,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,,,,,,,0,,,,,
5,1954,1954-11-06,7,22.341,BAL,,DET,L 3-27,,4,15,26.67,32,0,1,11.8,0,0,2.13,-0.87,3,25,8.33,0,0,0,,0,,,,,,,0,,,,,
6,1954,1954-11-21,9,22.356,BAL,,CHI,L 13-28,,4,7,57.14,51,0,1,40.5,0,0,7.29,0.86,0,0,,0,0,0,,0,,,,,,,0,,,,,
7,1954,1954-12-04,11,23.004,BAL,@,RAM,W 22-21,,8,15,53.33,79,0,0,68.5,0,0,5.27,5.27,2,3,1.50,0,0,0,,0,,,,,,,0,,,,,
8,1954,1954-12-11,12,23.011,BAL,@,SFO,L 7-10,,5,8,62.50,51,0,0,80.7,0,0,6.38,6.38,1,3,3.00,0,0,0,,0,,,,,,,0,,,,,
9,1957,1957-11-24,9,25.359,BAL,,SFO,W 27-21,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,,,,,,0,,,,,
10,1957,1957-12-15,12,26.015,BAL,@,RAM,L 21-37,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,,,,,,,0,,,,,
