ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1970,1970-09-20,1,24.120,SDG,,BAL,L 14-16,,,,
2,1970,1970-09-27,2,24.127,SDG,,OAK,T 27-27,,,,
3,1970,1970-10-04,3,24.134,SDG,@,RAM,L 10-37,2,40,20.00,0
4,1970,1970-10-12,4,24.142,SDG,,GNB,L 20-22,,,,
5,1970,1970-10-18,5,24.148,SDG,@,CHI,W 20-7,,,,
6,1970,1970-10-25,6,24.155,SDG,,HOU,T 31-31,,,,
7,1970,1970-11-01,7,24.162,SDG,@,CLE,W 27-10,,,,
8,1970,1970-11-08,8,24.169,SDG,,DEN,W 24-21,,,,
9,1970,1970-11-15,9,24.176,SDG,@,BOS,W 16-14,,,,
10,1970,1970-11-22,10,24.183,SDG,@,OAK,L 17-20,,,,
11,1970,1970-11-29,11,24.190,SDG,@,KAN,L 14-26,,,,
12,1970,1970-12-06,12,24.197,SDG,,CIN,L 14-17,,,,
13,1970,1970-12-13,13,24.204,SDG,@,DEN,T 17-17,,,,
14,1970,1970-12-20,14,24.211,SDG,,KAN,W 31-13,,,,
15,1971,1971-09-19,1,25.119,SDG,,KAN,W 21-14,,,,
16,1971,1971-09-26,2,25.126,SDG,,OAK,L 0-34,,,,
17,1971,1971-10-03,3,25.133,SDG,@,PIT,L 17-21,1,6,6.00,0
18,1971,1971-10-10,4,25.140,SDG,@,KAN,L 10-31,,,,
19,1971,1971-10-17,5,25.147,SDG,@,DEN,L 16-20,,,,
20,1971,1971-11-07,8,25.168,SDG,@,NYG,L 17-35,,,,
