ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1987,1987-11-08,8,22.243,PIT,@,KAN,W 17-16,,0,0,,0,2,48,24.00,0,2,12,6.00,0,0,0,0.0,0,0,0
2,1987,1987-11-15,9,22.250,PIT,,HOU,L 3-23,,0,0,,0,2,24,12.00,0,3,22,7.33,0,0,0,0.0,0,0,0
3,1987,1987-11-22,10,22.257,PIT,@,CIN,W 30-16,,0,0,,0,3,79,26.33,0,2,15,7.50,0,1,6,0.0,1,45,1
4,1987,1987-11-29,11,22.264,PIT,,NOR,L 16-20,,0,0,,0,3,73,24.33,0,2,10,5.00,0,0,0,0.0,0,0,0
5,1987,1987-12-06,12,22.271,PIT,,SEA,W 13-9,,0,0,,0,1,24,24.00,0,0,0,,0,0,0,0.0,0,0,0
6,1987,1987-12-13,13,22.278,PIT,@,SDG,W 20-16,,0,0,,0,0,0,,0,1,13,13.00,0,0,0,0.0,0,0,0
7,1987,1987-12-20,14,22.285,PIT,@,HOU,L 16-24,,0,0,,0,1,23,23.00,0,5,57,11.40,0,0,0,0.0,0,0,0
8,1987,1987-12-26,15,22.291,PIT,,CLE,L 13-19,,0,0,,0,1,19,19.00,0,1,6,6.00,0,0,0,0.0,0,0,0
9,1988,1988-09-04,1,23.178,PIT,,DAL,W 24-21,,0,0,,0,1,9,9.00,0,0,0,,0,0,0,0.0,0,0,0
10,1988,1988-09-11,2,23.185,PIT,@,WAS,L 29-30,,0,0,,0,2,42,21.00,0,0,0,,0,0,0,0.0,0,0,0
11,1988,1988-09-18,3,23.192,PIT,,CIN,L 12-17,,0,0,,0,3,65,21.67,0,3,45,15.00,0,0,0,0.0,1,29,0
12,1988,1988-09-25,4,23.199,PIT,@,BUF,L 28-36,,0,0,,0,4,64,16.00,0,1,2,2.00,0,0,0,0.0,0,0,0
13,1988,1988-10-02,5,23.206,PIT,,CLE,L 9-23,,0,0,,0,2,35,17.50,0,4,45,11.25,0,0,0,0.0,0,0,0
14,1988,1988-10-09,6,23.213,PIT,@,PHO,L 14-31,,0,0,,0,2,95,47.50,1,4,36,9.00,0,1,6,0.0,0,0,0
15,1988,1988-10-16,7,23.220,PIT,,HOU,L 14-34,,0,0,,0,3,57,19.00,0,3,23,7.67,0,0,0,0.0,0,0,0
16,1988,1988-10-23,8,23.227,PIT,,DEN,W 39-21,,0,0,,0,0,0,,0,2,18,9.00,0,0,0,0.0,1,29,0
17,1988,1988-10-30,9,23.234,PIT,@,NYJ,L 20-24,,0,0,,0,3,74,24.67,0,3,12,4.00,0,0,0,0.0,0,0,0
18,1988,1988-11-06,10,23.241,PIT,@,CIN,L 7-42,,0,0,,0,2,48,24.00,0,2,16,8.00,0,0,0,0.0,1,18,0
19,1988,1988-11-13,11,23.248,PIT,,PHI,L 26-27,,0,0,,0,3,62,20.67,0,1,8,8.00,0,0,0,0.0,0,0,0
20,1988,1988-11-20,12,23.255,PIT,@,CLE,L 7-27,,0,0,,0,0,0,,0,0,0,,0,0,0,0.5,0,0,0
21,1988,1988-11-27,13,23.262,PIT,,KAN,W 16-10,,0,0,,0,2,63,31.50,0,2,8,4.00,0,0,0,0.0,1,22,0
22,1988,1988-12-04,14,23.269,PIT,@,HOU,W 37-34,,0,0,,0,2,52,26.00,0,2,8,4.00,0,0,0,0.0,0,0,0
23,1988,1988-12-11,15,23.276,PIT,@,SDG,L 14-20,,0,0,,0,4,104,26.00,0,4,48,12.00,0,0,0,0.0,0,0,0
24,1988,1988-12-18,16,23.283,PIT,,MIA,W 40-24,,0,0,,0,4,80,20.00,0,2,12,6.00,0,0,0,0.0,0,0,0
25,1989,1989-09-10,1,24.184,PIT,,CLE,L 0-51,,0,0,,0,5,102,20.40,0,1,6,6.00,0,0,0,0.0,0,0,0
26,1989,1989-09-17,2,24.191,PIT,@,CIN,L 10-41,,0,0,,0,4,165,41.25,0,0,0,,0,0,0,0.0,0,0,0
27,1989,1989-09-24,3,24.198,PIT,,MIN,W 27-14,,0,0,,0,2,42,21.00,0,3,43,14.33,0,0,0,0.0,0,0,0
28,1989,1989-10-08,5,24.212,PIT,,CIN,L 16-26,,0,0,,0,5,136,27.20,0,4,17,4.25,0,0,0,0.0,0,0,0
29,1989,1989-10-15,6,24.219,PIT,@,CLE,W 17-7,,,,,,0,0,,0,0,0,,0,,,,,,
30,1989,1989-10-22,7,24.226,PIT,@,HOU,L 0-27,,0,0,,0,1,24,24.00,0,0,0,,0,0,0,0.0,0,0,0
31,1989,1989-10-29,8,24.233,PIT,,KAN,W 23-17,,0,0,,0,1,16,16.00,0,1,1,1.00,0,0,0,0.0,1,0,0
32,1989,1989-11-05,9,24.240,PIT,@,DEN,L 7-34,,0,0,,0,5,109,21.80,0,1,0,0.00,0,0,0,0.0,1,0,0
33,1989,1989-11-12,10,24.247,PIT,,CHI,L 0-20,,0,0,,0,3,61,20.33,0,2,9,4.50,0,0,0,0.0,0,0,0
34,1989,1989-11-19,11,24.254,PIT,,SDG,W 20-17,,0,0,,0,3,125,41.67,1,1,3,3.00,0,1,6,0.0,0,0,0
35,1989,1989-11-26,12,24.261,PIT,@,MIA,W 34-14,,0,0,,0,1,24,24.00,0,5,61,12.20,0,0,0,0.0,0,0,0
36,1989,1989-12-03,13,24.268,PIT,,HOU,L 16-23,,0,0,,0,2,43,21.50,0,2,5,2.50,0,0,0,0.0,0,0,0
37,1989,1989-12-10,14,24.275,PIT,@,NYJ,W 13-0,,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0.0,0,0,0
38,1989,1989-12-17,15,24.282,PIT,,NWE,W 28-10,,0,0,,0,2,49,24.50,0,5,46,9.20,0,0,0,0.0,0,0,0
39,1989,1989-12-24,16,24.289,PIT,@,TAM,W 31-22,,0,0,,0,2,86,43.00,0,3,12,4.00,0,0,0,0.0,1,39,0
40,1990,1990-09-09,1,25.183,PIT,@,CLE,L 3-13,,0,0,,0,4,66,16.50,0,5,52,10.40,0,0,0,0.0,0,0,0
41,1990,1990-09-16,2,25.190,PIT,,HOU,W 20-9,,0,0,,0,2,45,22.50,0,4,74,18.50,1,1,6,0.0,0,0,0
42,1990,1990-09-23,3,25.197,PIT,@,RAI,L 3-20,,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0.0,1,1,0
43,1990,1990-09-30,4,25.204,PIT,,MIA,L 6-28,,0,0,,0,3,68,22.67,0,2,18,9.00,0,0,0,0.0,0,0,0
44,1990,1990-10-07,5,25.211,PIT,,SDG,W 36-14,,0,0,,0,1,22,22.00,0,0,0,,0,0,0,0.0,0,0,0
45,1990,1990-10-14,6,25.218,PIT,@,DEN,W 34-17,,0,0,,0,0,0,,0,3,11,3.67,0,0,0,0.0,0,0,0
46,1990,1990-10-21,7,25.225,PIT,@,SFO,L 7-27,,0,0,,0,4,80,20.00,0,0,0,,0,0,0,0.0,1,29,0
47,1990,1990-10-29,8,25.233,PIT,,RAM,W 41-10,,0,0,,0,2,94,47.00,0,5,32,6.40,0,0,0,0.0,0,0,0
48,1990,1990-11-04,9,25.239,PIT,,ATL,W 21-9,,0,0,,0,1,22,22.00,0,1,39,39.00,0,0,0,0.0,1,3,0
49,1990,1990-11-18,10,25.253,PIT,@,CIN,L 3-27,,0,0,,0,5,158,31.60,0,1,0,0.00,0,0,0,0.0,0,0,0
50,1990,1990-11-25,11,25.260,PIT,@,NYJ,W 24-7,,0,0,,0,1,7,7.00,0,3,18,6.00,0,0,0,0.0,0,0,0
51,1990,1990-12-02,12,25.267,PIT,,CIN,L 12-16,,0,0,,0,3,47,15.67,0,3,19,6.33,0,0,0,0.0,0,0,0
52,1990,1990-12-09,13,25.274,PIT,,NWE,W 24-3,,0,0,,0,1,14,14.00,0,2,27,13.50,0,0,0,0.0,1,0,0
53,1990,1990-12-16,14,25.281,PIT,@,NOR,W 9-6,,0,0,,0,2,31,15.50,0,4,32,8.00,0,0,0,0.0,0,0,0
54,1990,1990-12-23,15,25.288,PIT,,CLE,W 35-0,,0,0,,0,1,24,24.00,0,3,56,18.67,0,0,0,0.0,0,0,0
55,1990,1990-12-30,16,25.295,PIT,@,HOU,L 14-34,,0,0,,0,5,86,17.20,0,1,17,17.00,0,0,0,0.0,1,34,0
56,1991,1991-09-01,1,26.175,PIT,,SDG,W 26-20,,0,0,,0,1,19,19.00,0,4,59,14.75,0,0,0,0.0,0,0,0
57,1991,1991-09-08,2,26.182,PIT,@,BUF,L 34-52,,0,0,,0,4,74,18.50,0,0,0,,0,0,0,0.0,1,20,0
58,1991,1991-09-15,3,26.189,PIT,,NWE,W 20-6,,0,0,,0,2,44,22.00,0,4,73,18.25,0,0,0,0.0,0,0,0
59,1991,1991-09-22,4,26.196,PIT,@,PHI,L 14-23,,0,0,,0,4,73,18.25,0,0,0,,0,0,0,0.0,0,0,0
60,1991,1991-10-06,5,26.210,PIT,@,IND,W 21-3,,0,0,,0,2,50,25.00,0,1,29,29.00,0,0,0,0.0,0,0,0
61,1991,1991-10-14,6,26.218,PIT,,NYG,L 20-23,,0,0,,0,5,107,21.40,0,4,29,7.25,0,0,0,0.0,0,0,0
62,1991,1991-10-20,7,26.224,PIT,,SEA,L 7-27,,0,0,,0,5,100,20.00,0,4,24,6.00,0,0,0,0.0,0,0,0
63,1991,1991-10-27,8,26.231,PIT,@,CLE,L 14-17,,0,0,,0,3,85,28.33,0,3,36,12.00,0,0,0,0.0,0,0,0
64,1991,1991-11-03,9,26.238,PIT,@,DEN,L 13-20,,0,0,,0,5,91,18.20,0,0,0,,0,0,0,0.0,0,0,0
65,1991,1991-11-10,10,26.245,PIT,@,CIN,W 33-27,,0,0,,0,5,94,18.80,0,3,26,8.67,0,0,0,0.0,0,0,0
66,1991,1991-11-17,11,26.252,PIT,,WAS,L 14-41,,0,0,,0,3,45,15.00,0,0,0,,0,0,0,0.0,0,0,0
67,1991,1991-11-28,13,26.263,PIT,@,DAL,L 10-20,,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
68,1991,1991-12-08,14,26.273,PIT,@,HOU,L 6-31,,0,0,,0,1,24,24.00,0,0,0,,0,0,0,0.0,1,41,0
69,1991,1991-12-15,15,26.280,PIT,,CIN,W 17-10,,0,0,,0,2,60,30.00,0,3,29,9.67,0,0,0,0.0,1,11,0
70,1991,1991-12-22,16,26.287,PIT,,CLE,W 17-10,,0,0,,0,2,14,7.00,0,2,15,7.50,0,0,0,0.0,0,0,0
71,1992,1992-09-06,1,27.180,PIT,@,HOU,W 29-24,,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0.0,2,73,0
72,1992,1992-09-13,2,27.187,PIT,,NYJ,W 27-10,,0,0,,0,0,0,,0,1,6,6.00,0,0,0,1.0,0,0,0
73,1992,1992-09-20,3,27.194,PIT,@,SDG,W 23-6,,0,0,,0,0,0,,0,2,49,24.50,0,0,0,0.0,0,0,0
