ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2007,2007-09-10,1,24.203,ARI,@,SFO,L 17-20,,1,1,6,6.00,0,100.0%,6.00,0,0
2,2007,2007-09-16,2,24.209,ARI,,SEA,W 23-20,*,1,1,7,7.00,0,100.0%,7.00,0,0
3,2007,2007-09-23,3,24.216,ARI,@,BAL,L 23-26,*,2,1,6,6.00,0,50.0%,3.00,0,0
4,2007,2007-09-30,4,24.223,ARI,,PIT,W 21-14,,,0,0,,0,0.0%,,0,0
5,2007,2007-10-07,5,24.230,ARI,@,STL,W 34-31,,,0,0,,0,0.0%,,0,0
6,2007,2007-10-14,6,24.237,ARI,,CAR,L 10-25,,,0,0,,0,0.0%,,0,0
7,2007,2007-10-21,7,24.244,ARI,@,WAS,L 19-21,,,0,0,,0,0.0%,,0,0
8,2007,2007-11-04,8,24.258,ARI,@,TAM,L 10-17,*,,0,0,,0,0.0%,,0,0
9,2007,2007-11-11,9,24.265,ARI,,DET,W 31-21,,,0,0,,0,0.0%,,0,0
10,2007,2007-11-18,10,24.272,ARI,@,CIN,W 35-27,,0,0,0,,0,0.0%,,0,0
11,2007,2007-11-25,11,24.279,ARI,,SFO,L 31-37,,0,0,0,,0,0.0%,,0,0
12,2007,2007-12-02,12,24.286,ARI,,CLE,W 27-21,,1,0,0,,0,0.0%,0.00,0,0
13,2007,2007-12-09,13,24.293,ARI,@,SEA,L 21-42,,2,1,5,5.00,0,50.0%,2.50,0,0
14,2007,2007-12-16,14,24.300,ARI,@,NOR,L 24-31,,2,1,1,1.00,1,50.0%,0.50,1,6
15,2007,2007-12-23,15,24.307,ARI,,ATL,W 30-27,,1,1,8,8.00,0,100.0%,8.00,0,0
16,2007,2007-12-30,16,24.314,ARI,,STL,W 48-19,*,1,1,13,13.00,0,100.0%,13.00,0,0
