ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1998,1998-11-29,12,28.244,DEN,@,SDG,W 31-16,,0,0,,0,1,20,0
2,1998,1998-12-21,15,28.266,DEN,@,MIA,L 21-31,,1,8,8.00,0,0,0,0
3,1998,1998-12-27,16,28.272,DEN,,SEA,W 28-21,,2,12,6.00,0,0,0,0
4,1999,1999-09-13,1,29.167,DEN,,MIA,L 21-38,,,,,,,,
5,1999,1999-10-10,5,29.194,DEN,@,OAK,W 16-13,,,,,,,,
6,1999,1999-10-17,6,29.201,DEN,,GNB,W 31-10,,,,,,,,
7,1999,1999-10-24,7,29.208,DEN,@,NWE,L 23-24,,3,25,8.33,0,0,0,0
8,1999,1999-10-31,8,29.215,DEN,,MIN,L 20-23,,,,,,,,
9,1999,1999-11-07,9,29.222,DEN,@,SDG,W 33-17,,,,,,,,
10,1999,1999-11-14,10,29.229,DEN,@,SEA,L 17-20,,,,,,,,
11,1999,1999-11-22,11,29.237,DEN,,OAK,W 27-21,*,,,,,,,
12,1999,1999-12-05,12,29.250,DEN,,KAN,L 10-16,*,0,0,,0,1,0,0
13,1999,1999-12-13,13,29.258,DEN,@,JAX,L 24-27,*,,,,,,,
14,1999,1999-12-19,14,29.264,DEN,,SEA,W 36-30,,,,,,,,
15,1999,1999-12-25,15,29.270,DEN,@,DET,W 17-7,*,,,,,,,
16,1999,2000-01-02,16,29.278,DEN,,SDG,L 6-12,*,,,,,,,
17,2000,2000-09-04,1,30.158,DEN,@,STL,L 36-41,,,,,,,,
18,2000,2000-09-10,2,30.164,DEN,,ATL,W 42-14,,,,,,,,
19,2000,2000-09-17,3,30.171,DEN,@,OAK,W 33-24,,,,,,,,
20,2000,2000-09-24,4,30.178,DEN,,KAN,L 22-23,,,,,,,,
21,2000,2000-10-01,5,30.185,DEN,,NWE,L 19-28,,,,,,,,
22,2000,2000-10-08,6,30.192,DEN,@,SDG,W 21-7,,,,,,,,
23,2000,2000-10-15,7,30.199,DEN,,CLE,W 44-10,,,,,,,,
24,2000,2000-10-22,8,30.206,DEN,@,CIN,L 21-31,,,,,,,,
25,2000,2000-11-05,9,30.220,DEN,@,NYJ,W 30-23,,,,,,,,
26,2000,2000-11-13,10,30.228,DEN,,OAK,W 27-24,,,,,,,,
27,2000,2000-11-19,11,30.234,DEN,,SDG,W 38-37,,,,,,,,
28,2000,2000-11-26,12,30.241,DEN,@,SEA,W 38-31,,,,,,,,
29,2000,2000-12-03,13,30.248,DEN,@,NOR,W 38-23,,,,,,,,
30,2000,2000-12-10,14,30.255,DEN,,SEA,W 31-24,,,,,,,,
31,2000,2000-12-17,15,30.262,DEN,@,KAN,L 7-20,,,,,,,,
32,2000,2000-12-23,16,30.268,DEN,,SFO,W 38-9,,,,,,,,
33,2001,2001-09-10,1,31.164,DEN,,NYG,W 31-20,,,,,,,,
34,2001,2001-09-23,2,31.177,DEN,@,ARI,W 38-17,,,,,,,,
35,2001,2001-09-30,3,31.184,DEN,,BAL,L 13-20,,,,,,,,
36,2001,2001-10-07,4,31.191,DEN,,KAN,W 20-6,,,,,,,,
37,2001,2001-10-14,5,31.198,DEN,@,SEA,L 21-34,,,,,,,,
38,2001,2001-10-21,6,31.205,DEN,@,SDG,L 10-27,,,,,,,,
39,2001,2001-10-28,7,31.212,DEN,,NWE,W 31-20,,,,,,,,
40,2001,2001-11-05,8,31.220,DEN,@,OAK,L 28-38,,,,,,,,
41,2001,2001-11-11,9,31.226,DEN,,SDG,W 26-16,,0,0,,0,1,0,0
42,2001,2001-11-18,10,31.233,DEN,,WAS,L 10-17,,,,,,,,
43,2001,2001-11-22,11,31.237,DEN,@,DAL,W 26-24,,,,,,,,
44,2001,2001-12-02,12,31.247,DEN,@,MIA,L 10-21,,,,,,,,
45,2001,2001-12-09,13,31.254,DEN,,SEA,W 20-7,,,,,,,,
46,2001,2001-12-16,14,31.261,DEN,@,KAN,L 23-26,,,,,,,,
47,2001,2001-12-30,15,31.275,DEN,,OAK,W 23-17,,,,,,,,
48,2001,2002-01-06,16,31.282,DEN,@,IND,L 10-29,,,,,,,,
