ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1992,1992-10-25,7,22.349,MIA,,IND,L 20-31,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
2,1992,1992-12-06,13,23.025,TAM,,RAM,L 27-31,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
3,1992,1992-12-13,14,23.032,TAM,,ATL,L 7-35,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
4,1992,1992-12-19,15,23.038,TAM,@,SFO,L 14-21,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1992,1992-12-27,16,23.046,TAM,@,PHO,W 7-3,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
6,1993,1993-09-05,1,23.298,TAM,,KAN,L 3-27,,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0,,,,,,,,,
7,1993,1993-09-12,2,23.305,TAM,@,NYG,L 7-23,,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0,,,,,,,,,
8,1993,1993-10-03,4,23.326,TAM,,DET,W 27-10,,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0,,,,,,,,,
9,1993,1993-10-10,5,23.333,TAM,@,MIN,L 0-15,,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0,,,,,,,,,
10,1993,1993-10-24,6,23.347,TAM,,GNB,L 14-37,,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0,,,,,,,,,
11,1993,1993-10-31,7,23.354,TAM,@,ATL,W 31-24,,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0,,,,,,,,,
12,1993,1993-11-07,8,23.361,TAM,@,DET,L 0-23,,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0,,,,,,,,,
13,1993,1993-11-14,9,24.003,TAM,,SFO,L 21-45,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
14,1993,1993-11-21,10,24.010,TAM,,MIN,W 23-10,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
15,1993,1993-11-28,11,24.017,TAM,@,GNB,L 10-13,,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0,,,,,,,,,
16,1993,1993-12-05,12,24.024,TAM,,WAS,L 17-23,,1,0,0,,0,0.0%,0.00,,,,,0,0,,0,0,0,,0,,,,,,,,,
17,1993,1993-12-12,13,24.031,TAM,,CHI,W 13-10,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
18,1993,1993-12-19,14,24.038,TAM,@,RAI,L 20-27,,2,0,0,,0,0.0%,0.00,,,,,0,0,,0,0,0,,0,,,,,,,,,
19,1993,1993-12-26,15,24.045,TAM,@,DEN,W 17-10,,1,1,19,19.00,1,100.0%,19.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
20,1993,1994-01-02,16,24.052,TAM,,SDG,L 17-32,,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0,,,,,,,,,
21,1994,1994-09-04,1,24.297,TAM,@,CHI,L 9-21,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
22,1994,1994-09-11,2,24.304,TAM,,IND,W 24-10,,0,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
23,1994,1994-09-18,3,24.311,TAM,,NOR,L 7-9,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,0,0,,0,,
24,1994,1994-09-25,4,24.318,TAM,@,GNB,L 3-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,11,11.00,0,0,0
25,1994,1994-10-02,5,24.325,TAM,,DET,W 24-14,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
26,1994,1994-10-09,6,24.332,TAM,@,ATL,L 13-34,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
27,1994,1994-10-23,7,24.346,TAM,@,SFO,L 16-41,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
28,1994,1994-10-30,8,24.353,TAM,,MIN,L 13-36,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
29,1994,1994-11-13,10,25.002,TAM,@,DET,L 9-14,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
30,1994,1994-11-20,11,25.009,TAM,@,SEA,L 21-22,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
31,1994,1994-11-27,12,25.016,TAM,@,MIN,W 20-17,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
32,1994,1994-12-04,13,25.023,TAM,,WAS,W 26-21,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
33,1994,1994-12-11,14,25.030,TAM,,RAM,W 24-14,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,0,0,,0,,
34,1994,1994-12-18,15,25.037,TAM,@,WAS,W 17-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,16,16.00,0,0,0
35,1994,1994-12-24,16,25.043,TAM,,GNB,L 19-34,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
36,1995,1995-09-03,1,25.296,TAM,@,PHI,W 21-6,,0,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,0,
37,1995,1995-09-10,2,25.303,TAM,@,CLE,L 6-22,,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
38,1995,1995-09-17,3,25.310,TAM,,CHI,L 6-25,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
39,1995,1995-09-24,4,25.317,TAM,,WAS,W 14-6,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
40,1995,1995-10-01,5,25.324,TAM,@,CAR,W 20-13,,2,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,,,,,0,
41,1995,1995-10-08,6,25.331,TAM,,CIN,W 19-16,,0,0,0,,0,0.0%,,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
42,1995,1995-10-15,7,25.338,TAM,,MIN,W 20-17,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,,,,,0,
43,1995,1995-10-22,8,25.345,TAM,,ATL,L 21-24,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,,,,,0,
44,1995,1995-10-29,9,25.352,TAM,@,HOU,L 7-19,,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
45,1995,1995-11-12,10,26.001,TAM,@,DET,L 24-27,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
46,1995,1995-11-19,11,26.008,TAM,,JAX,W 17-16,,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
47,1995,1995-11-26,12,26.015,TAM,@,GNB,L 13-35,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
48,1995,1995-12-03,13,26.022,TAM,@,MIN,L 17-31,,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
