ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2017,2017-09-10,1,21.341,CLE,,PIT,L 18-21,*,1,14,14.00,0,3,34,11.33,0,0.0,4,0,0,0,0
2,2017,2017-09-17,2,21.348,CLE,@,BAL,L 10-24,*,1,18,18.00,0,1,0,0.00,0,0.0,5,0,0,0,0
3,2017,2017-09-24,3,21.355,CLE,@,IND,L 28-31,*,0,0,,0,1,0,0.00,0,0.0,4,1,0,0,0
4,2017,2017-10-01,4,21.362,CLE,,CIN,L 7-31,*,5,116,23.20,0,3,4,1.33,0,0.0,2,2,0,0,0
5,2017,2017-10-08,5,22.004,CLE,,NYJ,L 14-17,*,0,0,,0,3,28,9.33,0,0.0,1,2,0,0,0
6,2017,2017-10-15,6,22.011,CLE,@,HOU,L 17-33,*,0,0,,0,6,43,7.17,0,0.0,4,1,0,0,0
7,2017,2017-11-12,9,22.039,CLE,@,DET,L 24-38,*,1,13,13.00,0,2,11,5.50,0,0.0,4,0,0,0,0
8,2017,2017-11-19,10,22.046,CLE,,JAX,L 7-19,*,0,0,,0,4,9,2.25,0,0.0,0,2,0,0,0
9,2017,2017-11-26,11,22.053,CLE,@,CIN,L 16-30,*,0,0,,0,1,15,15.00,0,0.0,4,3,0,0,0
10,2017,2017-12-03,12,22.060,CLE,@,LAC,L 10-19,*,0,0,,0,0,0,,0,0.0,4,0,0,0,0
11,2017,2017-12-17,14,22.074,CLE,,BAL,L 10-27,*,3,77,25.67,0,1,11,11.00,0,0.0,5,2,0,0,0
12,2017,2017-12-24,15,22.081,CLE,@,CHI,L 3-20,*,0,0,,0,4,27,6.75,0,0.0,3,0,0,0,0
13,2017,2017-12-31,16,22.088,CLE,@,PIT,L 24-28,*,3,80,26.67,0,1,-2,-2.00,0,0.0,4,0,1,0,0
14,2018,2018-09-09,1,22.340,CLE,,PIT,T 21-21,*,1,24,24.00,0,1,15,15.00,0,0.0,3,3,0,0,0
15,2018,2018-09-16,2,22.347,CLE,@,NOR,L 18-21,*,3,82,27.33,0,1,0,0.00,0,0.0,3,2,0,0,0
16,2018,2018-09-20,3,22.351,CLE,,NYJ,W 21-17,*,0,0,,0,3,10,3.33,0,0.0,3,1,0,0,0
