ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,23.016,SFO,@,DAL,W 28-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,13,13.00,0,0,0,0.0,0,0
2,2014,2014-09-14,2,23.023,SFO,,CHI,L 20-28,,1,0,0,,0,0.0%,0.00,0,0,,0,1,28,28.00,0,4,24,6.00,0,0,0,0.0,0,0
3,2014,2014-09-21,3,23.030,SFO,@,ARI,L 14-23,,1,0,0,,0,0.0%,0.00,1,1,1.00,0,2,44,22.00,0,1,14,14.00,0,0,0,0.0,0,0
4,2014,2014-09-28,4,23.037,SFO,,PHI,W 26-21,,0,0,0,,0,0.0%,,1,15,15.00,0,2,45,22.50,0,3,25,8.33,0,0,0,0.0,0,0
5,2014,2014-10-05,5,23.044,SFO,,KAN,W 22-17,,1,1,1,1.00,0,100.0%,1.00,1,0,0.00,0,4,108,27.00,0,0,0,,0,0,0,0.0,0,0
6,2014,2014-10-13,6,23.052,SFO,@,STL,W 31-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,27,6.75,0,0,0,0.0,0,0
7,2014,2014-10-19,7,23.058,SFO,@,DEN,L 17-42,,4,3,44,14.67,1,75.0%,11.00,0,0,,0,1,33,33.00,0,1,4,4.00,0,1,6,0.0,1,0
8,2014,2014-11-02,8,23.072,SFO,,STL,L 10-13,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,3,84,28.00,0,1,12,12.00,0,0,0,0.0,0,0
9,2014,2014-11-09,9,23.079,SFO,@,NOR,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,1,19,19.00,0,2,0,0.00,0,0,0,0.0,0,0
10,2014,2014-12-07,13,23.107,SFO,@,OAK,L 13-24,,0,0,0,,0,0.0%,,0,0,,0,3,92,30.67,0,1,23,23.00,0,0,0,0.0,0,0
11,2014,2014-12-14,14,23.114,SFO,@,SEA,L 7-17,,0,0,0,,0,0.0%,,0,0,,0,4,90,22.50,0,2,12,6.00,0,0,0,0.0,0,0
12,2014,2014-12-20,15,23.120,SFO,,SDG,L 35-38,,4,1,8,8.00,1,25.0%,2.00,3,12,4.00,1,3,71,23.67,0,3,34,11.33,0,2,12,0.0,0,0
13,2014,2014-12-28,16,23.128,SFO,,ARI,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2015,2015-09-14,1,24.023,SFO,,MIN,W 20-3,,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
15,2015,2015-10-04,4,24.043,SFO,,GNB,L 3-17,,0,0,0,,0,0.0%,,0,0,,0,1,20,20.00,0,0,0,,0,0,0,0.0,0,0
16,2015,2015-10-11,5,24.050,SFO,@,NYG,L 27-30,,2,2,39,19.50,0,100.0%,19.50,0,0,,0,1,22,22.00,0,0,0,,0,0,0,0.0,0,0
17,2015,2015-10-22,7,24.061,SFO,,SEA,L 3-20,,0,0,0,,0,0.0%,,0,0,,0,3,73,24.33,0,0,0,,0,0,0,0.0,0,0
18,2015,2015-11-01,8,24.071,SFO,@,STL,L 6-27,,3,2,8,4.00,0,66.7%,2.67,0,0,,0,2,49,24.50,0,4,38,9.50,0,0,0,0.0,0,0
19,2015,2015-11-08,9,24.078,SFO,,ATL,W 17-16,,2,2,2,1.00,0,100.0%,1.00,1,7,7.00,0,2,65,32.50,0,1,17,17.00,0,0,0,0.0,0,0
20,2015,2015-11-22,10,24.092,SFO,@,SEA,L 13-29,,2,0,0,,0,0.0%,0.00,0,0,,0,4,96,24.00,0,1,6,6.00,0,0,0,0.0,0,0
21,2015,2015-11-29,11,24.099,SFO,,ARI,L 13-19,,0,0,0,,0,0.0%,,0,0,,0,3,67,22.33,0,1,0,0.00,0,0,0,0.0,0,0
22,2015,2015-12-06,12,24.106,SFO,@,CHI,W 26-20,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,4,98,24.50,0,3,0,0.00,0,0,0,0.0,0,0
23,2015,2015-12-13,13,24.113,SFO,@,CLE,L 10-24,,1,0,0,,0,0.0%,0.00,0,0,,0,1,21,21.00,0,1,36,36.00,0,0,0,0.0,0,0
24,2015,2015-12-20,14,24.120,SFO,,CIN,L 14-24,,1,0,0,,0,0.0%,0.00,0,0,,0,1,34,34.00,0,6,40,6.67,0,0,0,0.0,0,0
25,2015,2015-12-27,15,24.127,SFO,@,DET,L 17-32,,4,3,55,18.33,0,75.0%,13.75,0,0,,0,2,57,28.50,0,1,0,0.00,0,0,0,0.0,0,0
26,2015,2016-01-03,16,24.134,SFO,,STL,W 19-16,,1,1,44,44.00,0,100.0%,44.00,0,0,,0,2,63,31.50,0,0,0,,0,0,0,0.0,0,0
27,2017,2017-09-10,1,26.019,HOU,,JAX,L 7-29,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
28,2017,2017-09-24,3,26.033,HOU,@,NWE,L 33-36,*,7,4,59,14.75,1,57.1%,8.43,1,-1,-1.00,0,0,0,,0,0,0,,0,1,6,0.0,0,0
29,2017,2017-10-01,4,26.040,HOU,,TEN,W 57-14,*,4,3,44,14.67,0,75.0%,11.00,1,13,13.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
30,2017,2017-10-08,5,26.047,HOU,,KAN,L 34-42,*,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
31,2017,2017-10-15,6,26.054,HOU,,CLE,W 33-17,,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
32,2017,2017-10-29,7,26.068,HOU,@,SEA,L 38-41,*,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
33,2017,2017-11-05,8,26.075,HOU,,IND,L 14-20,,8,3,22,7.33,0,37.5%,2.75,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
34,2017,2017-11-12,9,26.082,HOU,@,LAR,L 7-33,,9,4,41,10.25,1,44.4%,4.56,0,0,,0,0,0,,0,1,17,17.00,0,1,6,0.0,0,0
35,2017,2017-11-19,10,26.089,HOU,,ARI,W 31-21,*,7,6,63,10.50,0,85.7%,9.00,1,5,5.00,0,0,0,,0,3,9,3.00,0,0,0,0.0,0,0
36,2017,2017-11-27,11,26.097,HOU,@,BAL,L 16-23,,8,3,29,9.67,0,37.5%,3.63,0,0,,0,0,0,,0,1,21,21.00,0,0,0,0.0,0,0
37,2017,2017-12-03,12,26.103,HOU,@,TEN,L 13-24,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
38,2018,2018-09-09,1,27.018,HOU,@,NWE,L 20-27,*,8,4,37,9.25,1,50.0%,4.63,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
39,2018,2018-09-16,2,27.025,HOU,@,TEN,L 17-20,,3,3,45,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
40,2018,2018-09-23,3,27.032,HOU,,NYG,L 22-27,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
