ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1987,1987-09-13,1,22.295,CIN,@,IND,W 23-21,0,0,,0,3,156,52.00,0
2,1987,1987-09-20,2,22.302,CIN,,SFO,L 26-27,0,0,,0,6,242,40.33,0
3,1987,1987-10-25,6,22.337,CIN,@,PIT,L 20-23,0,0,,0,6,246,41.00,0
4,1987,1987-11-01,7,22.344,CIN,,HOU,L 29-31,0,0,,0,4,115,28.75,0
5,1987,1987-11-29,11,23.007,STL,@,ATL,W 34-21,0,0,,0,3,103,34.33,0
6,1987,1987-12-06,12,23.014,STL,,WAS,L 17-34,0,0,,0,6,252,42.00,0
7,1987,1987-12-13,13,23.021,STL,,NYG,W 27-24,0,0,,0,6,253,42.17,0
8,1987,1987-12-20,14,23.028,STL,@,TAM,W 31-14,0,0,,0,5,205,41.00,0
9,1987,1987-12-27,15,23.035,STL,@,DAL,L 16-21,0,0,,0,4,158,39.50,0
10,1988,1988-09-04,1,23.287,PHO,@,CIN,L 14-21,0,0,,0,2,71,35.50,0
11,1988,1988-09-12,2,23.295,PHO,,DAL,L 14-17,0,0,,0,7,307,43.86,0
12,1988,1988-09-18,3,23.301,PHO,@,TAM,W 30-24,0,0,,0,2,60,30.00,0
13,1988,1988-09-25,4,23.308,PHO,,WAS,W 30-21,1,20,20.00,0,6,268,44.67,0
14,1988,1988-10-02,5,23.315,PHO,@,RAM,W 41-27,0,0,,0,3,84,28.00,0
15,1988,1988-10-09,6,23.322,PHO,,PIT,W 31-14,0,0,,0,6,254,42.33,0
16,1988,1988-10-16,7,23.329,PHO,@,WAS,L 17-33,0,0,,0,4,170,42.50,0
17,1988,1988-10-23,8,23.336,PHO,,CLE,L 21-29,0,0,,0,5,229,45.80,0
18,1988,1988-10-30,9,23.343,PHO,@,DAL,W 16-10,0,0,,0,9,383,42.56,0
19,1988,1988-11-06,10,23.350,PHO,,SFO,W 24-23,0,0,,0,5,226,45.20,0
20,1988,1988-11-13,11,23.357,PHO,,NYG,W 24-17,1,0,0.00,0,3,146,48.67,0
21,1988,1988-11-20,12,23.364,PHO,@,HOU,L 20-38,0,0,,0,5,161,32.20,0
22,1988,1988-11-27,13,24.005,PHO,@,PHI,L 21-31,0,0,,0,4,129,32.25,0
23,1988,1988-12-04,14,24.012,PHO,@,NYG,L 7-44,1,0,0.00,0,6,262,43.67,0
24,1988,1988-12-10,15,24.018,PHO,,PHI,L 17-23,0,0,,0,5,200,40.00,1
25,1988,1988-12-18,16,24.026,PHO,,GNB,L 17-26,0,0,,0,7,278,39.71,0
