ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1976,1976-09-26,3,23.162,OAK,@,HOU,W 14-13,4,14,3.50,0,0,0,,0,3,78,26.00,0,0,0,,0
2,1976,1976-10-03,4,23.169,OAK,@,NWE,L 17-48,1,6,6.00,0,0,0,,0,2,47,23.50,0,1,20,20.00,0
3,1976,1976-10-10,5,23.176,OAK,@,SDG,W 27-17,0,0,,0,0,0,,0,2,54,27.00,0,0,0,,0
4,1976,1976-10-17,6,23.183,OAK,@,DEN,W 17-10,0,0,,0,0,0,,0,1,26,26.00,0,0,0,,0
5,1976,1976-10-24,7,23.190,OAK,,GNB,W 18-14,2,2,1.00,0,0,0,,0,0,0,,0,0,0,,0
6,1976,1976-10-31,8,23.197,OAK,,DEN,W 19-6,0,0,,0,0,0,,0,1,15,15.00,0,0,0,,0
7,1976,1976-11-07,9,23.204,OAK,@,CHI,W 28-27,0,0,,0,0,0,,0,2,35,17.50,0,0,0,,0
8,1976,1976-11-14,10,23.211,OAK,,KAN,W 21-10,1,-3,-3.00,0,0,0,,0,2,81,40.50,0,0,0,,0
9,1976,1976-11-21,11,23.218,OAK,@,PHI,W 26-7,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0
10,1976,1976-11-28,12,23.225,OAK,,TAM,W 49-16,1,3,3.00,0,1,10,10.00,0,0,0,,0,0,0,,0
11,1976,1976-12-06,13,23.233,OAK,,CIN,W 35-20,0,0,,0,0,0,,0,3,81,27.00,0,0,0,,0
12,1977,1977-09-25,2,24.161,SFO,,MIA,L 15-19,0,0,,0,0,0,,0,0,0,,0,1,13,13.00,0
13,1977,1977-10-02,3,24.168,SFO,@,RAM,L 14-34,0,0,,0,0,0,,0,3,60,20.00,0,4,16,4.00,0
14,1977,1977-10-23,6,24.189,SFO,,DET,W 28-7,0,0,,0,0,0,,0,0,0,,0,2,3,1.50,0
15,1977,1977-11-28,11,24.225,OAK,,BUF,W 34-13,0,0,,0,0,0,,0,1,19,19.00,0,2,38,19.00,0
16,1977,1977-12-04,12,24.231,OAK,@,RAM,L 14-20,0,0,,0,0,0,,0,3,74,24.67,0,3,1,0.33,0
