ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1979,1979-11-26,13,22.134,NYJ,@,SEA,L 7-30,1,1,100.0,,1,0.0,0,1,0,0,,0
2,1979,1979-12-02,14,22.140,NYJ,,BAL,W 30-17,3,3,100.0,3,5,60.0,0,12,0,0,,0
3,1979,1979-12-09,15,22.147,NYJ,,NWE,W 27-26,3,3,100.0,2,2,100.0,0,9,0,0,,0
4,1979,1979-12-15,16,22.153,NYJ,@,MIA,W 27-24,3,4,75.0,,1,0.0,0,3,0,0,,0
5,1981,1981-09-07,1,24.054,CLE,,SDG,L 14-44,2,2,100.0,,1,0.0,0,2,0,0,,0
6,1981,1981-09-13,2,24.060,CLE,,HOU,L 3-9,,,,1,4,25.0,0,3,0,0,,0
7,1981,1981-09-20,3,24.067,CLE,@,CIN,W 20-17,2,2,100.0,2,3,66.7,0,8,0,0,,0
8,1981,1981-09-27,4,24.074,CLE,,ATL,W 28-17,4,4,100.0,,2,0.0,0,4,0,0,,0
9,1981,1981-10-04,5,24.081,CLE,@,RAM,L 16-27,1,2,50.0,1,2,50.0,0,4,0,0,,0
10,1987,1987-10-04,3,30.081,PHI,,CHI,L 3-35,,,,1,2,50.0,0,3,5,188,37.60,0
11,1987,1987-10-11,4,30.088,PHI,@,DAL,L 22-41,1,3,33.3,1,2,50.0,0,4,5,181,36.20,1
12,1987,1987-10-18,5,30.095,PHI,@,GNB,L 10-16,1,1,100.0,1,1,100.0,0,4,0,0,,0
