ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,23.076,BAL,,PIT,W 35-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
2,2011,2011-09-18,2,23.083,BAL,@,TEN,L 13-26,,,,,,,0.0%,,,,,,,,,,,,
3,2011,2011-09-25,3,23.090,BAL,@,STL,W 37-7,,3,1,7,7.00,0,33.3%,2.33,2,60,30.00,0,1,0,0.00,0,0.0,0,0
4,2011,2011-10-02,4,23.097,BAL,,NYJ,W 34-17,,1,1,11,11.00,0,100.0%,11.00,3,49,16.33,0,0,0,,0,0.0,0,0
5,2011,2011-10-16,5,23.111,BAL,,HOU,W 29-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
6,2011,2011-10-24,6,23.119,BAL,@,JAX,L 7-12,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
7,2011,2011-10-30,7,23.125,BAL,,ARI,W 30-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
8,2011,2011-11-06,8,23.132,BAL,@,PIT,W 23-20,,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,0.0,0,0
9,2011,2011-11-13,9,23.139,BAL,@,SEA,L 17-22,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
10,2011,2011-11-20,10,23.146,BAL,,CIN,W 31-24,,,,,,,0.0%,,,,,,,,,,,,
11,2011,2011-11-24,11,23.150,BAL,,SFO,W 16-6,,,,,,,0.0%,,,,,,,,,,,,
12,2011,2012-01-01,16,23.188,BAL,@,CIN,W 24-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
13,2012,2012-10-07,5,24.102,BAL,@,KAN,W 9-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
14,2012,2012-10-14,6,24.109,BAL,,DAL,W 31-29,,,,,,,0.0%,,,,,,,,,,,,
15,2012,2012-10-21,7,24.116,BAL,@,HOU,L 13-43,,0,0,0,,0,0.0%,,1,5,5.00,0,0,0,,0,0.0,0,0
16,2012,2012-11-04,8,24.130,BAL,@,CLE,W 25-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
17,2012,2012-11-11,9,24.137,BAL,,OAK,W 55-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
18,2012,2012-11-18,10,24.144,BAL,@,PIT,W 13-10,,,,,,,0.0%,,,,,,,,,,,,
19,2012,2012-11-25,11,24.151,BAL,@,SDG,W 16-13,,,,,,,0.0%,,,,,,,,,,,,
20,2012,2012-12-02,12,24.158,BAL,,PIT,L 20-23,,,,,,,0.0%,,,,,,,,,,,,
21,2012,2012-12-09,13,24.165,BAL,@,WAS,L 28-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
22,2012,2012-12-16,14,24.172,BAL,,DEN,L 17-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
23,2012,2012-12-23,15,24.179,BAL,,NYG,W 33-14,,,,,,,0.0%,,,,,,,,,,,,
