ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1993,1993-09-05,1,22.235,CHI,,NYG,L 20-26,,2,1,6,6.00,0,50.0%,3.00,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
2,1993,1993-09-12,2,22.242,CHI,@,MIN,L 7-10,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,0,0,,0,,,,,0,
3,1993,1993-09-26,3,22.256,CHI,,TAM,W 47-17,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,1,17,17.00,0,0,0,,0,0,0
4,1993,1993-10-03,4,22.263,CHI,,ATL,W 6-0,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,,,,,0,
5,1993,1993-10-10,5,22.270,CHI,@,PHI,W 17-6,,5,3,42,14.00,1,60.0%,8.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
6,1993,1993-10-25,6,22.285,CHI,,MIN,L 12-19,,6,2,17,8.50,0,33.3%,2.83,1,18,18.00,0,0,0,,0,0,0,,,,,,3,98,32.67,0,0,0,,0,0,0
7,1993,1993-10-31,7,22.291,CHI,@,GNB,L 3-17,,1,1,25,25.00,0,100.0%,25.00,1,5,5.00,0,0,0,,0,0,0,,,,,,1,42,42.00,0,0,0,,0,0,0
8,1993,1993-11-07,8,22.298,CHI,,RAI,L 14-16,,2,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,0,0,,0,,,,,0,
9,1993,1993-11-14,9,22.305,CHI,@,SDG,W 16-13,,4,2,50,25.00,1,50.0%,12.50,1,18,18.00,0,0,0,,0,0,0,,,,,,4,39,9.75,0,0,0,,0,1,6
10,1993,1993-11-21,10,22.312,CHI,@,KAN,W 19-17,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,,,,,1,25,25.00,0,0,0,,0,0,0
11,1993,1993-11-25,11,22.316,CHI,@,DET,W 10-6,,4,1,11,11.00,0,25.0%,2.75,1,-5,-5.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
12,1993,1993-12-05,12,22.326,CHI,,GNB,W 30-17,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,,,,,2,44,22.00,0,0,0,,0,0,0
13,1993,1993-12-12,13,22.333,CHI,@,TAM,L 10-13,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,3,45,15.00,0,0,0,,0,0,0
14,1993,1993-12-18,14,22.339,CHI,,DEN,L 3-13,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,,,,,2,34,17.00,0,0,0,,0,0,0
15,1993,1993-12-26,15,22.347,CHI,,DET,L 14-20,,7,4,33,8.25,0,57.1%,4.71,0,0,,0,0,0,,0,0,0,,,,,,1,40,40.00,0,0,0,,0,0,0
16,1993,1994-01-02,16,22.354,CHI,@,RAM,L 6-20,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,3,66,22.00,0,0,0,,0,0,0
17,1994,1994-09-04,1,23.234,CHI,,TAM,W 21-9,,6,3,25,8.33,0,50.0%,4.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
18,1994,1994-09-12,2,23.242,CHI,@,PHI,L 22-30,,8,7,148,21.14,2,87.5%,18.50,0,0,,0,0,0,,0,0,0,,0,,,,5,103,20.60,0,0,0,,0,2,12
19,1994,1994-09-18,3,23.248,CHI,,MIN,L 14-42,,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,,,,4,92,23.00,0,0,0,,0,0,0
20,1994,1994-09-25,4,23.255,CHI,@,NYJ,W 19-7,,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
21,1994,1994-10-02,5,23.262,CHI,,BUF,W 20-13,,8,4,38,9.50,0,50.0%,4.75,1,9,9.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,12,12.00,0,0,0
22,1994,1994-10-09,6,23.269,CHI,,NOR,W 17-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,8,8.00,0,0,0
23,1994,1994-10-23,7,23.283,CHI,@,DET,L 16-21,,9,5,37,7.40,0,55.6%,4.11,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,39,9.75,0,0,0
24,1994,1994-10-31,8,23.291,CHI,,GNB,L 6-33,,3,3,49,16.33,0,100.0%,16.33,0,0,,0,0,0,,0,0,0,,0,,,,1,33,33.00,0,1,0,0.00,0,0,0
25,1994,1994-11-06,9,23.297,CHI,@,TAM,W 20-6,,3,1,28,28.00,0,33.3%,9.33,1,12,12.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
26,1994,1994-11-13,10,23.304,CHI,@,MIA,W 17-14,,7,3,59,19.67,0,42.9%,8.43,2,9,4.50,0,1,1,100.00,23,1,0,158.3,0,0,23.00,43.00,0,0,,0,1,4,4.00,0,0,0
27,1994,1994-12-11,14,23.332,CHI,@,GNB,L 3-40,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
