ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1953,1953-09-27,1,22.041,CRD,,WAS,L 13-24,,4,5,80.00,48,0,0,106.7,0,0,9.60,9.60,1,0,0.00,0
2,1953,1953-10-04,2,22.048,CRD,,CLE,L 7-27,*,11,25,44.00,124,1,1,56.1,0,0,4.96,3.96,0,0,,0
3,1953,1953-10-11,3,22.055,CRD,@,PIT,L 28-31,*,9,27,33.33,162,2,4,40.0,0,0,6.00,0.81,4,6,1.50,0
4,1953,1953-10-25,5,22.069,CRD,,PHI,L 17-56,,4,16,25.00,77,2,1,60.7,0,0,4.81,4.50,1,19,19.00,0
5,1953,1953-11-01,6,22.076,CRD,,NYG,L 20-23,,8,15,53.33,117,0,1,51.3,0,0,7.80,4.80,1,1,1.00,0
6,1953,1953-11-08,7,22.083,CRD,@,WAS,L 17-28,,3,6,50.00,28,0,0,63.2,0,0,4.67,4.67,0,0,,0
7,1953,1953-11-15,8,22.090,CRD,,RAM,T 24-24,*,3,7,42.86,79,1,1,84.8,0,0,11.29,7.71,1,1,1.00,0
8,1953,1953-11-21,9,22.096,CRD,@,PHI,L 0-38,*,7,27,25.93,77,0,2,8.7,0,0,2.85,-0.48,0,0,,0
9,1953,1953-11-29,10,22.104,CRD,@,CLE,L 16-27,*,13,31,41.94,227,1,0,78.3,0,0,7.32,7.97,5,-11,-2.20,1
10,1953,1953-12-06,11,22.111,CRD,,PIT,L 17-21,*,11,17,64.71,102,0,1,56.5,0,0,6.00,3.35,1,7,7.00,0
11,1953,1953-12-13,12,22.118,CRD,@,CHI,W 24-17,,7,16,43.75,108,1,0,87.5,0,0,6.75,8.00,0,0,,0
12,1956,1956-09-30,1,25.044,CRD,,CLE,W 9-7,,4,8,50.00,35,0,2,22.4,0,0,4.38,-6.88,0,0,,0
13,1956,1956-10-14,3,25.058,CRD,@,WAS,W 31-3,,2,4,50.00,32,0,0,77.1,0,0,8.00,8.00,6,21,3.50,1
14,1956,1956-11-11,7,25.086,CRD,@,NYG,L 10-23,,5,8,62.50,49,1,0,119.3,0,0,6.13,8.63,1,7,7.00,0
15,1956,1956-11-18,8,25.093,CRD,@,PIT,L 7-14,,0,3,0.00,0,0,1,0.0,0,0,0.00,-15.00,3,22,7.33,0
16,1956,1956-11-25,9,25.100,CRD,,PIT,W 38-27,*,11,16,68.75,153,1,1,94.0,0,0,9.56,8.00,5,-2,-0.40,1
17,1956,1956-12-02,10,25.107,CRD,,GNB,L 21-24,*,6,16,37.50,64,1,1,44.8,0,0,4.00,2.44,1,-4,-4.00,0
18,1956,1956-12-09,11,25.114,CRD,@,CHI,L 3-10,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
19,1956,1956-12-16,12,25.121,CRD,@,CLE,W 24-7,,0,0,,0,0,,,,,,,1,1,1.00,0
