ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2011,2011-09-11,1,24.136,JAX,,TEN,W 16-14,,,,,,,,,,,
2,2011,2011-09-18,2,24.143,JAX,@,NYJ,L 3-32,,,,,,,,,,,
3,2011,2011-09-25,3,24.150,JAX,@,CAR,L 10-16,,0,0,,0,0.0,1,0,0,0,0
4,2011,2011-10-02,4,24.157,JAX,,NOR,L 10-23,,0,0,,0,0.0,2,0,0,0,0
5,2011,2011-10-09,5,24.164,JAX,,CIN,L 20-30,,0,0,,0,0.0,0,0,0,0,0
6,2011,2011-10-16,6,24.171,JAX,@,PIT,L 13-17,,0,0,,0,0.0,1,1,0,0,0
7,2011,2011-10-24,7,24.179,JAX,,BAL,W 12-7,,0,0,,0,0.0,0,0,0,0,0
8,2011,2011-10-30,8,24.185,JAX,@,HOU,L 14-24,,0,0,,0,0.0,2,1,0,0,0
9,2011,2011-11-13,9,24.199,JAX,@,IND,W 17-3,,0,0,,0,0.0,0,1,0,0,0
10,2011,2011-11-20,10,24.206,JAX,@,CLE,L 10-14,,,,,,,,,,,
11,2011,2011-11-27,11,24.213,JAX,,HOU,L 13-20,,0,0,,0,0.0,0,0,0,0,0
12,2011,2011-12-05,12,24.221,JAX,,SDG,L 14-38,,0,0,,0,0.0,1,0,0,0,0
13,2011,2011-12-11,13,24.227,JAX,,TAM,W 41-14,*,0,0,,0,0.0,4,0,0,0,0
14,2012,2012-09-09,1,25.134,JAX,@,MIN,L 23-26,,0,0,,0,0.0,0,0,0,0,0
15,2012,2012-09-16,2,25.141,JAX,,HOU,L 7-27,,0,0,,0,0.0,2,0,0,0,0
16,2012,2012-09-23,3,25.148,JAX,@,IND,W 22-17,,0,0,,0,0.0,1,0,0,0,0
17,2012,2012-09-30,4,25.155,JAX,,CIN,L 10-27,,0,0,,0,0.0,0,1,0,0,0
18,2012,2012-10-07,5,25.162,JAX,,CHI,L 3-41,,,,,,,,,,,
19,2012,2012-10-21,6,25.176,JAX,@,OAK,L 23-26,*,0,0,,0,0.0,3,0,0,0,0
20,2012,2012-10-28,7,25.183,JAX,@,GNB,L 15-24,*,0,0,,0,0.0,3,1,0,0,0
21,2012,2012-11-04,8,25.190,JAX,,DET,L 14-31,*,0,0,,0,0.0,4,0,0,0,0
22,2012,2012-11-08,9,25.194,JAX,,IND,L 10-27,*,0,0,,0,0.0,3,0,0,2,0
23,2012,2012-11-18,10,25.204,JAX,@,HOU,L 37-43,*,0,0,,0,0.0,3,3,0,0,0
24,2012,2012-11-25,11,25.211,JAX,,TEN,W 24-19,,0,0,,0,0.0,5,0,0,0,0
25,2012,2012-12-02,12,25.218,JAX,@,BUF,L 18-34,,0,0,,0,0.0,2,1,0,0,0
26,2012,2012-12-09,13,25.225,JAX,,NYJ,L 10-17,,0,0,,0,0.0,0,0,0,0,0
27,2012,2012-12-16,14,25.232,JAX,@,MIA,L 3-24,,0,0,,0,0.0,3,1,0,0,0
28,2012,2012-12-23,15,25.239,JAX,,NWE,L 16-23,*,0,0,,0,0.0,8,0,1,4,0
29,2012,2012-12-30,16,25.246,JAX,@,TEN,L 20-38,*,0,0,,0,0.0,2,3,0,0,0
30,2013,2013-09-08,1,26.133,JAX,,KAN,L 2-28,,0,0,,0,0.0,1,0,0,0,0
31,2013,2013-09-15,2,26.140,JAX,@,OAK,L 9-19,,,,,,,,,,,
32,2013,2013-09-22,3,26.147,JAX,@,SEA,L 17-45,,0,0,,0,0.0,0,2,0,0,0
33,2013,2013-09-29,4,26.154,JAX,,IND,L 3-37,,0,0,,0,0.0,2,0,0,0,0
34,2013,2013-10-06,5,26.161,JAX,@,STL,L 20-34,,0,0,,0,0.0,1,0,0,0,0
35,2013,2013-10-13,6,26.168,JAX,@,DEN,L 19-35,,0,0,,0,0.0,1,0,0,0,0
36,2013,2013-10-20,7,26.175,JAX,,SDG,L 6-24,,,,,,,,,,,
37,2013,2013-10-27,8,26.182,JAX,,SFO,L 10-42,,0,0,,0,0.0,1,0,0,0,0
38,2013,2013-11-10,9,26.196,JAX,@,TEN,W 29-27,,,,,,,,,,,
39,2013,2013-11-17,10,26.203,JAX,,ARI,L 14-27,,,,,,,,,,,
40,2013,2013-11-24,11,26.210,JAX,@,HOU,W 13-6,,0,0,,0,0.0,1,0,0,0,0
41,2013,2013-12-01,12,26.217,JAX,@,CLE,W 32-28,,0,0,,0,0.0,0,1,0,0,0
42,2013,2013-12-05,13,26.221,JAX,,HOU,W 27-20,,0,0,,0,0.0,1,0,0,0,0
43,2013,2013-12-15,14,26.231,JAX,,BUF,L 20-27,*,0,0,,0,0.0,4,1,0,0,0
44,2013,2013-12-22,15,26.238,JAX,,TEN,L 16-20,,,,,,,,,,,
45,2013,2013-12-29,16,26.245,JAX,@,IND,L 10-30,,,,,,,,,,,
46,2014,2014-09-07,1,27.132,JAX,@,PHI,L 17-34,,0,0,,0,0.0,2,1,0,0,0
47,2014,2014-09-14,2,27.139,JAX,@,WAS,L 10-41,,0,0,,0,0.0,0,2,0,0,0
48,2014,2014-09-21,3,27.146,JAX,,IND,L 17-44,,,,,,,,,,,
49,2014,2014-11-10,9,27.196,PHI,,CAR,W 45-21,,,,,,,,,,,
50,2014,2014-11-16,10,27.202,PHI,@,GNB,L 20-53,,,,,,,,,,,
51,2014,2014-11-23,11,27.209,PHI,,TEN,W 43-24,,0,0,,0,0.0,2,1,0,0,0
52,2014,2014-11-27,12,27.213,PHI,@,DAL,W 33-10,,,,,,,,,,,
53,2014,2014-12-07,13,27.223,PHI,,SEA,L 14-24,,0,0,,0,0.0,3,0,0,0,0
54,2014,2014-12-14,14,27.230,PHI,,DAL,L 27-38,,0,0,,0,0.0,1,0,0,0,0
55,2014,2014-12-20,15,27.236,PHI,@,WAS,L 24-27,,,,,,,,,,,
56,2014,2014-12-28,16,27.244,PHI,@,NYG,W 34-26,,,,,,,,,,,
57,2015,2015-10-04,4,28.159,CHI,,OAK,W 22-20,,0,0,,0,0.0,0,0,0,0,0
58,2015,2015-10-11,5,28.166,CHI,@,KAN,W 18-17,,0,0,,0,0.0,0,0,0,0,0
59,2015,2015-10-18,6,28.173,CHI,@,DET,L 34-37,,0,0,,0,0.0,0,0,0,0,0
60,2015,2015-11-01,7,28.187,CHI,,MIN,L 20-23,,0,0,,0,0.0,0,0,0,0,0
61,2015,2015-11-09,8,28.195,CHI,@,SDG,W 22-19,,0,0,,0,0.0,0,0,0,0,0
62,2015,2015-11-15,9,28.201,CHI,@,STL,W 37-13,,0,0,,0,0.0,1,0,0,0,0
63,2015,2015-11-22,10,28.208,CHI,,DEN,L 15-17,*,0,0,,0,1.0,4,2,0,0,0
64,2015,2015-11-26,11,28.212,CHI,@,GNB,W 17-13,*,0,0,,0,0.0,6,0,0,0,0
65,2015,2015-12-06,12,28.222,CHI,,SFO,L 20-26,*,0,0,,0,0.0,1,0,0,0,0
66,2015,2015-12-13,13,28.229,CHI,,WAS,L 21-24,*,0,0,,0,0.0,2,0,0,0,0
67,2015,2015-12-20,14,28.236,CHI,@,MIN,L 17-38,*,0,0,,0,0.0,7,0,0,0,0
68,2015,2015-12-27,15,28.243,CHI,@,TAM,W 26-21,,0,0,,0,0.0,0,0,0,0,0
69,2015,2016-01-03,16,28.250,CHI,,DET,L 20-24,,0,0,,0,0.0,0,0,0,0,0
70,2016,2016-09-11,1,29.136,CHI,@,HOU,L 14-23,,0,0,,0,0.0,0,0,0,0,0
71,2016,2016-09-19,2,29.144,CHI,,PHI,L 14-29,,0,0,,0,0.0,3,0,0,0,0
72,2016,2016-09-25,3,29.150,CHI,@,DAL,L 17-31,,0,0,,0,0.0,1,1,0,0,0
73,2016,2016-10-02,4,29.157,CHI,,DET,W 17-14,,0,0,,0,0.0,0,0,0,0,0
74,2016,2016-10-09,5,29.164,CHI,@,IND,L 23-29,,0,0,,0,0.0,6,2,0,0,0
75,2016,2016-10-16,6,29.171,CHI,,JAX,L 16-17,,0,0,,0,0.0,0,0,0,0,0
76,2016,2016-10-20,7,29.175,CHI,@,GNB,L 10-26,*,0,0,,0,0.0,1,0,0,0,0
77,2016,2016-10-31,8,29.186,CHI,,MIN,W 20-10,,0,0,,0,0.0,0,1,0,0,0
78,2016,2016-11-13,9,29.199,CHI,@,TAM,L 10-36,,0,0,,0,0.0,2,1,0,0,0
79,2016,2016-11-20,10,29.206,CHI,@,NYG,L 16-22,,0,0,,0,0.0,0,0,0,0,0
80,2016,2016-11-27,11,29.213,CHI,,TEN,L 21-27,,0,0,,0,0.0,0,0,0,0,0
81,2016,2016-12-04,12,29.220,CHI,,SFO,W 26-6,,0,0,,0,0.0,0,0,0,0,0
82,2016,2016-12-11,13,29.227,CHI,@,DET,L 17-20,,0,0,,0,0.0,0,0,0,0,0
83,2016,2016-12-18,14,29.234,CHI,,GNB,L 27-30,,0,0,,0,0.0,0,0,0,0,0
84,2016,2016-12-24,15,29.240,CHI,,WAS,L 21-41,,1,2,2.00,0,0.0,0,0,0,,0
