ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1976,1976-09-12,1,22.194,TAM,@,HOU,L 0-20,0,0,,0,0,0,,0,2,35,17.50,0,1,2,2.00,0,0,0
2,1977,1977-09-18,1,23.200,TAM,@,PHI,L 3-13,1,8,8.00,0,0,0,,0,0,0,,0,2,8,4.00,0,0,0
3,1977,1977-09-24,2,23.206,TAM,,MIN,L 3-9,0,0,,0,0,0,,0,1,27,27.00,0,1,9,9.00,0,0,0
4,1977,1977-10-02,3,23.214,TAM,@,DAL,L 7-23,1,4,4.00,0,0,0,,0,5,118,23.60,0,2,1,0.50,0,0,0
5,1977,1977-10-09,4,23.221,TAM,,WAS,L 0-10,3,31,10.33,0,0,0,,0,1,7,7.00,0,1,-1,-1.00,0,0,0
6,1977,1977-10-16,5,23.228,TAM,@,SEA,L 23-30,0,0,,0,0,0,,0,5,117,23.40,0,2,8,4.00,0,0,0
7,1977,1977-10-23,6,23.235,TAM,,GNB,L 0-13,2,2,1.00,0,0,0,,0,2,58,29.00,0,4,24,6.00,0,0,0
8,1977,1977-10-30,7,23.242,TAM,@,SFO,L 10-20,0,0,,0,0,0,,0,2,37,18.50,0,1,10,10.00,0,0,0
9,1977,1977-11-13,9,23.256,TAM,,NYG,L 0-10,3,76,25.33,0,0,0,,0,2,53,26.50,0,0,0,,0,0,0
10,1977,1977-11-20,10,23.263,TAM,@,DET,L 7-16,2,57,28.50,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0
11,1977,1977-11-27,11,23.270,TAM,,ATL,L 0-17,1,6,6.00,0,0,0,,0,2,52,26.00,0,0,0,,0,0,0
12,1977,1977-12-04,12,23.277,TAM,,CHI,L 0-10,1,10,10.00,0,1,2,2.00,0,1,24,24.00,0,2,-3,-1.50,0,0,0
13,1977,1977-12-11,13,23.284,TAM,@,NOR,W 33-14,0,0,,0,0,0,,0,0,0,,0,1,29,29.00,0,0,0
14,1977,1977-12-18,14,23.291,TAM,,STL,W 17-7,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
15,1978,1978-09-02,1,24.184,TAM,,NYG,L 13-19,1,9,9.00,0,0,0,,0,4,69,17.25,0,0,0,,0,0,0
16,1978,1978-09-09,2,24.191,TAM,,DET,L 7-15,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
17,1978,1978-09-17,3,24.199,TAM,@,MIN,W 16-10,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0
18,1978,1978-09-24,4,24.206,TAM,,ATL,W 14-9,4,45,11.25,0,0,0,,0,0,0,,0,3,23,7.67,0,0,0
19,1979,1979-09-01,1,25.183,TAM,,DET,W 31-16,,,,,,,,,,,,,,,,,,
20,1979,1979-09-09,2,25.191,TAM,@,BAL,W 29-26,2,35,17.50,1,0,0,,0,0,0,,0,0,0,,0,1,6
21,1979,1979-09-16,3,25.198,TAM,@,GNB,W 21-10,4,54,13.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
22,1979,1979-09-23,4,25.205,TAM,,RAM,W 21-6,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
23,1979,1979-09-30,5,25.212,TAM,@,CHI,W 17-13,4,37,9.25,1,0,0,,0,0,0,,0,0,0,,0,1,6
24,1979,1979-10-07,6,25.219,TAM,@,NYG,L 14-17,3,77,25.67,0,0,0,,0,0,0,,0,0,0,,0,0,0
25,1979,1979-10-14,7,25.226,TAM,,NOR,L 14-42,4,71,17.75,1,0,0,,0,2,51,25.50,0,0,0,,0,1,6
26,1979,1979-10-21,8,25.233,TAM,,GNB,W 21-3,,,,,,,,,,,,,,,,,,
27,1979,1979-10-28,9,25.240,TAM,@,MIN,W 12-10,5,149,29.80,0,0,0,,0,0,0,,0,0,0,,0,0,0
28,1979,1979-11-04,10,25.247,TAM,@,ATL,L 14-17,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
29,1979,1979-11-11,11,25.254,TAM,@,DET,W 16-14,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
30,1979,1979-11-18,12,25.261,TAM,,NYG,W 31-3,3,41,13.67,0,0,0,,0,0,0,,0,0,0,,0,0,0
31,1979,1979-11-25,13,25.268,TAM,,MIN,L 22-23,3,37,12.33,0,0,0,,0,0,0,,0,0,0,,0,0,0
32,1979,1979-12-02,14,25.275,TAM,,CHI,L 0-14,4,67,16.75,0,0,0,,0,3,55,18.33,0,0,0,,0,0,0
33,1979,1979-12-09,15,25.282,TAM,@,SFO,L 7-23,3,90,30.00,0,0,0,,0,4,90,22.50,0,0,0,,0,0,0
34,1979,1979-12-16,16,25.289,TAM,,KAN,W 3-0,,,,,,,,,,,,,,,,,,
35,1980,1980-09-07,1,26.189,TAM,@,CIN,W 17-12,1,19,19.00,0,0,0,,0,2,39,19.50,0,0,0,,0,0,0
36,1980,1980-09-11,2,26.193,TAM,,RAM,W 10-9,0,0,,0,0,0,,0,2,43,21.50,0,0,0,,0,0,0
37,1980,1980-09-21,3,26.203,TAM,@,DAL,L 17-28,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,0,0,0
