ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1972,1972-10-15,5,23.169,CHI,@,CLE,W 17-0,,,,
2,1972,1972-10-23,6,23.177,CHI,,MIN,W 13-10,,,,
3,1972,1972-10-29,7,23.183,CHI,@,STL,W 27-10,,,,
4,1972,1972-11-05,8,23.190,CHI,@,DET,L 0-14,,,,
5,1972,1972-11-12,9,23.197,CHI,,GNB,L 17-23,,,,
6,1972,1972-11-19,10,23.204,CHI,,SFO,L 21-34,,,,
7,1972,1972-11-26,11,23.211,CHI,,CIN,L 3-13,,,,
8,1972,1972-12-03,12,23.218,CHI,@,MIN,L 10-23,,,,
9,1972,1972-12-10,13,23.225,CHI,@,PHI,W 21-12,,,,
10,1972,1972-12-17,14,23.232,CHI,@,OAK,L 21-28,1,3,3.00,0
