ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,def_int,def_int_yds,def_int_td
1,1967,1967-09-24,2,23.089,CHI,@,GNB,L 10-13,0,0,,0,0,0,,0,1,0,0
2,1967,1967-10-08,4,23.103,CHI,,BAL,L 3-24,0,0,,0,0,0,,0,1,22,0
3,1967,1967-12-03,12,23.159,CHI,@,SFO,W 28-14,0,0,,0,0,0,,0,1,17,0
4,1968,1968-10-20,6,24.115,CHI,@,PHI,W 29-16,0,0,,0,0,0,,0,1,21,0
5,1969,1969-11-02,7,25.128,CHI,@,MIN,L 14-31,0,0,,0,0,0,,0,1,12,0
6,1969,1969-11-09,8,25.135,CHI,,PIT,W 38-7,0,0,,0,0,0,,0,1,0,0
7,1970,1970-09-19,1,26.084,CHI,@,NYG,W 24-16,0,0,,0,0,0,,0,1,9,0
8,1970,1970-09-27,2,26.092,CHI,,PHI,W 20-16,,,,,,,,,,,
9,1970,1970-10-05,3,26.100,CHI,@,DET,L 14-28,,,,,,,,,,,
10,1970,1970-10-11,4,26.106,CHI,,MIN,L 0-24,,,,,,,,,,,
11,1970,1970-10-18,5,26.113,CHI,,SDG,L 7-20,,,,,,,,,,,
12,1970,1970-10-25,6,26.120,CHI,,DET,L 10-16,,,,,,,,,,,
13,1970,1970-11-01,7,26.127,CHI,@,ATL,W 23-14,0,0,,0,0,0,,0,1,16,0
14,1970,1970-11-08,8,26.134,CHI,,SFO,L 16-37,,,,,,,,,,,
15,1970,1970-11-15,9,26.141,CHI,@,GNB,L 19-20,,,,,,,,,,,
16,1970,1970-11-22,10,26.148,CHI,,BUF,W 31-13,0,0,,0,0,0,,0,1,7,0
17,1970,1970-11-29,11,26.155,CHI,@,BAL,L 20-21,0,0,,0,0,0,,0,1,1,0
18,1970,1970-12-05,12,26.161,CHI,@,MIN,L 13-16,,,,,,,,,,,
19,1970,1970-12-13,13,26.169,CHI,,GNB,W 35-17,,,,,,,,,,,
20,1970,1970-12-20,14,26.176,CHI,@,NOR,W 24-3,,,,,,,,,,,
21,1971,1971-09-19,1,27.084,CHI,,PIT,W 17-15,,,,,,,,,,,
22,1971,1971-09-26,2,27.091,CHI,@,MIN,W 20-17,,,,,,,,,,,
23,1971,1971-10-03,3,27.098,CHI,@,RAM,L 3-17,,,,,,,,,,,
24,1971,1971-10-10,4,27.105,CHI,,NOR,W 35-14,1,19,19.00,0,0,0,,0,0,0,0
25,1971,1971-10-17,5,27.112,CHI,@,SFO,L 0-13,0,0,,0,0,0,,0,1,18,0
26,1971,1971-10-24,6,27.119,CHI,@,DET,W 28-23,,,,,,,,,,,
27,1971,1971-10-31,7,27.126,CHI,,DAL,W 23-19,0,0,,0,0,0,,0,1,9,0
28,1971,1971-11-07,8,27.133,CHI,,GNB,L 14-17,,,,,,,,,,,
29,1971,1971-11-14,9,27.140,CHI,,WAS,W 16-15,,,,,,,,,,,
30,1971,1971-11-21,10,27.147,CHI,,DET,L 3-28,,,,,,,,,,,
31,1971,1971-11-29,11,27.155,CHI,@,MIA,L 3-34,,,,,,,,,,,
32,1971,1971-12-05,12,27.161,CHI,@,DEN,L 3-6,,,,,,,,,,,
33,1971,1971-12-12,13,27.168,CHI,@,GNB,L 10-31,,,,,,,,,,,
34,1971,1971-12-19,14,27.175,CHI,,MIN,L 10-27,,,,,,,,,,,
35,1972,1972-09-17,1,28.082,CHI,,ATL,L 21-37,,,,,,,,,,,
36,1972,1972-09-24,2,28.089,CHI,,RAM,T 13-13,,,,,,,,,,,
37,1972,1972-10-01,3,28.096,CHI,,DET,L 24-38,,,,,,,,,,,
38,1972,1972-10-08,4,28.103,CHI,@,GNB,L 17-20,,,,,,,,,,,
39,1972,1972-10-15,5,28.110,CHI,@,CLE,W 17-0,,,,,,,,,,,
40,1972,1972-10-23,6,28.118,CHI,,MIN,W 13-10,,,,,,,,,,,
41,1972,1972-10-29,7,28.124,CHI,@,STL,W 27-10,0,0,,0,0,0,,0,1,0,0
42,1972,1972-11-05,8,28.131,CHI,@,DET,L 0-14,,,,,,,,,,,
43,1972,1972-11-12,9,28.138,CHI,,GNB,L 17-23,,,,,,,,,,,
44,1972,1972-11-19,10,28.145,CHI,,SFO,L 21-34,,,,,,,,,,,
45,1972,1972-11-26,11,28.152,CHI,,CIN,L 3-13,,,,,,,,,,,
46,1972,1972-12-03,12,28.159,CHI,@,MIN,L 10-23,,,,,,,,,,,
47,1972,1972-12-10,13,28.166,CHI,@,PHI,W 21-12,,,,,,,,,,,
48,1972,1972-12-17,14,28.173,CHI,@,OAK,L 21-28,,,,,,,,,,,
49,1973,1973-09-16,1,29.081,CHI,,DAL,L 17-20,0,0,,0,0,0,,0,1,22,0
50,1973,1973-09-23,2,29.088,CHI,,MIN,L 13-22,,,,,,,,,,,
51,1973,1973-09-30,3,29.095,CHI,@,DEN,W 33-14,0,0,,0,0,0,,0,1,0,0
52,1973,1973-10-07,4,29.102,CHI,@,NOR,L 16-21,,,,,,,,,,,
53,1973,1973-10-14,5,29.109,CHI,@,ATL,L 6-46,,,,,,,,,,,
54,1973,1973-10-21,6,29.116,CHI,,NWE,L 10-13,,,,,,,,,,,
55,1973,1973-10-28,7,29.123,CHI,,HOU,W 35-14,,,,,,,,,,,
56,1973,1973-11-04,8,29.130,CHI,@,GNB,W 31-17,,,,,,,,,,,
57,1973,1973-11-12,9,29.138,CHI,@,KAN,L 7-19,0,0,,0,0,0,,0,1,0,0
58,1973,1973-11-18,10,29.144,CHI,,DET,L 7-30,,,,,,,,,,,
59,1973,1973-11-25,11,29.151,CHI,@,MIN,L 13-31,,,,,,,,,,,
60,1973,1973-12-02,12,29.158,CHI,,RAM,L 0-26,,,,,,,,,,,
61,1973,1973-12-09,13,29.165,CHI,@,DET,L 7-40,,,,,,,,,,,
62,1973,1973-12-16,14,29.172,CHI,,GNB,L 0-21,,,,,,,,,,,
63,1974,1974-09-15,1,30.080,CHI,,DET,W 17-9,,,,,,,,,,,
64,1974,1974-09-22,2,30.087,CHI,,NYJ,L 21-23,,,,,,,,,,,
65,1974,1974-09-29,3,30.094,CHI,@,MIN,L 7-11,,,,,,,,,,,
66,1974,1974-10-06,4,30.101,CHI,,NOR,W 24-10,,,,,,,,,,,
67,1974,1974-10-13,5,30.108,CHI,@,ATL,L 10-13,,,,,,,,,,,
68,1974,1974-10-21,6,30.116,CHI,,GNB,W 10-9,,,,,,,,,,,
69,1974,1974-10-27,7,30.122,CHI,@,BUF,L 6-16,,,,,,,,,,,
70,1974,1974-11-03,8,30.129,CHI,,MIN,L 0-17,,,,,,,,,,,
71,1974,1974-11-10,9,30.136,CHI,@,GNB,L 3-20,,,,,,,,,,,
72,1974,1974-11-17,10,30.143,CHI,,SFO,L 0-34,0,0,,0,0,0,,0,1,0,0
73,1974,1974-11-24,11,30.150,CHI,@,DET,L 17-34,,,,,,,,,,,
74,1974,1974-12-01,12,30.157,CHI,,NYG,W 16-13,,,,,,,,,,,
75,1974,1974-12-08,13,30.164,CHI,@,SDG,L 21-28,,,,,,,,,,,
76,1974,1974-12-15,14,30.171,CHI,@,WAS,L 0-42,,,,,,,,,,,
77,1975,1975-09-21,1,31.086,CHI,,BAL,L 7-35,,,,,,,,,,,
78,1975,1975-09-28,2,31.093,CHI,,PHI,W 15-13,,,,,,,,,,,
79,1975,1975-10-05,3,31.100,CHI,@,MIN,L 3-28,,,,,,,,,,,
80,1975,1975-10-12,4,31.107,CHI,@,DET,L 7-27,,,,,,,,,,,
81,1975,1975-10-19,5,31.114,CHI,@,PIT,L 3-34,,,,,,,,,,,
82,1975,1975-10-27,6,31.122,CHI,,MIN,L 9-13,,,,,,,,,,,
83,1975,1975-11-02,7,31.128,CHI,,MIA,L 13-46,,,,,,,,,,,
84,1975,1975-11-09,8,31.135,CHI,,GNB,W 27-14,,,,,,,,,,,
85,1975,1975-11-16,9,31.142,CHI,@,SFO,L 3-31,,,,,,,,,,,
86,1975,1975-11-23,10,31.149,CHI,@,RAM,L 10-38,0,0,,0,0,0,,0,1,12,0
87,1975,1975-11-30,11,31.156,CHI,@,GNB,L 7-28,,,,,,,,,,,
88,1975,1975-12-07,12,31.163,CHI,,DET,W 25-21,,,,,,,,,,,
89,1975,1975-12-14,13,31.170,CHI,,STL,L 20-34,,,,,,,,,,,
90,1975,1975-12-21,14,31.177,CHI,@,NOR,W 42-17,,,,,,,,,,,
91,1976,1976-09-12,1,32.077,CHI,,DET,W 10-3,,,,,,,,,,,
92,1976,1976-09-19,2,32.084,CHI,@,SFO,W 19-12,,,,,,,,,,,
93,1977,1977-09-18,1,33.083,CHI,,DET,W 30-20,,,,,,,,,,,
94,1977,1977-09-25,2,33.090,CHI,@,STL,L 13-16,,,,,,,,,,,
95,1977,1977-10-02,3,33.097,CHI,,NOR,L 24-42,,,,,,,,,,,
96,1977,1977-10-10,4,33.105,CHI,,RAM,W 24-23,0,0,,0,0,0,,0,1,12,0
97,1977,1977-10-16,5,33.111,CHI,@,MIN,L 16-22,,,,,,,,,,,
98,1977,1977-10-23,6,33.118,CHI,,ATL,L 10-16,,,,,,,,,,,
99,1977,1977-10-30,7,33.125,CHI,@,GNB,W 26-0,,,,,,,,,,,
100,1977,1977-11-06,8,33.132,CHI,@,HOU,L 0-47,,,,,,,,,,,
101,1977,1977-11-20,10,33.146,CHI,,MIN,W 10-7,,,,,,,,,,,
102,1977,1977-11-24,11,33.150,CHI,@,DET,W 31-14,,,,,,,,,,,
103,1977,1977-12-04,12,33.160,CHI,@,TAM,W 10-0,,,,,,,,,,,
104,1977,1977-12-11,13,33.167,CHI,,GNB,W 21-10,,,,,,,,,,,
105,1977,1977-12-18,14,33.174,CHI,@,NYG,W 12-9,,,,,,,,,,,
106,1978,1978-09-03,1,34.068,CHI,,STL,W 17-10,,,,,,,,,,,
107,1978,1978-09-10,2,34.075,CHI,@,SFO,W 16-13,0,0,,0,0,0,,0,2,22,0
108,1978,1978-09-17,3,34.082,CHI,@,DET,W 19-0,,,,,,,,,,,
109,1978,1978-09-25,4,34.090,CHI,,MIN,L 20-24,,,,,,,,,,,
110,1978,1978-10-01,5,34.096,CHI,,OAK,L 19-25,,,,,,,,,,,
111,1978,1978-10-08,6,34.103,CHI,@,GNB,L 14-24,,,,,,,,,,,
112,1978,1978-10-16,7,34.111,CHI,@,DEN,L 7-16,,,,,,,,,,,
113,1978,1978-10-22,8,34.117,CHI,@,TAM,L 19-33,,,,,,,,,,,
114,1978,1978-10-29,9,34.124,CHI,,DET,L 17-21,,,,,,,,,,,
115,1978,1978-11-05,10,34.131,CHI,,SEA,L 29-31,,,,,,,,,,,
116,1978,1978-11-19,12,34.145,CHI,,ATL,W 13-7,,,,,,,,,,,
117,1978,1978-11-26,13,34.152,CHI,,TAM,W 14-3,,,,,,,,,,,
118,1978,1978-12-04,14,34.160,CHI,@,SDG,L 7-40,0,0,,0,0,0,,0,1,0,0
119,1978,1978-12-10,15,34.166,CHI,,GNB,W 14-0,,,,,,,,,,,
120,1978,1978-12-16,16,34.172,CHI,@,WAS,W 14-10,,,,,,,,,,,
121,1979,1979-09-02,1,35.067,CHI,,GNB,W 6-3,,,,,,,,,,,
122,1979,1979-09-09,2,35.074,CHI,,MIN,W 26-7,,,,,,,,,,,
123,1979,1979-09-16,3,35.081,CHI,@,DAL,L 20-24,,,,,,,,,,,
124,1979,1979-09-23,4,35.088,CHI,@,MIA,L 16-31,,,,,,,,,,,
125,1979,1979-09-30,5,35.095,CHI,,TAM,L 13-17,,,,,,,,,,,
126,1979,1979-10-07,6,35.102,CHI,@,BUF,W 7-0,,,,,,,,,,,
127,1979,1979-10-14,7,35.109,CHI,,NWE,L 7-27,0,0,,0,0,0,,0,2,11,0
128,1979,1979-10-21,8,35.116,CHI,@,MIN,L 27-30,,,,,,,,,,,
129,1979,1979-10-28,9,35.123,CHI,@,SFO,W 28-27,,,,,,,,,,,
130,1979,1979-11-04,10,35.130,CHI,,DET,W 35-7,,,,,,,,,,,
131,1979,1979-11-11,11,35.137,CHI,,RAM,W 27-23,,,,,,,,,,,
132,1979,1979-11-18,12,35.144,CHI,,NYJ,W 23-13,1,14,14.00,0,0,0,,0,0,0,0
133,1979,1979-11-22,13,35.148,CHI,@,DET,L 0-20,,,,,,,,,,,
134,1979,1979-12-02,14,35.158,CHI,@,TAM,W 14-0,,,,,,,,,,,
135,1979,1979-12-09,15,35.165,CHI,@,GNB,W 15-14,,,,,,,,,,,
136,1979,1979-12-16,16,35.172,CHI,,STL,W 42-6,0,0,,0,1,22,22.00,0,0,0,0
