ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,1997,1997-12-14,15,22.281,DAL,@,CIN,L 24-31,,,,
2,1997,1997-12-21,16,22.288,DAL,,NYG,L 7-20,,,,
3,1998,1998-09-06,1,23.182,DAL,,ARI,W 38-10,,,,
4,1998,1998-09-13,2,23.189,DAL,@,DEN,L 23-42,,,,
5,1998,1998-09-21,3,23.197,DAL,@,NYG,W 31-7,,1,41,0
6,1998,1998-09-27,4,23.203,DAL,,OAK,L 12-13,,,,
7,1998,1998-10-04,5,23.210,DAL,@,WAS,W 31-10,,,,
8,1998,1998-10-11,6,23.217,DAL,,CAR,W 27-20,,,,
9,1998,1998-10-18,7,23.224,DAL,@,CHI,L 12-13,,,,
10,1998,1998-11-02,8,23.239,DAL,@,PHI,W 34-0,,,,
11,1998,1998-11-08,9,23.245,DAL,,NYG,W 16-6,,,,
12,1998,1998-11-15,10,23.252,DAL,@,ARI,W 35-28,,,,
13,1998,1998-11-22,11,23.259,DAL,,SEA,W 30-22,,,,
14,1998,1998-11-26,12,23.263,DAL,,MIN,L 36-46,,,,
15,1998,1998-12-06,13,23.273,DAL,@,NOR,L 3-22,,,,
16,1998,1998-12-13,14,23.280,DAL,@,KAN,L 17-20,,,,
17,1998,1998-12-27,16,23.294,DAL,,WAS,W 23-7,,,,
18,1999,1999-09-12,1,24.188,DAL,@,WAS,W 41-35,,,,
19,1999,1999-10-10,4,24.216,DAL,@,PHI,L 10-13,,,,
20,1999,1999-10-18,5,24.224,DAL,@,NYG,L 10-13,,,,
21,1999,1999-10-24,6,24.230,DAL,,WAS,W 38-20,,,,
22,1999,1999-10-31,7,24.237,DAL,@,IND,L 24-34,,,,
