ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,23.284,STL,,ARI,L 13-17,,1,0,0,,0,0.0%,0.00,1,34,34.00,0,0,0,,0,0.0,0,0
2,2010,2010-09-19,2,23.291,STL,@,OAK,L 14-16,,0,0,0,,0,0.0%,,5,118,23.60,0,0,0,,0,0.0,0,0
3,2010,2010-09-26,3,23.298,STL,,WAS,W 30-16,,2,1,7,7.00,0,50.0%,3.50,3,57,19.00,0,0,0,,0,0.0,0,0
4,2010,2010-10-03,4,23.305,STL,,SEA,W 20-3,,4,2,13,6.50,0,50.0%,3.25,2,42,21.00,0,0,0,,0,0.0,0,0
5,2010,2010-10-10,5,23.312,STL,@,DET,L 6-44,,6,2,22,11.00,0,33.3%,3.67,4,82,20.50,0,0,0,,0,0.0,1,0
6,2010,2010-10-17,6,23.319,STL,,SDG,W 20-17,*,3,1,21,21.00,0,33.3%,7.00,1,23,23.00,0,0,0,,0,0.0,0,0
7,2010,2010-10-31,8,23.333,STL,,CAR,W 20-10,,,,,,,0.0%,,,,,,,,,,,,
8,2010,2010-11-14,9,23.347,STL,@,SFO,L 20-23,*,,,,,,0.0%,,,,,,,,,,,,
9,2010,2010-11-21,10,23.354,STL,,ATL,L 17-34,,,,,,,0.0%,,,,,,,,,,,,
10,2010,2010-11-28,11,23.361,STL,@,DEN,W 36-33,,,,,,,0.0%,,,,,,,,,,,,
11,2010,2010-12-12,13,24.010,STL,@,NOR,L 13-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
12,2012,2012-09-16,2,25.289,PHI,,BAL,W 24-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
13,2012,2012-09-23,3,25.296,PHI,@,ARI,L 6-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
14,2012,2012-09-30,4,25.303,PHI,,NYG,W 19-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
15,2012,2012-10-07,5,25.310,PHI,@,PIT,L 14-16,,0,,,,,0.0%,,,,,,,,,,,,
16,2012,2012-10-14,6,25.317,PHI,,DET,L 23-26,,0,0,0,,0,0.0%,,0,0,,0,2,15,7.50,0,0.0,0,0
17,2012,2012-10-28,7,25.331,PHI,,ATL,L 17-30,,,,,,,0.0%,,,,,,,,,,,,
18,2012,2012-12-09,13,26.007,NYJ,@,JAX,W 17-10,,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0.0,0,0
19,2012,2012-12-17,14,26.015,NYJ,@,TEN,L 10-14,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
