ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,23.176,WAS,,CHI,W 9-7,,,,,,,0.0%,,,,,,,,
2,2007,2007-09-23,3,25.188,SFO,@,PIT,L 16-37,,0,0,0,,0,0.0%,,2,4,2.00,0,0.0,,
3,2007,2007-09-30,4,25.195,SFO,,SEA,L 3-23,,,,,,,0.0%,,,,,,,,
4,2007,2007-10-21,6,25.216,SFO,@,NYG,L 15-33,,,,,,,0.0%,,,,,,,,
5,2007,2007-10-28,7,25.223,SFO,,NOR,L 10-31,,0,,,,,0.0%,,,,,,,,
6,2007,2007-11-04,8,25.230,SFO,@,ATL,L 16-20,,,,,,,0.0%,,,,,,,,
7,2007,2007-11-12,9,25.238,SFO,@,SEA,L 0-24,,0,,,,,0.0%,,,,,,,,
8,2007,2007-11-18,10,25.244,SFO,,STL,L 9-13,,0,,,,,0.0%,,,,,,,,
9,2007,2007-11-25,11,25.251,SFO,@,ARI,W 37-31,,,,,,,0.0%,,,,,,,,
10,2007,2007-12-02,12,25.258,SFO,@,CAR,L 14-31,,0,,,,,0.0%,,,,,,,,
11,2007,2007-12-09,13,25.265,SFO,,MIN,L 7-27,,,,,,,0.0%,,,,,,,,
12,2007,2007-12-15,14,25.271,SFO,,CIN,W 20-13,,0,,,,,0.0%,,,,,,,,
13,2007,2007-12-23,15,25.279,SFO,,TAM,W 21-19,,0,,,,,0.0%,,,,,,,,
14,2007,2007-12-30,16,25.286,SFO,@,CLE,L 7-20,,,,,,,0.0%,,,,,,,,
15,2008,2008-09-07,1,26.172,SFO,,ARI,L 13-23,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0.0,0,0
16,2008,2008-09-14,2,26.179,SFO,@,SEA,W 33-30,*,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
17,2008,2008-09-21,3,26.186,SFO,,DET,W 31-13,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0.0,0,0
18,2008,2008-09-28,4,26.193,SFO,@,NOR,L 17-31,*,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
19,2008,2008-10-05,5,26.200,SFO,,NWE,L 21-30,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
20,2008,2008-10-12,6,26.207,SFO,,PHI,L 26-40,,,,,,,0.0%,,,,,,,,
