ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1984,1984-11-18,12,22.260,NYJ,@,HOU,L 20-31,,,,,,,,,,
2,1985,1985-10-27,8,23.238,NYJ,,SEA,W 17-14,4,15,3.75,0,0,0,,0,0,0
3,1985,1985-11-03,9,23.245,NYJ,@,IND,W 35-17,5,40,8.00,1,0,0,,0,1,6
4,1985,1985-11-10,10,23.252,NYJ,@,MIA,L 17-21,0,0,,0,0,0,,0,0,
5,1985,1985-11-17,11,23.259,NYJ,,TAM,W 62-28,12,49,4.08,0,0,0,,0,0,0
6,1985,1985-11-24,12,23.266,NYJ,,NWE,W 16-13,1,3,3.00,0,2,9,4.50,0,0,0
7,1985,1985-11-28,13,23.270,NYJ,@,DET,L 20-31,0,0,,0,3,34,11.33,0,0,0
8,1985,1985-12-08,14,23.280,NYJ,@,BUF,W 27-7,0,0,,0,0,0,,0,0,
9,1985,1985-12-14,15,23.286,NYJ,,CHI,L 6-19,0,0,,0,0,0,,0,0,
10,1985,1985-12-22,16,23.294,NYJ,,CLE,W 37-10,0,0,,0,0,0,,0,0,
11,1986,1986-09-07,1,24.188,NYJ,@,BUF,W 28-24,0,0,,0,0,0,,0,0,
12,1986,1986-09-11,2,24.192,NYJ,,NWE,L 6-20,0,0,,0,1,4,4.00,0,0,0
13,1986,1986-09-21,3,24.202,NYJ,,MIA,W 51-45,7,30,4.29,1,0,0,,0,1,6
14,1986,1986-09-28,4,24.209,NYJ,@,IND,W 26-7,13,35,2.69,0,1,2,2.00,0,0,0
15,1986,1986-12-21,16,24.293,TAM,@,STL,L 17-21,,,,,,,,,,
16,1987,1987-10-11,4,25.222,NYJ,@,IND,L 0-6,12,35,2.92,0,2,29,14.50,0,0,0
17,1987,1987-10-18,5,25.229,NYJ,,MIA,W 37-31,17,90,5.29,1,5,29,5.80,0,1,6
18,1987,1987-11-15,9,25.257,NYJ,@,KAN,W 16-9,1,4,4.00,0,3,13,4.33,0,0,0
19,1987,1987-12-13,13,25.285,NYJ,@,NWE,L 20-42,1,-1,-1.00,0,0,0,,0,0,0
20,1987,1987-12-20,14,25.292,NYJ,,PHI,L 27-38,0,0,,0,1,10,10.00,0,0,0
21,1987,1987-12-27,15,25.299,NYJ,@,NYG,L 7-20,0,0,,0,0,0,,0,0,
