ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2001,2001-09-09,1,23.082,OAK,@,KAN,W 27-24,,,,,,,0.0%,,,,,
2,2001,2001-09-23,2,23.096,OAK,@,MIA,L 15-18,,,,,,,0.0%,,,,,
3,2001,2001-11-05,7,23.139,OAK,,DEN,W 38-28,,0,,,,,0.0%,,,,,
4,2001,2001-12-09,12,23.173,OAK,,KAN,W 28-26,*,0,,,,,0.0%,,,,,
5,2001,2001-12-15,13,23.179,OAK,@,SDG,W 13-6,,,,,,,0.0%,,,,,
6,2002,2002-09-08,1,24.081,OAK,,SEA,W 31-17,,,,,,,0.0%,,,,,
7,2002,2002-09-15,2,24.088,OAK,@,PIT,W 30-17,,2,1,12,12.00,0,50.0%,6.00,0,0,,0
8,2002,2002-09-29,3,24.102,OAK,,TEN,W 52-25,,,,,,,0.0%,,,,,
9,2002,2002-10-06,4,24.109,OAK,@,BUF,W 49-31,,,,,,,0.0%,,,,,
10,2002,2002-10-13,5,24.116,OAK,@,STL,L 13-28,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0
11,2002,2002-10-20,6,24.123,OAK,,SDG,L 21-27,,,,,,,0.0%,,,,,
12,2002,2002-10-27,7,24.130,OAK,@,KAN,L 10-20,,1,0,0,,0,0.0%,0.00,1,25,25.00,0
13,2002,2002-11-03,8,24.137,OAK,,SFO,L 20-23,,0,0,0,,0,0.0%,,1,30,30.00,0
14,2002,2002-11-11,9,24.145,OAK,@,DEN,W 34-10,,0,0,0,,0,0.0%,,2,36,18.00,0
15,2002,2002-11-17,10,24.151,OAK,,NWE,W 27-20,,0,0,0,,0,0.0%,,4,81,20.25,0
16,2002,2002-11-24,11,24.158,OAK,@,ARI,W 41-20,,0,0,0,,0,0.0%,,4,110,27.50,0
17,2002,2002-12-02,12,24.166,OAK,,NYJ,W 26-20,,0,0,0,,0,0.0%,,5,108,21.60,0
18,2002,2002-12-08,13,24.172,OAK,@,SDG,W 27-7,,1,1,8,8.00,0,100.0%,8.00,2,80,40.00,0
19,2002,2002-12-15,14,24.179,OAK,@,MIA,L 17-23,,0,0,0,,0,0.0%,,5,129,25.80,0
20,2002,2002-12-22,15,24.186,OAK,,DEN,W 28-16,,0,0,0,,0,0.0%,,4,79,19.75,0
21,2002,2002-12-28,16,24.192,OAK,,KAN,W 24-0,,0,0,0,,0,0.0%,,1,27,27.00,0
