ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2016,2016-12-25,15,22.171,PIT,,BAL,W 31-27,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
2,2016,2017-01-01,16,22.178,PIT,,CLE,W 27-24,*,12,5,44,8.80,1,41.7%,3.67,2,-12,-6.00,0,1,6
