ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2009,2009-10-18,5,23.018,GNB,,DET,W 26-0,,,,,,,0.0%,,,,,,,,
2,2009,2009-10-25,6,23.025,GNB,@,CLE,W 31-3,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0.0,0,0
3,2009,2009-11-01,7,23.032,GNB,,MIN,L 26-38,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,0,0
4,2009,2009-11-08,8,23.039,GNB,@,TAM,L 28-38,,,,,,,0.0%,,,,,,,,
5,2009,2009-11-22,10,23.053,GNB,,SFO,W 30-24,,,,,,,0.0%,,,,,,,,
6,2009,2009-11-26,11,23.057,GNB,@,DET,W 34-12,,0,,,,,0.0%,,,,,,,,
7,2009,2009-12-20,14,23.081,GNB,@,PIT,L 36-37,,1,,,,,0.0%,,,,,,,,
8,2009,2009-12-27,15,23.088,GNB,,SEA,W 48-10,,1,,,,,0.0%,,,,,,,,
9,2009,2010-01-03,16,23.095,GNB,@,ARI,W 33-7,,,,,,,0.0%,,,,,,,,
10,2010,2010-09-19,2,23.354,GNB,,BUF,W 34-7,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0.0,0,0
11,2010,2010-09-27,3,23.362,GNB,@,CHI,L 17-20,*,,,,,,0.0%,,,,,,,,
12,2010,2010-10-17,6,24.017,GNB,,MIA,L 20-23,,,,,,,0.0%,,,,,,,,
13,2010,2010-11-07,9,24.038,GNB,,DAL,W 45-7,,,,,,,0.0%,,,,,,,,
14,2010,2010-11-21,10,24.052,GNB,@,MIN,W 31-3,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
15,2010,2010-11-28,11,24.059,GNB,@,ATL,L 17-20,,1,,,,,0.0%,,,,,,,,
16,2010,2010-12-05,12,24.066,GNB,,SFO,W 34-16,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
17,2010,2010-12-12,13,24.073,GNB,@,DET,L 3-7,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0
18,2010,2010-12-19,14,24.080,GNB,@,NWE,L 27-31,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0.0,0,0
19,2010,2010-12-26,15,24.087,GNB,,NYG,W 45-17,,,,,,,0.0%,,,,,,,,
20,2010,2011-01-02,16,24.094,GNB,,CHI,W 10-3,*,,,,,,0.0%,,,,,,,,
21,2011,2011-09-11,1,24.346,TEN,@,JAX,L 14-16,,,,,,,0.0%,,,,,,,,
22,2011,2011-09-18,2,24.353,TEN,,BAL,W 26-13,*,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0.0,0,0
23,2011,2011-09-25,3,24.360,TEN,,DEN,W 17-14,,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0.0,0,0
24,2011,2011-10-02,4,25.002,TEN,@,CLE,W 31-13,,,,,,,0.0%,,,,,,,,
25,2012,2012-09-09,1,25.345,TEN,,NWE,L 13-34,,,,,,,0.0%,,,,,,,,
26,2012,2012-09-16,2,25.352,TEN,@,SDG,L 10-38,,0,,,,,0.0%,,,,,,,,
27,2012,2012-09-23,3,25.359,TEN,,DET,W 44-41,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0.0,0,0
28,2012,2012-09-30,4,26.000,TEN,@,HOU,L 14-38,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0.0,0,0
29,2012,2012-10-07,5,26.007,TEN,@,MIN,L 7-30,*,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0.0,0,0
30,2012,2012-10-11,6,26.011,TEN,,PIT,W 26-23,*,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
31,2012,2012-10-21,7,26.021,TEN,@,BUF,W 35-34,*,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
32,2012,2012-10-28,8,26.028,TEN,,IND,L 13-19,*,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0.0,0,0
33,2012,2012-11-04,9,26.035,TEN,,CHI,L 20-51,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
34,2012,2012-11-11,10,26.042,TEN,@,MIA,W 37-3,,1,0,0,,0,0.0%,0.00,1,3,3.00,0,0.0,0,0
35,2012,2012-11-25,11,26.056,TEN,@,JAX,L 19-24,*,,,,,,0.0%,,,,,,,,
36,2012,2012-12-02,12,26.063,TEN,,HOU,L 10-24,,,,,,,0.0%,,,,,,,,
37,2012,2012-12-09,13,26.070,TEN,@,IND,L 23-27,*,,,,,,0.0%,,,,,,,,
38,2012,2012-12-17,14,26.078,TEN,,NYJ,W 14-10,*,1,1,2,2.00,0,100.0%,2.00,2,2,1.00,0,0.0,0,0
39,2012,2012-12-23,15,26.084,TEN,@,GNB,L 7-55,,0,0,0,,0,0.0%,,1,0,0.00,0,0.0,0,0
40,2012,2012-12-30,16,26.091,TEN,,JAX,W 38-20,*,0,,,,,0.0%,,,,,,,,
41,2013,2013-12-08,13,27.069,TEN,@,DEN,L 28-51,,,,,,,0.0%,,,,,,,,
42,2013,2013-12-15,14,27.076,TEN,,ARI,L 34-37,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
43,2013,2013-12-22,15,27.083,TEN,@,JAX,W 20-16,,,,,,,0.0%,,,,,,,,
44,2013,2013-12-29,16,27.090,TEN,,HOU,W 16-10,,,,,,,0.0%,,,,,,,,
