ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1997,1997-08-31,1,23.167,NYG,,PHI,W 31-17,0,0,,0
2,1997,1997-09-14,3,23.181,NYG,,BAL,L 23-24,0,0,,0
3,1997,1997-09-21,4,23.188,NYG,@,STL,L 3-13,0,0,,0
4,1997,1997-09-28,5,23.195,NYG,,NOR,W 14-9,0,0,,0
5,1997,1997-10-05,6,23.202,NYG,,DAL,W 20-17,0,0,,0
6,1997,1997-10-12,7,23.209,NYG,@,ARI,W 27-13,0,0,,0
7,1997,1997-10-19,8,23.216,NYG,@,DET,W 26-20,0,0,,0
8,1997,1997-10-26,9,23.223,NYG,,CIN,W 29-27,0,0,,0
9,1997,1997-11-09,10,23.237,NYG,@,TEN,L 6-10,0,0,,0
10,1997,1997-11-16,11,23.244,NYG,,ARI,W 19-10,0,0,,0
11,1997,1997-11-23,12,23.251,NYG,@,WAS,T 7-7,0,0,,0
12,1997,1997-11-30,13,23.258,NYG,,TAM,L 8-20,0,0,,0
13,1997,1997-12-07,14,23.265,NYG,@,PHI,W 31-21,0,0,,0
14,1997,1997-12-13,15,23.271,NYG,,WAS,W 30-10,0,0,,0
15,1997,1997-12-21,16,23.279,NYG,@,DAL,W 20-7,5,13,2.60,0
