ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks
1,2001,2001-09-10,1,23.262,NYG,@,DEN,L 20-31,,
2,2001,2001-09-23,2,23.275,NYG,@,KAN,W 13-3,,
3,2001,2001-09-30,3,23.282,NYG,,NOR,W 21-13,,
4,2001,2001-10-07,4,23.289,NYG,,WAS,W 23-9,,
5,2001,2001-10-14,5,23.296,NYG,@,STL,L 14-15,,
6,2001,2001-10-22,6,23.304,NYG,,PHI,L 9-10,,
7,2001,2001-10-28,7,23.310,NYG,@,WAS,L 21-35,*,
8,2001,2001-11-19,10,23.332,NYG,@,MIN,L 16-28,,
9,2001,2001-11-25,11,23.338,NYG,,OAK,L 10-28,*,
10,2001,2001-12-09,12,23.352,NYG,@,DAL,L 13-20,,
11,2001,2001-12-15,13,23.358,NYG,,ARI,W 17-13,,
12,2001,2001-12-23,14,24.001,NYG,,SEA,W 27-24,,
13,2001,2002-01-06,16,24.015,NYG,,GNB,L 25-34,,
14,2002,2002-09-15,2,24.267,NYG,@,STL,W 26-21,,
15,2002,2002-09-22,3,24.274,NYG,,SEA,W 9-6,,
16,2002,2002-09-29,4,24.281,NYG,@,ARI,L 7-21,,
17,2002,2002-10-06,5,24.288,NYG,@,DAL,W 21-17,,
18,2002,2002-10-13,6,24.295,NYG,,ATL,L 10-17,,
19,2002,2002-10-28,7,24.310,NYG,@,PHI,L 3-17,*,
20,2002,2002-11-03,8,24.316,NYG,,JAX,W 24-17,*,
21,2002,2002-11-10,9,24.323,NYG,@,MIN,W 27-20,*,
22,2002,2002-11-17,10,24.330,NYG,,WAS,W 19-17,*,
23,2002,2002-11-24,11,24.337,NYG,@,HOU,L 14-16,*,
24,2002,2002-12-01,12,24.344,NYG,,TEN,L 29-32,*,
25,2002,2002-12-08,13,24.351,NYG,@,WAS,W 27-21,*,
26,2002,2002-12-15,14,24.358,NYG,,DAL,W 37-7,*,
27,2002,2002-12-22,15,25.000,NYG,@,IND,W 44-27,*,
28,2002,2002-12-28,16,25.006,NYG,,PHI,W 10-7,*,
29,2003,2003-09-07,1,25.259,NYG,,STL,W 23-13,,1.0
30,2003,2003-09-15,2,25.267,NYG,,DAL,L 32-35,,
31,2003,2003-09-21,3,25.273,NYG,@,WAS,W 24-21,*,
32,2003,2003-10-05,4,25.287,NYG,,MIA,L 10-23,,
33,2003,2003-10-12,5,25.294,NYG,@,NWE,L 6-17,,
34,2003,2003-10-19,6,25.301,NYG,,PHI,L 10-14,,
35,2003,2003-10-26,7,25.308,NYG,@,MIN,W 29-17,,
36,2003,2003-11-02,8,25.315,NYG,@,NYJ,W 31-28,*,
37,2003,2003-11-09,9,25.322,NYG,,ATL,L 7-27,,
38,2003,2003-11-16,10,25.329,NYG,@,PHI,L 10-28,,
39,2003,2003-11-24,11,25.337,NYG,@,TAM,L 13-19,,
40,2003,2003-11-30,12,25.343,NYG,,BUF,L 7-24,,
41,2003,2003-12-07,13,25.350,NYG,,WAS,L 7-20,,
42,2003,2003-12-14,14,25.357,NYG,@,NOR,L 7-45,,1.0
43,2003,2003-12-21,15,25.364,NYG,@,DAL,L 3-19,,
44,2003,2003-12-28,16,26.006,NYG,,CAR,L 24-37,,
45,2004,2004-09-12,1,26.265,NYG,@,PHI,L 17-31,,
46,2004,2004-09-19,2,26.272,NYG,,WAS,W 20-14,,
47,2004,2004-09-26,3,26.279,NYG,,CLE,W 27-10,,
48,2004,2004-10-03,4,26.286,NYG,@,GNB,W 14-7,,
49,2004,2004-10-10,5,26.293,NYG,@,DAL,W 26-10,,
50,2004,2004-10-24,6,26.307,NYG,,DET,L 13-28,,
51,2004,2004-10-31,7,26.314,NYG,@,MIN,W 34-13,,
52,2004,2004-11-07,8,26.321,NYG,,CHI,L 21-28,,
53,2004,2004-11-14,9,26.328,NYG,@,ARI,L 14-17,*,1.0
54,2004,2004-11-21,10,26.335,NYG,,ATL,L 10-14,*,0.5
55,2004,2004-11-28,11,26.342,NYG,,PHI,L 6-27,*,
56,2004,2004-12-05,12,26.349,NYG,@,WAS,L 7-31,*,
57,2004,2004-12-12,13,26.356,NYG,@,BAL,L 14-37,*,0.5
58,2004,2004-12-18,14,26.362,NYG,,PIT,L 30-33,*,
59,2004,2004-12-26,15,27.004,NYG,@,CIN,L 22-23,*,
60,2005,2005-09-11,1,27.263,NYJ,@,KAN,L 7-27,,
61,2005,2005-09-18,2,27.270,NYJ,,MIA,W 17-7,,
62,2005,2005-09-25,3,27.277,NYJ,,JAX,L 20-26,,
63,2005,2005-10-02,4,27.284,NYJ,@,BAL,L 3-13,,
64,2005,2005-10-09,5,27.291,NYJ,,TAM,W 14-12,,
65,2005,2005-10-16,6,27.298,NYJ,@,BUF,L 17-27,,
66,2005,2005-10-24,7,27.306,NYJ,@,ATL,L 14-27,,
67,2005,2005-11-06,8,27.319,NYJ,,SDG,L 26-31,,
68,2005,2005-11-13,9,27.326,NYJ,@,CAR,L 3-30,,
69,2005,2005-11-20,10,27.333,NYJ,@,DEN,L 0-27,,
70,2005,2005-11-27,11,27.340,NYJ,,NOR,L 19-21,,
71,2005,2005-12-04,12,27.347,NYJ,@,NWE,L 3-16,,
72,2005,2005-12-11,13,27.354,NYJ,,OAK,W 26-10,*,1.5
73,2005,2005-12-18,14,27.361,NYJ,@,MIA,L 20-24,*,1.0
74,2005,2005-12-26,15,28.004,NYJ,,NWE,L 21-31,*,0.5
75,2005,2006-01-01,16,28.010,NYJ,,BUF,W 30-26,*,
76,2006,2006-11-20,10,28.333,NYG,@,JAX,L 10-26,,
77,2006,2006-11-26,11,28.339,NYG,@,TEN,L 21-24,,
