ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1980,1980-09-14,2,24.018,DEN,,DAL,W 41-20,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
2,1980,1980-12-21,16,24.116,DEN,@,SEA,W 25-17,6,0,0.00,0,1,3,33.33,15,0,0,50.7,0,0,5.00,5.00
