ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,22.306,NYJ,@,HOU,W 24-7,*,18,31,58.06,272,1,1,84.3,0,0,8.77,7.97,5,6,1.20,0,,0,0,0.0,0,0
2,2009,2009-09-20,2,22.313,NYJ,,NWE,W 16-9,*,14,22,63.64,163,1,0,101.1,2,26,7.41,8.32,2,-2,-1.00,0,,0,0,0.0,0,0
3,2009,2009-09-27,3,22.320,NYJ,,TEN,W 24-17,*,17,30,56.67,171,2,1,81.4,3,25,5.70,5.53,4,10,2.50,1,,1,6,0.0,0,0
4,2009,2009-10-04,4,22.327,NYJ,@,NOR,L 10-24,*,14,27,51.85,138,0,3,27.0,4,26,5.11,0.11,4,24,6.00,0,,0,0,0.0,0,0
5,2009,2009-10-12,5,22.335,NYJ,@,MIA,L 27-31,*,12,24,50.00,172,1,0,87.5,1,1,7.17,8.00,2,6,3.00,0,,0,0,0.0,0,0
6,2009,2009-10-18,6,22.341,NYJ,,BUF,L 13-16,*,10,29,34.48,119,0,5,8.3,2,23,4.10,-3.66,1,6,6.00,0,,0,0,0.0,0,0
7,2009,2009-10-25,7,22.348,NYJ,@,OAK,W 38-0,*,9,16,56.25,143,1,0,107.0,1,12,8.94,10.19,2,4,2.00,1,,1,6,0.0,0,0
8,2009,2009-11-01,8,22.355,NYJ,,MIA,L 25-30,*,20,35,57.14,265,2,0,100.3,2,14,7.57,8.71,4,6,1.50,1,,1,6,0.0,0,0
9,2009,2009-11-15,9,23.004,NYJ,,JAX,L 22-24,*,16,30,53.33,212,1,2,59.3,0,0,7.07,4.73,0,0,,0,,0,0,0.0,0,0
10,2009,2009-11-22,10,23.011,NYJ,@,NWE,L 14-31,*,8,21,38.10,136,1,4,37.1,2,14,6.48,-1.14,1,2,2.00,0,,0,0,0.0,0,0
11,2009,2009-11-29,11,23.018,NYJ,,CAR,W 17-6,*,13,17,76.47,154,0,1,79.0,3,10,9.06,6.41,3,27,9.00,0,,0,0,0.0,0,0
12,2009,2009-12-03,12,23.022,NYJ,@,BUF,W 19-13,*,7,15,46.67,104,1,0,92.1,2,18,6.93,8.27,1,8,8.00,0,,0,0,0.0,0,0
13,2009,2009-12-20,14,23.039,NYJ,,ATL,L 7-10,*,18,32,56.25,226,1,3,49.7,2,11,7.06,3.47,3,7,2.33,0,,0,0,0.0,0,0
14,2009,2009-12-27,15,23.046,NYJ,@,IND,W 29-15,*,12,19,63.16,106,0,0,78.0,2,15,5.58,5.58,2,0,0.00,0,2,0,4,0.0,0,0
15,2009,2010-01-03,16,23.053,NYJ,,CIN,W 37-0,*,8,16,50.00,63,0,0,60.2,0,0,3.94,3.94,2,2,1.00,0,,0,0,0.0,0,0
16,2010,2010-09-13,1,23.306,NYJ,,BAL,L 9-10,*,10,21,47.62,74,0,0,56.4,2,14,3.52,3.52,2,5,2.50,0,,0,0,0.0,0,0
17,2010,2010-09-19,2,23.312,NYJ,,NWE,W 28-14,*,21,30,70.00,220,3,0,124.3,3,20,7.33,9.33,4,2,0.50,0,1,0,2,0.0,0,0
18,2010,2010-09-26,3,23.319,NYJ,@,MIA,W 31-23,*,15,28,53.57,256,3,0,120.5,0,0,9.14,11.29,1,-1,-1.00,0,,0,0,0.0,0,0
19,2010,2010-10-03,4,23.326,NYJ,@,BUF,W 38-14,*,14,24,58.33,161,2,0,106.4,0,0,6.71,8.38,1,0,0.00,0,,0,0,0.0,0,0
20,2010,2010-10-11,5,23.334,NYJ,,MIN,W 29-20,*,21,44,47.73,191,0,0,59.9,2,18,4.34,4.34,0,0,,0,,0,0,0.0,0,0
21,2010,2010-10-17,6,23.340,NYJ,@,DEN,W 24-20,*,17,30,56.67,198,1,2,60.1,2,8,6.60,4.27,1,-1,-1.00,0,,0,0,0.0,0,0
22,2010,2010-10-31,7,23.354,NYJ,,GNB,L 0-9,*,16,38,42.11,256,0,2,43.3,2,15,6.74,4.37,2,22,11.00,0,,0,0,0.0,0,0
23,2010,2010-11-07,8,23.361,NYJ,@,DET,W 23-20,*,22,39,56.41,336,1,1,82.9,1,9,8.62,7.97,3,1,0.33,1,,1,6,0.0,0,0
24,2010,2010-11-14,9,24.003,NYJ,@,CLE,W 26-20,*,27,44,61.36,299,2,1,87.2,2,15,6.80,6.68,2,4,2.00,1,,1,6,0.0,0,0
25,2010,2010-11-21,10,24.010,NYJ,,HOU,W 30-27,*,22,38,57.89,315,3,1,100.2,3,17,8.29,8.68,2,22,11.00,0,,0,0,0.0,1,0
26,2010,2010-11-25,11,24.014,NYJ,,CIN,W 26-10,*,16,28,57.14,166,1,1,71.4,2,17,5.93,5.04,3,-4,-1.33,0,,0,0,0.0,0,0
27,2010,2010-12-06,12,24.025,NYJ,@,NWE,L 3-45,*,17,33,51.52,164,0,3,27.8,1,15,4.97,0.88,4,20,5.00,0,,0,0,0.0,0,0
28,2010,2010-12-12,13,24.031,NYJ,,MIA,L 6-10,*,17,44,38.64,216,0,1,45.3,6,23,4.91,3.89,2,20,10.00,0,,0,0,0.0,0,0
29,2010,2010-12-19,14,24.038,NYJ,@,PIT,W 22-17,*,19,29,65.52,170,0,0,81.1,1,0,5.86,5.86,3,15,5.00,1,,1,6,0.0,0,0
30,2010,2010-12-26,15,24.045,NYJ,@,CHI,L 34-38,*,24,37,64.86,269,1,1,84.2,0,0,7.27,6.59,0,0,,0,,0,0,0.0,0,0
31,2010,2011-01-02,16,24.052,NYJ,,BUF,W 38-7,*,,,,,,,,0,,,,,,,,,,,,,
32,2011,2011-09-11,1,24.304,NYJ,,DAL,W 27-24,*,26,44,59.09,335,2,1,88.7,4,20,7.61,7.50,1,3,3.00,0,,0,0,0.0,0,0
33,2011,2011-09-18,2,24.311,NYJ,,JAX,W 32-3,*,17,24,70.83,182,2,2,85.8,1,0,7.58,5.50,3,29,9.67,0,,0,0,0.0,0,0
34,2011,2011-09-25,3,24.318,NYJ,@,OAK,L 24-34,*,27,44,61.36,369,2,1,93.8,4,30,8.39,8.27,2,2,1.00,1,,1,6,0.0,0,0
35,2011,2011-10-02,4,24.325,NYJ,@,BAL,L 17-34,*,11,35,31.43,119,0,1,30.5,2,7,3.40,2.11,3,3,1.00,0,,0,0,0.0,1,0
36,2011,2011-10-09,5,24.332,NYJ,@,NWE,L 21-30,*,16,26,61.54,166,2,0,105.6,2,8,6.38,7.92,0,0,,0,,0,0,0.0,0,0
37,2011,2011-10-17,6,24.340,NYJ,,MIA,W 24-6,*,14,25,56.00,201,1,0,95.6,1,7,8.04,8.84,1,5,5.00,1,,1,6,0.0,0,0
38,2011,2011-10-23,7,24.346,NYJ,,SDG,W 27-21,*,18,33,54.55,173,3,1,87.1,2,17,5.24,5.70,3,25,8.33,0,,0,0,0.0,0,0
39,2011,2011-11-06,8,24.360,NYJ,@,BUF,W 27-11,*,20,28,71.43,230,1,1,92.9,1,8,8.21,7.32,4,-3,-0.75,0,,0,0,0.0,0,0
40,2011,2011-11-13,9,25.002,NYJ,,NWE,L 16-37,*,20,39,51.28,306,1,2,64.7,5,38,7.85,6.05,5,11,2.20,1,,1,6,0.0,0,0
41,2011,2011-11-17,10,25.006,NYJ,@,DEN,L 13-17,*,24,40,60.00,252,0,1,67.9,3,17,6.30,5.18,1,0,0.00,0,,0,0,0.0,0,0
42,2011,2011-11-27,11,25.016,NYJ,,BUF,W 28-24,*,17,35,48.57,180,4,1,90.2,0,0,5.14,6.14,2,5,2.50,0,,0,0,0.0,0,0
43,2011,2011-12-04,12,25.023,NYJ,@,WAS,W 34-19,*,19,32,59.38,165,1,0,83.5,0,0,5.16,5.78,3,1,0.33,0,,0,0,0.0,0,0
44,2011,2011-12-11,13,25.030,NYJ,,KAN,W 37-10,*,13,21,61.90,181,2,0,121.3,3,26,8.62,10.52,2,4,2.00,2,,2,12,0.0,0,0
45,2011,2011-12-18,14,25.037,NYJ,@,PHI,L 19-45,*,15,26,57.69,150,2,2,67.8,4,30,5.77,3.85,2,3,1.50,0,,0,0,0.0,0,0
46,2011,2011-12-24,15,25.043,NYJ,,NYG,L 14-29,*,30,59,50.85,258,1,2,54.2,5,32,4.37,3.19,4,13,3.25,1,,1,6,0.0,0,0
47,2011,2012-01-01,16,25.051,NYJ,@,MIA,L 17-19,*,21,32,65.63,207,2,3,65.5,2,3,6.47,3.50,1,2,2.00,0,,0,0,0.0,1,0
48,2012,2012-09-09,1,25.303,NYJ,,BUF,W 48-28,*,19,27,70.37,266,3,1,123.4,0,0,9.85,10.41,0,0,,0,,0,0,0.0,0,0
49,2012,2012-09-16,2,25.310,NYJ,@,PIT,L 10-27,*,10,27,37.04,138,1,0,66.6,2,9,5.11,5.85,0,0,,0,,0,0,0.0,0,0
50,2012,2012-09-23,3,25.317,NYJ,@,MIA,W 23-20,*,21,45,46.67,306,1,2,58.2,1,6,6.80,5.24,1,4,4.00,0,,0,0,0.0,0,0
51,2012,2012-09-30,4,25.324,NYJ,,SFO,L 0-34,*,13,29,44.83,103,0,1,39.9,3,12,3.55,2.00,0,0,,0,,0,0,0.0,0,0
