ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1975,1975-09-21,1,26.344,DEN,,KAN,W 37-33,2,51,25.50,1,0,0,,0,0,0,,0,1,6
2,1975,1975-09-29,2,26.352,DEN,,GNB,W 23-13,4,53,13.25,1,0,0,,0,0,0,,0,1,6
3,1975,1975-10-05,3,26.358,DEN,@,BUF,L 14-38,1,12,12.00,0,0,0,,0,0,0,,0,0,0
4,1975,1975-10-12,4,27.000,DEN,@,PIT,L 9-20,,,,,,,,,,,,,,
5,1975,1975-10-19,5,27.007,DEN,,CLE,W 16-15,2,36,18.00,0,0,0,,0,0,0,,0,0,0
6,1975,1975-10-26,6,27.014,DEN,@,KAN,L 13-26,2,55,27.50,0,1,12,12.00,0,0,0,,0,0,0
7,1975,1975-11-02,7,27.021,DEN,,OAK,L 17-42,5,80,16.00,1,1,19,19.00,0,0,0,,0,1,6
8,1975,1975-11-09,8,27.028,DEN,,CIN,L 16-17,0,0,,0,1,-1,-1.00,0,0,0,,0,0,0
9,1975,1975-11-16,9,27.035,DEN,@,SDG,W 27-17,3,53,17.67,0,0,0,,0,0,0,,0,0,0
10,1975,1975-11-23,10,27.042,DEN,@,ATL,L 21-35,1,29,29.00,0,0,0,,0,0,0,,0,0,0
11,1975,1975-11-30,11,27.049,DEN,,SDG,W 13-10,0,0,,0,1,17,17.00,0,0,0,,0,0,0
12,1975,1975-12-08,12,27.057,DEN,@,OAK,L 10-17,1,41,41.00,0,0,0,,0,0,0,,0,0,0
13,1975,1975-12-14,13,27.063,DEN,,PHI,W 25-10,0,0,,0,1,25,25.00,0,0,0,,0,0,0
14,1975,1975-12-20,14,27.069,DEN,@,MIA,L 13-14,1,11,11.00,0,0,0,,0,0,0,,0,0,0
15,1976,1976-09-12,1,27.336,DEN,@,CIN,L 7-17,,,,,,,,,,,,,,
16,1976,1976-09-19,2,27.343,DEN,,NYJ,W 46-3,2,41,20.50,0,0,0,,0,0,0,,0,0,0
17,1976,1976-09-26,3,27.350,DEN,,CLE,W 44-13,3,37,12.33,0,1,8,8.00,0,0,0,,0,0,0
