ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1981,1981-09-06,1,22.216,SEA,@,CIN,L 21-27,,0,0,,0,,,,,,,,
2,1981,1981-09-13,2,22.223,SEA,,DEN,W 13-10,,0,0,,0,,,,,,,,
3,1981,1981-09-20,3,22.230,SEA,@,OAK,L 10-20,,0,0,,0,,,,,,,,
4,1981,1981-09-27,4,22.237,SEA,,KAN,L 14-20,,0,0,,0,,,,,,,,
5,1981,1981-10-04,5,22.244,SEA,@,SDG,L 10-24,,0,0,,0,,,,,,,,
6,1981,1981-10-11,6,22.251,SEA,@,HOU,L 17-35,,1,8,8.00,0,,,0,0,,0,0,0
7,1981,1981-10-18,7,22.258,SEA,,NYG,L 0-32,,0,0,,0,,,,,,,,
8,1981,1981-10-25,8,22.265,SEA,@,NYJ,W 19-3,,0,0,,0,,,,,,,,
9,1981,1981-11-01,9,22.272,SEA,@,GNB,L 24-34,,0,0,,0,,,,,,,,
10,1981,1981-11-08,10,22.279,SEA,,PIT,W 24-21,,1,11,11.00,0,,,0,0,,0,0,0
11,1981,1981-11-16,11,22.287,SEA,,SDG,W 44-23,,0,0,,0,,,,,,,,
12,1981,1981-11-22,12,22.293,SEA,@,KAN,L 13-40,,0,0,,0,,,,,,,,
13,1981,1981-11-29,13,22.300,SEA,,OAK,L 31-32,,1,9,9.00,0,,,0,0,,0,0,0
14,1981,1981-12-06,14,22.307,SEA,,NYJ,W 27-23,,1,5,5.00,0,,,0,0,,0,0,0
15,1981,1981-12-13,15,22.314,SEA,@,DEN,L 13-23,,0,0,,0,,,,,,,,
16,1981,1981-12-20,16,22.321,SEA,,CLE,W 42-21,,1,14,14.00,0,,,0,0,,0,0,0
17,1982,1982-09-12,1,23.222,SEA,,CLE,L 7-21,,4,15,3.75,0,,,0,0,,0,0,0
18,1982,1982-09-19,2,23.229,SEA,@,HOU,L 21-23,,1,8,8.00,0,,,0,0,,0,0,0
19,1982,1982-11-21,3,23.292,SEA,@,DEN,W 17-10,,1,12,12.00,0,,,0,0,,0,0,0
20,1982,1982-11-28,4,23.299,SEA,,PIT,W 16-0,,0,0,,0,,,,,,,,
21,1982,1982-12-05,5,23.306,SEA,@,RAI,L 23-28,,0,0,,0,,,,,,,,
22,1982,1982-12-12,6,23.313,SEA,,CHI,W 20-14,,1,-1,-1.00,0,,,0,0,,0,0,0
23,1982,1982-12-19,7,23.320,SEA,,NWE,L 0-16,,0,0,,0,,,,,,,,
24,1982,1982-12-26,8,23.327,SEA,@,CIN,L 10-24,,1,6,6.00,0,,,0,0,,0,0,0
25,1982,1983-01-02,9,23.334,SEA,,DEN,W 13-11,,1,6,6.00,0,,,0,0,,0,0,0
26,1983,1983-09-04,1,24.214,SEA,@,KAN,L 13-17,,,,,,,,0,0,,0,,
27,1983,1983-09-11,2,24.221,SEA,@,NYJ,W 17-10,,,,,,,,0,0,,0,,
28,1983,1983-09-18,3,24.228,SEA,,SDG,W 34-31,,,,,,,,0,0,,0,,
29,1983,1983-09-25,4,24.235,SEA,,WAS,L 17-27,,,,,,,,0,0,,0,,
30,1983,1983-10-02,5,24.242,SEA,@,CLE,W 24-9,,,,,,,,0,0,,0,,
31,1983,1983-10-09,6,24.249,SEA,@,SDG,L 21-28,,,,,,,,0,0,,0,,
32,1983,1983-10-16,7,24.256,SEA,,RAI,W 38-36,,,,,,,,0,0,,0,,
